election_id,path,exists,types,row_count,headers,referenced_by_yaml,detected_as_file,parse_warning
adj_2008,data/candidates/adj2008_party_lists.csv,yes,PR party lists,297,party_id|party_list_name|order_id|name_ka|first_name|last_name|birth_date|education|workplace|partisanship,yes,yes,
adj_2008,data/candidates/adj2008_smd_candidates.csv,yes,SMD candidates,41,electoral_district_id|district_name_ka|ballot_number|party_id|party_label|name_ka|first_name|last_name|candidate_order,yes,yes,
adj_2016,data/candidates/adj2016_elected.csv,yes,elected list,21,elected_order|party_id|party_label|name_ka|mandate_type|district_id,yes,yes,
adj_2016,data/candidates/adj2016_party_lists.csv,yes,PR party lists,434,party_id|party_list_name|order_id|name_ka|first_name|last_name|majoritarian_district_number|majoritarian_district_name|partisanship|source_pdf|source_page|pdf_sha256,yes,yes,
adj_2016,data/candidates/adj2016_smd_candidates.csv,yes,SMD candidates,76,district_id|ballot_number|party_id|name_ka|candidate_order,yes,yes,
adj_2020,data/candidates/adj2020_elected.csv,yes,elected list,20,elected_order|party_id|party_label|name_ka|first_name|last_name|mandate_type|district_id,yes,yes,
adj_2020,data/candidates/adj2020_party_lists.csv,yes,PR party lists,501,party_id|party_number|party_list_name|order_id|name_ka|first_name|last_name|smd_district_number|partisanship|source_pdf|source_page|pdf_sha256,yes,yes,
adj_2020,data/candidates/adj2020_smd_candidates.csv,yes,SMD candidates,46,district_id|ballot_number|party_id|name_ka|candidate_order,yes,yes,
local_2010,data/candidates/local2010_mayor_candidates.csv,yes,mayor/gamgebeli candidates,9,selfgov_id|party_code|party_id|party_label_ka|name_ka|first_name|last_name,yes,yes,
local_2010,data/candidates/local2010_smd_candidates.csv,yes,SMD candidates,4079,major_id|electoral_district_id|selfgov_id|majoritarian_district|party_code|party_id|party_label_ka|name_ka|first_name|last_name,yes,yes,
local_2010,data/config/candidates/local/local_2010.yml,yes,candidate list|local candidate config YAML,4088,candidates,yes,yes,
local_2014,data/candidates/local2014_elected.csv,yes,elected list,2153,election_type|round|local_governing_unit|party_name|first_name|last_name|candidate_number|smd_code|smd_name|source_pdf|page_number|party_num|party_id|name_ka|selfgov_id,yes,yes,
local_2014,data/candidates/local2014_mayor_gamgebeli_candidates.csv,yes,mayor/gamgebeli candidates,341,election_type|district_raw|district_id|party_num|party_id|name_ka|party_name,yes,yes,
local_2014,data/candidates/local2014_party_lists.csv,yes,PR party lists,11096,district_id|district_type|party_id|party_name|order_id|first_name|last_name|name_ka|smd_code|smd_name,yes,yes,
local_2014,data/candidates/local2014_smd_candidates.csv,yes,SMD candidates,5611,election_type|district_raw|district_id|major_id|party_num|party_id|name_ka|party_name|smd_code,yes,yes,
local_2014,data/config/candidates/local/local_2014.yml,yes,candidate list|local candidate config YAML,5952,candidates,yes,yes,
local_2017,data/config/candidates/local/local_2017.yml,yes,candidate list|local candidate config YAML,4150,candidates,yes,yes,
local_2021,data/config/candidates/local/local_2021.yml,yes,candidate list|local candidate config YAML,3009,candidates,yes,yes,
local_2025,data/config/candidates/local/local_2025.yml,yes,candidate list|local candidate config YAML,2348,,yes,yes,duplicated mapping key
parl_1919,data/candidates/parl1919.csv,no,candidate list,,,yes,no,
parl_2008,data/candidates/parl2008_annulled_precincts.csv,yes,annulled metadata,38,order_id|electoral_district_id|district_name_ka|precinct_number|precinct_id|number_of_voters|reason,yes,yes,
parl_2008,data/candidates/parl2008_elected.csv,yes,elected list,150,election_type|mandate_type|party_id|party_label|elected_order|district_id|district_name_ka|name_ka|first_name|last_name,yes,yes,
parl_2008,data/candidates/parl2008_party_lists.csv,yes,PR party lists,1719,party_id|party_label|list_order|name_ka|first_name|last_name|birth_date|profession|employment_status|partisanship|source_page,yes,yes,
parl_2008,data/candidates/parl2008_smd_candidates.csv,yes,SMD candidates,443,electoral_district_id|raw_vote_code|party_id|name_ka|first_name|last_name|party_label,yes,yes,
parl_2012,data/candidates/parl2012_annulled_precincts.csv,yes,annulled metadata,16,order_id|electoral_district_id|district_name_ka|precinct_number|precinct_id|number_of_voters|reason,yes,yes,
parl_2012,data/candidates/parl2012_elected.csv,yes,elected list,150,election_type|mandate_type|party_id|party_label|elected_order|district_id|district_name_ka|name_ka|first_name|last_name,yes,yes,
parl_2012,data/candidates/parl2012_party_lists.csv,yes,PR party lists,2313,party_id|party_label|list_order|name_ka|first_name|last_name|smd_code|smd_name|birth_date|address|workplace|position|partisanship|gender|source_file|source_page,yes,yes,
parl_2012,data/candidates/parl2012_smd_candidates.csv,yes,SMD candidates,442,electoral_district_id|raw_vote_code|ballot_code|party_id|name_ka|first_name|last_name|presenter,yes,yes,
parl_2024,data/candidates/parl2024.csv,no,candidate list,,,yes,no,
pres_2008,data/candidates/pres2008_candidates.csv,yes,presidential candidates,7,code|party_id|name_ka|party_label_ka|vote_col,yes,yes,
pres_2008,src/data/config/elections/presidential/pres_2008.yml,yes,embedded candidate definitions,7,candidates[].id|name|party|color,yes,no,
pres_2013,data/candidates/pres2013_candidates.csv,yes,presidential candidates,23,code|party_id|name_en|name_ka|party_label_ka|vote_col,yes,yes,
pres_2013,src/data/config/elections/presidential/pres_2013.yml,yes,embedded candidate definitions,23,candidates[].id|name|party|color,yes,no,
pres_2018,src/data/config/elections/presidential/pres_2018.yml,yes,embedded candidate definitions,25,candidates[].id|name|party|color,yes,no,
pres_2024_indirect,src/data/config/elections/presidential/pres_2024_indirect.yml,yes,embedded candidate definitions,1,candidates[].id|name|party|color,yes,no,
