party_id,name_en,name_ka,type,color,in_registry,election_yaml_count,result_csv_count,candidate_csv_count,elections_count,elections,source_kinds,aliases_en,aliases_ka,yaml_files,sample_result_files,sample_candidate_files
abkh_1919,Abkhazia National Party,აფხაზეთის ნაციონალური პარტია,party,#33691E,yes,1,1,0,1,parl_1919,election_yaml_parties|registry|result_csv,National Party of Georgia,აფხაზეთის ნაციონალური პარტია,src/data/config/elections/parliamentary/parl_1919.yml,src/data/results/parl1919_pr.csv,
adj2008_chven_tviton,,,,#00897B,no,1,4,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,We Ourselves,ჩვენ თვითონ,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv|src/data/results/adj2008_smd.csv|src/data/results/adj2008_smd_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
adj2008_georgian_politics,,,,#546E7A,no,1,2,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,Georgian Politics,ქართული პოლიტიკა,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
adj2008_kartuli_dasi,,,,#33691E,no,1,4,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,Georgian Group,ქართული დასი,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv|src/data/results/adj2008_smd.csv|src/data/results/adj2008_smd_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
adj2008_united_communist,,,,#B71C1C,no,1,4,2,1,adj_2008,candidate_csv|election_yaml_parties|result_csv,United Communist Party of Georgia,საქართველოს ერთიანი კომუნისტური პარტია,src/data/config/elections/adjara/adj_2008.yml,src/data/results/adj2008_pr.csv|src/data/results/adj2008_pr_precincts.csv|src/data/results/adj2008_smd.csv|src/data/results/adj2008_smd_precincts.csv,src/data/candidates/adj2008_party_lists.csv|src/data/candidates/adj2008_smd_candidates.csv
aesth_1919,Aesthetic League of Patriots,ესთეტიური ლიგა პატრიოტებისა,party,#7B1FA2,yes,1,1,0,1,parl_1919,election_yaml_parties|registry|result_csv,Aesthetic League of Patriots,ესთეტიური ლიგა პატრიოტებისა,src/data/config/elections/parliamentary/parl_1919.yml,src/data/results/parl1919_pr.csv,
agmashenebeli,Strategy Agmashenebeli,სტრატეგია აღმაშენებელი,bloc,#283593,yes,2,10,2,2,adj_2020|parl_2020,candidate_csv|election_yaml_parties|registry|result_csv,Bloc: Giorgi Vashadze — Strategy Agmashenebeli,"ბლოკი „გიორგი ვაშაძე — სტრატეგია აღმაშენებელი""",src/data/config/elections/adjara/adj_2020.yml|src/data/config/elections/parliamentary/parl_2020.yml,src/data/results/adj2020_pr.csv|src/data/results/adj2020_pr_precincts.csv|src/data/results/adj2020_smd.csv|src/data/results/adj2020_smd_precincts.csv|src/data/results/local2017_2020_byelections_smd.csv|src/data/results/local2017_2020_byelections_smd_precincts.csv|src/data/results/parl2020_pr.csv|src/data/results/parl2020_pr_precincts.csv,src/data/candidates/adj2020_party_lists.csv|src/data/candidates/adj2020_smd_candidates.csv
akaki_asatiani_2013,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
alliance,Our Georgia — Solidarity Alliance,ჩვენი საქართველო — სოლიდარობის ალიანსი,bloc,#7B1FA2,yes,2,8,2,2,adj_2020|parl_2020,candidate_csv|election_yaml_parties|registry|result_csv,,,src/data/config/elections/adjara/adj_2020.yml|src/data/config/elections/parliamentary/parl_2020.yml,src/data/results/adj2020_pr.csv|src/data/results/adj2020_pr_precincts.csv|src/data/results/adj2020_smd.csv|src/data/results/adj2020_smd_precincts.csv|src/data/results/parl2020_pr.csv|src/data/results/parl2020_pr_precincts.csv|src/data/results/parl2020_smd.csv|src/data/results/parl2020_smd_precincts.csv,src/data/candidates/adj2020_party_lists.csv|src/data/candidates/adj2020_smd_candidates.csv
alliance_georgia_2010,,,,#1565C0,no,1,7,2,1,local_2010,candidate_csv|election_yaml_parties|result_csv,Alliance for Georgia,ალიანსი საქართველოსთვის,src/data/config/elections/local/local_2010.yml,src/data/results/local2010_pr.csv|src/data/results/local2010_pr_precincts.csv|src/data/results/local2010_pr_selfgov.csv|src/data/results/local2010_seats.csv|src/data/results/local2010_smd.csv|src/data/results/local2010_smd_districts.csv|src/data/results/local2010_smd_precincts.csv,src/data/candidates/local2010_mayor_candidates.csv|src/data/candidates/local2010_smd_candidates.csv
