electoral_district_id,district_name_ka,ballot_number,party_id,party_label,name_ka,first_name,last_name,candidate_order
79,ბათუმი,1,adj2008_united_communist,„საქართველოს ერთიანი კომუნისტური პარტია” (სეკპ),თეიმურაზ სამნიძე,თეიმურაზ,სამნიძე,1
79,ბათუმი,2,adj2008_kartuli_dasi,პოლიტიკური გაერთიანება „ქართული დასი”,ბესიკი რატიანი,ბესიკი,რატიანი,2
79,ბათუმი,3,industry_sakartvelo,პოლიტიკური მოძრაობა „მრეწველობა გადაარჩენს საქართველოს”(მგს),ირაკლი ჯაში,ირაკლი,ჯაში,3
79,ბათუმი,4,adj2008_chven_tviton,პოლიტიკური გაერთიანება „ჩვენ თვითონ”,ზურაბ ცეცხლაძე,ზურაბ,ცეცხლაძე,4
79,ბათუმი,5,unm,„ერთიანი ნაციონალური მოძრაობა”,ზაზა გოგოტიშვილი,ზაზა,გოგოტიშვილი,5
79,ბათუმი,7,adj2008_georgian_politics,მოქალაქეთა პოლიტიკური გაერთიანება „ქართული პოლიტიკა”,მალხაზ მახარაძე,მალხაზ,მახარაძე,6
79,ბათუმი,8,christian_democrats_2008,„გიორგი თარგამაძე ქრისტიან დემოკრატები”,ნიაზ ზოსიძე,ნიაზ,ზოსიძე,7
80,ქედა,2,adj2008_kartuli_dasi,პოლიტიკური გაერთიანება „ქართული დასი”,ნუნუ ავალიანი,ნუნუ,ავალიანი,8
80,ქედა,3,industry_sakartvelo,პოლიტიკური მოძრაობა „მრეწველობა გადაარჩენს საქრთველოს”(მგს),ჯამბული შარაბიძე,ჯამბული,შარაბიძე,9
80,ქედა,5,unm,„ერთიანი ნაციონალური მოძრაობა,რევაზი არძენაძე,რევაზი,არძენაძე,10
80,ქედა,6,conservatives,„საქართველოს კონსერვატიული პარტია”,გენრიეტა წიწავა,გენრიეტა,წიწავა,11
80,ქედა,7,adj2008_georgian_politics,მოქალაქეთა პოლიტიკური გაერთიანება „ქართული პოლიტიკა”,გიული ჯაყელი,გიული,ჯაყელი,12
80,ქედა,8,christian_democrats_2008,„გიორგი თარგამაძე ქრისტიან დემოკრატები”,მურმანი დავითაძე,მურმანი,დავითაძე,13
81,ქობულეთი,1,adj2008_united_communist,„საქართველოს ერთიანი კომუნისტური პარტია” (სეკპ),ლევან დავითაძე,ლევან,დავითაძე,14
81,ქობულეთი,2,adj2008_kartuli_dasi,პოლიტიკური გაერთიანება „ქართული დასი”,სულიკო კირჩხელი,სულიკო,კირჩხელი,15
81,ქობულეთი,3,industry_sakartvelo,პოლიტიკური მოძრაობა „მრეწველობა გადაარჩენს საქრთველოს”(მგს),იმედა გოლიაძე,იმედა,გოლიაძე,16
81,ქობულეთი,4,adj2008_chven_tviton,პოლიტიკური გაერთიანება „ჩვენ თვითონ”,მანუჩარ ანანიძე,მანუჩარ,ანანიძე,17
81,ქობულეთი,5,unm,„ერთიანი ნაციონალური მოძრაობა”,ომარი ჭყონია,ომარი,ჭყონია,18
81,ქობულეთი,6,conservatives,„საქართველოს კონსერვატიული პარტია”,ბესიკ ღვინიაშვილი,ბესიკ,ღვინიაშვილი,19
81,ქობულეთი,7,adj2008_georgian_politics,მოქალაქეთა პოლიტიკური გაერთიანება „ქართული პოლიტიკა”,რევაზ გოგიტიძე,რევაზ,გოგიტიძე,20
81,ქობულეთი,8,christian_democrats_2008,„გიორგი თარგამაძე ქრისტიან დემოკრატები”,ანზორი თხილაიშვილი,ანზორი,თხილაიშვილი,21
82,შუახევი,1,adj2008_united_communist,„საქართველოს ერთიანი კომუნისტური პარტია” (სეკპ),ლევან დავითაძე,ლევან,დავითაძე,22
82,შუახევი,3,industry_sakartvelo,პოლიტიკური მოძრაობა „მრეწველობა გადაარჩენს საქრთველოს”(მგს),ზაზა დავითაძე,ზაზა,დავითაძე,23
82,შუახევი,5,unm,„ერთიანი ნაციონალური მოძრაობა”,მიხეილი მჟავანაძე,მიხეილი,მჟავანაძე,24
82,შუახევი,6,conservatives,„საქართველოს კონსერვატიული პარტია”,ირაკლი იმნაძე,ირაკლი,იმნაძე,25
82,შუახევი,7,adj2008_georgian_politics,მოქალაქეთა პოლიტიკური გაერთიანება „ქართული პოლიტიკა”,გურამ ცინცაძე,გურამ,ცინცაძე,26
82,შუახევი,8,christian_democrats_2008,„გიორგი თარგამაძე ქრისტიან დემოკრატები”,თეიმურაზ დავითაძე,თეიმურაზ,დავითაძე,27
83,ხელვაჩაური,1,adj2008_united_communist,„საქართველოს ერთიანი კომუნისტური პარტია” (სეკპ),მერაბ სურმანიძე,მერაბ,სურმანიძე,28
83,ხელვაჩაური,2,adj2008_kartuli_dasi,პოლიტიკური გაერთიანება „ქართული დასი”,იაშა ფაღავა,იაშა,ფაღავა,29
83,ხელვაჩაური,3,industry_sakartvelo,პოლიტიკური მოძრაობა „მრეწველობა გადაარჩენს საქრთველოს”(მგს),იაშარ კახიძე,იაშარ,კახიძე,30
83,ხელვაჩაური,4,adj2008_chven_tviton,პოლიტიკური გაერთიანება „ჩვენ თვითონ”,ალი წულუკიძე,ალი,წულუკიძე,31
83,ხელვაჩაური,5,unm,„ერთიანი ნაციონალური მოძრაობა”,ვაჟა ბოლქვაძე,ვაჟა,ბოლქვაძე,32
83,ხელვაჩაური,7,adj2008_georgian_politics,მოქალაქეთა პოლიტიკური გაერთიანება „ქართული პოლიტიკა,მერაბ აბაშიძე,მერაბ,აბაშიძე,33
83,ხელვაჩაური,8,christian_democrats_2008,„გიორგი თარგამაძე ქრისტიან დემოკრატები”,ზაზა შაშიკაძე,ზაზა,შაშიკაძე,34
84,ხულო,1,adj2008_united_communist,„საქართველოს ერთიანი კომუნისტური პარტია” (სეკპ),ამირან ანანიძე,ამირან,ანანიძე,35
84,ხულო,2,adj2008_kartuli_dasi,პოლიტიკური გაერთიანება „ქართული დასი”,ნადიმი ბოლქვაძე,ნადიმი,ბოლქვაძე,36
84,ხულო,3,industry_sakartvelo,პოლიტიკური მოძრაობა „მრეწველობა გადაარჩენს საქრთველოს”(მგს),ტარიელი ნაკაიძე,ტარიელი,ნაკაიძე,37
84,ხულო,5,unm,„ერთიანი ნაციონალური მოძრაობა”,ზურაბი ხოზრევანიძე,ზურაბი,ხოზრევანიძე,38
84,ხულო,6,conservatives,„საქართველოს კონსერვატიული პარტია”,შორენა მემანიშვილი,შორენა,მემანიშვილი,39
84,ხულო,7,adj2008_georgian_politics,მოქალაქეთა პოლიტიკური გაერთიანება „ქართული პოლიტიკა”,ამირან ვანაძე,ამირან,ვანაძე,40
84,ხულო,8,christian_democrats_2008,„გიორგი თარგამაძე ქრისტიან დემოკრატები”,რამაზი ხალვაში,რამაზი,ხალვაში,41
