elected_order,party_id,party_label,name_ka,mandate_type,district_id
1,burjanadze_democratic,საარჩევნო ბლოკი - „ნინო ბურჯანაძე - დემოკრატიული მოძრაობა“,გიორგი ცინცქილაძე,pr,
2,unm,მ.პ..გ „ერთიანი ნაციონალური მოძრაობა“,ლევან ვარშალომიძე,pr,
3,unm,მ.პ..გ „ერთიანი ნაციონალური მოძრაობა“,პეტრე ზამბახიძე,pr,
4,unm,მ.პ..გ „ერთიანი ნაციონალური მოძრაობა“,გია აბულაძე,pr,
5,unm,მ.პ..გ „ერთიანი ნაციონალური მოძრაობა“,გიორგი დიასამიძე,pr,
6,unm,მ.პ..გ „ერთიანი ნაციონალური მოძრაობა“,ელგუჯა ბაგრატიონი,pr,
7,patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",დავით თარხან-მოურავი,pr,
8,gd,ქართული ოცნება - დემოკრატიული საქართველო,ნუგზარ სურმანიძე,smd,70
9,gd,ქართული ოცნება - დემოკრატიული საქართველო,დავით გაბაიძე,pr,
10,gd,ქართული ოცნება - დემოკრატიული საქართველო,ირაკლი ჭეიშვილი,pr,
11,gd,ქართული ოცნება - დემოკრატიული საქართველო,ცოტნე ანანიძე,pr,
12,gd,ქართული ოცნება - დემოკრატიული საქართველო,დავით თედორაძე,pr,
13,gd,ქართული ოცნება - დემოკრატიული საქართველო,ვლადიმერ მგალობლიშვილი,pr,
14,gd,ქართული ოცნება - დემოკრატიული საქართველო,დავით ბაციკაძე,pr,
15,gd,ქართული ოცნება - დემოკრატიული საქართველო,ნინო ჩხეტია,pr,
16,gd,ქართული ოცნება - დემოკრატიული საქართველო,გიორგი მანველიძე,pr,
17,gd,ქართული ოცნება - დემოკრატიული საქართველო,ვახტანგ წულაძე,smd,68
18,gd,ქართული ოცნება - დემოკრატიული საქართველო,ილია ვერძაძე,smd,69
19,gd,ქართული ოცნება - დემოკრატიული საქართველო,გიორგი რომანაძე,smd,71
20,gd,ქართული ოცნება - დემოკრატიული საქართველო,მერაბ კარანაძე,smd,72
21,gd,ქართული ოცნება - დემოკრატიული საქართველო,ხვიჩა შარაშიძე,smd,73
