party_id,party_list_name,order_id,name_ka,first_name,last_name,majoritarian_district_number,majoritarian_district_name,partisanship,source_pdf,source_page,pdf_sha256
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",1,დავით თარხან-მოურავი,დავით,თარხან-მოურავი,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",2,ზაზა ოქუაშვილი,ზაზა,ოქუაშვილი,,,უპარტიო,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",3,მერაბ ბლადაძე,მერაბ,ბლადაძე,,,უპარტიო,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",4,დავით ქარცივაძე,დავით,ქარცივაძე,,,უპარტიო,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",5,მამული ჟღენტი,მამული,ჟღენტი,69,ბათუმი,უპარტიო,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",6,ელგუჯა პაიჭაძე,ელგუჯა,პაიჭაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",7,ავთანდილ ხაბაზი,ავთანდილ,ხაბაზი,71,ქობულეთი,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",8,ნინო დავითაშვილი,ნინო,დავითაშვილი,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",9,ეთერ თავართქილაძე,ეთერ,თავართქილაძე,,,უპარტიო,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",10,ლამარა ქათამაძე,ლამარა,ქათამაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",11,ლევან ლორთქიფანიძე,ლევან,ლორთქიფანიძე,72,ხელვაჩაური,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",12,არჩილ მამულაძე,არჩილ,მამულაძე,70,ბათუმი,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",13,ტარიელ მამულაიშვილი,ტარიელ,მამულაიშვილი,68,ბათუმი,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",14,ავთანდილ ქარჩავა,ავთანდილ,ქარჩავა,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",15,ზებურ ავალიანი,ზებურ,ავალიანი,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",16,ჯეირან ფალავანდიშვილი,ჯეირან,ფალავანდიშვილი,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",17,გურამ სურმანიძე,გურამ,სურმანიძე,73,ხულო,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",18,ხათუნა ცეცხლაძე,ხათუნა,ცეცხლაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",19,ნატო გამყრელიძე,ნატო,გამყრელიძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",20,ნატო დონდოლაძე,ნატო,დონდოლაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,1,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",21,დურსუნ მიქელაძე,დურსუნ,მიქელაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",22,პაატა ჭყონია,პაატა,ჭყონია,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",23,ლევან თურმანიძე,ლევან,თურმანიძე,,,უპარტიო,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",24,გივი საფარიძე,გივი,საფარიძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",25,სოსლან ხინიკაძე,სოსლან,ხინიკაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",26,ლევან სურგულაძე,ლევან,სურგულაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",27,დავით კუკულაძე,დავით,კუკულაძე,,,საქართველოს პატრიოტთა ალიანსი,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",28,ნინო გოგიტიძე,ნინო,გოგიტიძე,,,უპარტიო,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
patriots,"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",29,ია მოწყობილი,ია,მოწყობილი,,,უპარტიო,aliansi_sia_2016.pdf,2,8717a25ac1af2f80b002e2f92d77c053075acaa79f1c22e93ff931342e4bb258
