elected_order,party_id,party_label,name_ka,first_name,last_name,mandate_type,district_id
1,unm,ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,ელგუჯა ბაგრატიონი,ელგუჯა,ბაგრატიონი,pr,
2,unm,ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,გიორგი კირთაძე,გიორგი,კირთაძე,pr,
3,unm,ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,გია აბულაძე,გია,აბულაძე,pr,
4,unm,ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,მედეა ვასაძე,მედეა,ვასაძე,pr,
5,unm,ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,ლევან ანთაძე,ლევან,ანთაძე,pr,
6,unm,ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,ირაკლი ჩავლეიშვილი,ირაკლი,ჩავლეიშვილი,pr,
7,unm,ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,მამული სურმანიძე,მამული,სურმანიძე,pr,
8,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,დავით გაბაიძე,დავით,გაბაიძე,pr,
9,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,გიორგი მანველიძე,გიორგი,მანველიძე,pr,
10,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,ირაკლი ჭეიშვილი,ირაკლი,ჭეიშვილი,pr,
11,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,ნადიმ ვარშანიძე,ნადიმ,ვარშანიძე,pr,
12,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,ფატი ხალვაში,ფატი,ხალვაში,pr,
13,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,დავით თედორაძე,დავით,თედორაძე,pr,
14,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,ლადო მგალობლიშვილი,ლადო,მგალობლიშვილი,pr,
15,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,დავით ბაციკაძე,დავით,ბაციკაძე,pr,
16,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,ილია ვერძაძე,ილია,ვერძაძე,pr,
17,gd,„ქართული ოცნება - დემოკრატიული საქართველო“,ლაშა სირაბიძე,ლაშა,სირაბიძე,pr,
18,gd,„ქართული ოცნება- დემოკრატიული საქართველო“,ტიტე აროშიძე,ტიტე,აროშიძე,smd,28
19,gd,„ქართული ოცნება- დემოკრატიული საქართველო“,ცოტნე ანანიძე,ცოტნე,ანანიძე,smd,29
20,gd,„ქართული ოცნება- დემოკრატიული საქართველო“,ფრიდონ ფუტკარაძე,ფრიდონ,ფუტკარაძე,smd,30
