district_id,ballot_number,party_id,name_ka,candidate_order
28,61,face_plus,თენგიზ რუხაძე,1
28,8,patriots,ჯუმბერ ტაკიძე,2
28,56,lelo,გენადი თებიძე,3
28,5,unm,გიორგი კირთაძე,4
28,55,georgian_march,მიხეილ მახარაძე,5
28,41,gd,ტიტე აროშიძე,6
28,2,european_georgia,ვახტანგ კალოიანი,7
28,14,georgian_choice,რუსლან სალაძე,8
28,19,alliance,გოჩა გუგუნავა,9
28,3,democratic_movement,გიორგი ცინცქილაძე,10
28,26,justice,მირიან პაპუნიძე,11
28,44,georgian_idea,ირაკლი ცეცხლაძე,12
28,27,agmashenebeli,ბექა დიასამიძე,13
28,17,victorious_georgia,კახაბერ სირაბიძე,14
28,10,labour,მარიამი გურგენიძე,15
28,4,tribuna,შალვა მაღრაძე,16
28,21,free_georgia,სულიკო მიქელაძე,17
28,47,conservatives,ვლადიმერ ურუშაძე,18
28,24,citizens,გიორგი მასალკინი,19
29,61,face_plus,ედნარ ბაგრატიონი,20
29,8,patriots,გულნარა ბასილაძე,21
29,56,lelo,ზურაბ გოლიაძე,22
29,5,unm,ელგუჯა ბაგრატიონი,23
29,55,georgian_march,გია გოგიტიძე,24
29,41,gd,ცოტნე ანანიძე,25
29,2,european_georgia,რევაზ ჯალაღანია,26
29,14,georgian_choice,მუხრან მგელაძე,27
29,19,alliance,ლაშა ვერულიძე,28
29,3,democratic_movement,იმედა თხილაიშვილი,29
29,26,justice,კახა ცეცხლაძე,30
29,44,georgian_idea,გიორგი ერქომაიშვილი,31
29,34,social_justice_2020,მალხაზ ხაბაზი,32
30,61,face_plus,პაატა შავაძე,33
30,8,patriots,დავით დავითაძე,34
30,56,lelo,მერაბ აბაშიძე,35
30,5,unm,გია აბულაძე,36
30,55,georgian_march,ავთანდილ დიასამიძე,37
30,41,gd,ფრიდონ ფუტკარაძე,38
30,17,victorious_georgia,ასლან ვაშაყმაძე,39
30,10,labour,უშანგი ცეცხლაძე,40
30,2,european_georgia,თემურ კახიძე,41
30,27,agmashenebeli,გიზო გორგილაძე,42
30,14,georgian_choice,მარად აბულაძე,43
30,4,tribuna,ზაზა ტარიელაძე,44
30,19,alliance,ანჟელა ვერძაძე,45
30,21,free_georgia,ბაჰადურ რიჟვაძე,46
