"major_id","electoral_district_id","selfgov_id","majoritarian_district","party_code","party_id","party_label_ka","name_ka","first_name","last_name"
101,1,1,1,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","შალვა შავგულიძე","შალვა","შავგულიძე"
101,1,1,1,"3","industry_sakartvelo","თოფაძე-მრეწველები","ზურაბ კოსტავა","ზურაბ","კოსტავა"
101,1,1,1,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","მამუკა ახვლედიანი","მამუკა","ახვლედიანი"
101,1,1,1,"7","national_council_2010","“ეროვნული საბჭო”","ეკა ლომია","ეკა","ლომია"
101,1,1,1,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","მამუკა ჩიქოვანი","მამუკა","ჩიქოვანი"
101,1,1,1,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","თამთა დემურიშვილი","თამთა","დემურიშვილი"
101,1,1,1,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ვლადიმერ სადღობელაშვილი","ვლადიმერ","სადღობელაშვილი"
101,1,1,1,"16","future_party_2010","“მომავლის პარტია”","მაია კუსიანი","მაია","კუსიანი"
101,1,1,1,"18","solidarity_2010","პოლიტიკური მოძრაობა “სოლიდარობა”","ნინო ნიშნიანიძე","ნინო","ნიშნიანიძე"
101,1,1,1,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","ნატალია ასათიანი","ნატალია","ასათიანი"
101,1,1,1,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","ლია მერმანიშვილი","ლია","მერმანიშვილი"
202,2,1,2,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","დავით საგანელიძე","დავით","საგანელიძე"
202,2,1,2,"3","industry_sakartvelo","თოფაძე-მრეწველები","გიორგი დავლიანიძე","გიორგი","დავლიანიძე"
202,2,1,2,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ვახტანგ ნაცვლიშვილი","ვახტანგ","ნაცვლიშვილი"
202,2,1,2,"7","national_council_2010","“ეროვნული საბჭო”","კახა კუკავა","კახა","კუკავა"
202,2,1,2,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","ედიშერ კვესიტაძე","ედიშერ","კვესიტაძე"
