"election_type","round","local_governing_unit","selfgov_id","party_name","first_name","last_name","candidate_number","maj_id","smd_name","source_pdf","page_number","party_num","party_id","name_ka"
"gamgebeli",1,"აბაშა","63","ქართული ოცნება","მამუკა","კვიტაშვილი","41",NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","მამუკა კვიტაშვილი"
"pr_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","თამაზი","ზაქაიძე",NA,NA,NA,"SakrebuloMembers2014.pdf",74,"5","unm","თამაზი ზაქაიძე"
"pr_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","დავით","თოფურია",NA,NA,NA,"SakrebuloMembers2014.pdf",74,"5","unm","დავით თოფურია"
"pr_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","გელა","ლაბარტყავა",NA,NA,NA,"SakrebuloMembers2014.pdf",74,"5","unm","გელა ლაბარტყავა"
"pr_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","ეკატერინე","მაკალათია",NA,NA,NA,"SakrebuloMembers2014.pdf",74,"5","unm","ეკატერინე მაკალათია"
"pr_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","მალხაზი","ჯოლია",NA,NA,NA,"SakrebuloMembers2014.pdf",74,"5","unm","მალხაზი ჯოლია"
"pr_member",1,"აბაშა","63","ნინო ბურჯანაძე - ერთიანი ოპოზიცია","გელა","კაჭარავა",NA,NA,NA,"SakrebuloMembers2014.pdf",74,"3","burjanadze_united_opposition_2014","გელა კაჭარავა"
"pr_member",1,"აბაშა","63","სალომე ზურაბიშვილი - საქართველოს გზა","პროკოფი","ნიკურაძე",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"18","georgias_way_2014","პროკოფი ნიკურაძე"
"pr_member",1,"აბაშა","63","ქართული ოცნება","გიორგი","გვილავა",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","გიორგი გვილავა"
"pr_member",1,"აბაშა","63","ქართული ოცნება","ელვარდი","კაჭარავა",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","ელვარდი კაჭარავა"
"pr_member",1,"აბაშა","63","ქართული ოცნება","გია","კუცია",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","გია კუცია"
"pr_member",1,"აბაშა","63","ქართული ოცნება","კუკური","ლასარეიშვილი",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","კუკური ლასარეიშვილი"
"pr_member",1,"აბაშა","63","ქართული ოცნება","პაატა","ქურდოვანიძე",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","პაატა ქურდოვანიძე"
"pr_member",1,"აბაშა","63","ქართული ოცნება","კონსტანტინე","ხარძიანი",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","კონსტანტინე ხარძიანი"
"pr_member",1,"აბაშა","63","ქართული ოცნება","ტატიანა","ხოშტარია",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","ტატიანა ხოშტარია"
"pr_member",1,"აბაშა","63","ქართული ოცნება","შალვა","ჯღარკავა",NA,NA,NA,"SakrebuloMembers2014.pdf",75,"41","gd","შალვა ჯღარკავა"
"smd_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","დავითი","კაჭარავა",NA,6301,"ქალაქი აბაშა","SakrebuloMembers2014.pdf",75,"5","unm","დავითი კაჭარავა"
"smd_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","ირაკლი","გაბუნია",NA,6302,"გეზათის თემი","SakrebuloMembers2014.pdf",75,"5","unm","ირაკლი გაბუნია"
"smd_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","გენო","მიმინოშვილი",NA,6303,"ზანათის თემი","SakrebuloMembers2014.pdf",75,"5","unm","გენო მიმინოშვილი"
"smd_member",1,"აბაშა","63","დამოუკიდებელი","ბაქარი","შელია",NA,6304,"კეთილარის თემი","SakrebuloMembers2014.pdf",75,"42","independent","ბაქარი შელია"
"smd_member",1,"აბაშა","63","ქართული ოცნება","ბენია","პიტავა",NA,6305,"მარნის თემის","SakrebuloMembers2014.pdf",75,"41","gd","ბენია პიტავა"
"smd_member",1,"აბაშა","63","დამოუკიდებელი","ბაჩუკი","ქვილითაია",NA,6306,"ნაესაკოვოს თემის","SakrebuloMembers2014.pdf",75,"42","independent","ბაჩუკი ქვილითაია"
"smd_member",1,"აბაშა","63","ქართული ოცნება","გელა","ხოშტარია",NA,6307,"ნორიოს თემის","SakrebuloMembers2014.pdf",75,"41","gd","გელა ხოშტარია"
"smd_member",1,"აბაშა","63","ქართული ოცნება","ლეონტი","ნადარეიშვილი",NA,6308,"სოფ. ონტოფოს","SakrebuloMembers2014.pdf",75,"41","gd","ლეონტი ნადარეიშვილი"
"smd_member",1,"აბაშა","63","ქართული ოცნება","გელა","ვერულაშვილი",NA,6309,"პ/მაისის თემის","SakrebuloMembers2014.pdf",75,"41","gd","გელა ვერულაშვილი"
"smd_member",1,"აბაშა","63","ქართული ოცნება","მამუკა","ვეკუა",NA,6310,"სამიქაოს თემის","SakrebuloMembers2014.pdf",75,"41","gd","მამუკა ვეკუა"
"smd_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","მერაბი","მელია",NA,6311,"სოფ. სეფიეთის","SakrebuloMembers2014.pdf",75,"5","unm","მერაბი მელია"
"smd_member",1,"აბაშა","63","ქართული ოცნება","რევაზი","ჩაჩავა",NA,6312,"სუჯუნის თემის","SakrebuloMembers2014.pdf",75,"41","gd","რევაზი ჩაჩავა"
"smd_member",1,"აბაშა","63","დამოუკიდებელი","გია","მიგინეიშვილი",NA,6313,"ტყვირის თემის","SakrebuloMembers2014.pdf",75,"42","independent","გია მიგინეიშვილი"
"smd_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","კახა","ცანავა",NA,6314,"ქოლობნის თემის","SakrebuloMembers2014.pdf",75,"5","unm","კახა ცანავა"
"smd_member",1,"აბაშა","63","დამოუკიდებელი","ელვარდი","ნოდია",NA,6315,"სოფ. ძვ. აბაშის","SakrebuloMembers2014.pdf",75,"42","independent","ელვარდი ნოდია"
"smd_member",1,"აბაშა","63","ერთიანი ნაციონალური მოძრაობა","კოხტა","მელია",NA,6316,"სოფ. წყემის","SakrebuloMembers2014.pdf",75,"5","unm","კოხტა მელია"
"gamgebeli",1,"ადიგენი","38","ქართული ოცნება","ზაქარია","ენდელაძე","41",NA,NA,"SakrebuloMembers2014.pdf",41,"41","gd","ზაქარია ენდელაძე"
"pr_member",1,"ადიგენი","38","ერთიანი ნაციონალური მოძრაობა","გივი","ენდელაძე",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"5","unm","გივი ენდელაძე"
"pr_member",1,"ადიგენი","38","ერთიანი ნაციონალური მოძრაობა","დავით","ოგანეზიანი",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"5","unm","დავით ოგანეზიანი"
"pr_member",1,"ადიგენი","38","ერთიანი ნაციონალური მოძრაობა","რატი","ტატალაშვილი",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"5","unm","რატი ტატალაშვილი"
"pr_member",1,"ადიგენი","38","ერთიანი ნაციონალური მოძრაობა","თემურ","ფეიქრიშვილი",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"5","unm","თემურ ფეიქრიშვილი"
"pr_member",1,"ადიგენი","38","ნინო ბურჯანაძე - ერთიანი ოპოზიცია","მალხაზ","ბოჩიკაშვილი",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"3","burjanadze_united_opposition_2014","მალხაზ ბოჩიკაშვილი"
"pr_member",1,"ადიგენი","38","ნინო ბურჯანაძე - ერთიანი ოპოზიცია","მარლენ","ქაფიანიძე",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"3","burjanadze_united_opposition_2014","მარლენ ქაფიანიძე"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","ალექსი","გიგოლაშვილი",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","ალექსი გიგოლაშვილი"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","რევაზ","გოგნაძე",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","რევაზ გოგნაძე"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","ოთარ","კვარაცხელია",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","ოთარ კვარაცხელია"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","ლევან","ლობჯანიძე",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","ლევან ლობჯანიძე"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","იმედა","მღებრიშვილი",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","იმედა მღებრიშვილი"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","ნინო","ჩოგოვაძე",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","ნინო ჩოგოვაძე"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","თამაზ","ძაძამია",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","თამაზ ძაძამია"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","იმედა","ხომასურიძე",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","იმედა ხომასურიძე"
"pr_member",1,"ადიგენი","38","ქართული ოცნება","მინდია","ჯელია",NA,NA,NA,"SakrebuloMembers2014.pdf",40,"41","gd","მინდია ჯელია"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ნუგზარ","ქაშიბაძე",NA,3801,"ადიგენის დაბის","SakrebuloMembers2014.pdf",40,"41","gd","ნუგზარ ქაშიბაძე"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ნანა","ბარბლიშვილი",NA,3802,"აბასთუმნის დაბის","SakrebuloMembers2014.pdf",40,"41","gd","ნანა ბარბლიშვილი"
"smd_member",1,"ადიგენი","38","ერთიანი ნაციონალური მოძრაობა","თენგიზ","ქომოშვილი",NA,3803,"არლის თემის","SakrebuloMembers2014.pdf",40,"5","unm","თენგიზ ქომოშვილი"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ალექსი","ენდელაძე",NA,3804,"ბენარის თემის","SakrebuloMembers2014.pdf",40,"41","gd","ალექსი ენდელაძე"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","კობა","ჩხიტუნიძე",NA,3805,"ბოლაჯურის თემის","SakrebuloMembers2014.pdf",40,"41","gd","კობა ჩხიტუნიძე"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ნინა","სტეფანოვა",NA,3806,"გორგულის თემის","SakrebuloMembers2014.pdf",40,"41","gd","ნინა სტეფანოვა"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","გიორგი","მინაძე",NA,3807,"ვარხნის თემის","SakrebuloMembers2014.pdf",40,"41","gd","გიორგი მინაძე"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ბაგრატ","ხოზრევანიძე",NA,3808,"ზანავის თემის","SakrebuloMembers2014.pdf",41,"41","gd","ბაგრატ ხოზრევანიძე"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ნუკრი","ხვედელიძე",NA,3809,"ლელოვნის თემის","SakrebuloMembers2014.pdf",41,"41","gd","ნუკრი ხვედელიძე"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","შალვა","გავაშელი",NA,3810,"მლაშის თემის","SakrebuloMembers2014.pdf",41,"41","gd","შალვა გავაშელი"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ავთანდილი","გობაძე",NA,3811,"მოხის თემის","SakrebuloMembers2014.pdf",41,"41","gd","ავთანდილი გობაძე"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","ვაჟა","ობოლაშვილი",NA,3812,"უდის თემის","SakrebuloMembers2014.pdf",41,"41","gd","ვაჟა ობოლაშვილი"
"smd_member",1,"ადიგენი","38","ერთიანი ნაციონალური მოძრაობა","ჯონდო","ხარაიშვილი",NA,3813,"ფხეროს თემის","SakrebuloMembers2014.pdf",41,"5","unm","ჯონდო ხარაიშვილი"
"smd_member",1,"ადიგენი","38","ქართული ოცნება","მუხრან","ხარშილაძე",NA,3814,"ჩორჩნის თემის","SakrebuloMembers2014.pdf",41,"41","gd","მუხრან ხარშილაძე"
"smd_member",1,"ადიგენი","38","საინიციატივო ჯგუფი","თეიმურაზი","შავაძე",NA,3815,"ჭეჭლის თემის","SakrebuloMembers2014.pdf",41,"42","independent","თეიმურაზი შავაძე"
"gamgebeli",1,"ამბროლაური","44","ქართული ოცნება","მალხაზ","ლომთაძე","41",NA,NA,"SakrebuloMembers2014.pdf",48,"41","gd","მალხაზ ლომთაძე"
"pr_member",1,"ამბროლაური","44","ერთიანი ნაციონალური მოძრაობა","კობა","კერესელიძე",NA,NA,NA,"SakrebuloMembers2014.pdf",47,"5","unm","კობა კერესელიძე"
"pr_member",1,"ამბროლაური","44","ერთიანი ნაციონალური მოძრაობა","თამაზ","ლომთაძე",NA,NA,NA,"SakrebuloMembers2014.pdf",47,"5","unm","თამაზ ლომთაძე"
"pr_member",1,"ამბროლაური","44","ნინო ბურჯანაძე - ერთიანი ოპოზიცია","გიორგი","ვაწაძე",NA,NA,NA,"SakrebuloMembers2014.pdf",47,"3","burjanadze_united_opposition_2014","გიორგი ვაწაძე"
