"election_type","district_raw","district_id","party_num","party_id","name_ka","party_name"
"gamgebeli",11,11,"1","nonparliamentary_opposition_2014","ივანე დემეტრაშვილი","არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)"
"gamgebeli",11,11,"2","veterans_patriots_2014","დავითი მაისაშვილი","საქართველოს ძალოვან ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა"
"gamgebeli",11,11,"26","sakhalkho_party_2014","ალექსი არაბული","სახალხო პარტია"
"gamgebeli",11,11,"3","burjanadze_united_opposition_2014","თენგიზ სონიშვილი","ნინო ბურჯანაძე - ერთიანი ოპოზიცია"
"gamgebeli",11,11,"41","gd","გიორგი გზირიშვილი","ქართული ოცნება"
"gamgebeli",11,11,"5","unm","გარსევან ბუხნიკაშვილი","ერთიანი ნაციონალური მოძრაობა"
"gamgebeli",11,11,"8","patriots","სოსლან გარსევანიშვილი","დავით თარხან-მოურავი - საქართველოს პატრიოტთა ალიანსი"
"gamgebeli",12,12,"18","georgias_way_2014","ფარვიზი ბაწელაშვილი","სალომე ზურაბიშვილი - საქართველოს გზა"
"gamgebeli",12,12,"3","burjanadze_united_opposition_2014","ვალერი შოშიაშვილი","ნინო ბურჯანაძე - ერთიანი ოპოზიცია"
"gamgebeli",12,12,"41","gd","გივი გერგიძე","ქართული ოცნება"
"gamgebeli",12,12,"5","unm","გიორგი პეტრუზაშვილი","ერთიანი ნაციონალური მოძრაობა"
"gamgebeli",13,13,"1","nonparliamentary_opposition_2014","გიორგი მჭედლიშვილი","არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)"
"gamgebeli",13,13,"3","burjanadze_united_opposition_2014","ირაკლი სულიაშვილი","ნინო ბურჯანაძე - ერთიანი ოპოზიცია"
"gamgebeli",13,13,"30","kostava_society","ნოდარი კუტიბაშვილი","მერაბ კოსტავას საზოგადოება"
"gamgebeli",13,13,"41","gd","დავითი ჯანიკაშვილი","ქართული ოცნება"
"gamgebeli",13,13,"5","unm","ზაზა ზედელაშვილი","ერთიანი ნაციონალური მოძრაობა"
"gamgebeli",14,14,"1","nonparliamentary_opposition_2014","გელა ბაგალიშვილი","არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)"
"gamgebeli",14,14,"41","gd","ნიკოლოზ ჯანიაშვილი","ქართული ოცნება"
"gamgebeli",14,14,"5","unm","ემზარ ჯანაშვილი","ერთიანი ნაციონალური მოძრაობა"
"gamgebeli",15,15,"2","veterans_patriots_2014","ნოდარი მანიჟაშვილი","საქართველოს ძალოვან ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა"
"gamgebeli",15,15,"3","burjanadze_united_opposition_2014","ისაკო ცქიფურიშვილი","ნინო ბურჯანაძე - ერთიანი ოპოზიცია"
"gamgebeli",15,15,"41","gd","კარლო ჯამბურია","ქართული ოცნება"
