"election_type","district_raw","district_id","major_id","party_num","party_id","name_ka","party_name","smd_code"
"council_smd",1,101,101,"1","nonparliamentary_opposition_2014","ნინო ბორჩხაძე","არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)","01.01"
"council_smd",1,101,101,"17","unity_hall_2014","თენგიზი გოგორიშვილი","ერთიანობის დარბაზი","01.01"
"council_smd",1,101,101,"18","georgias_way_2014","თეონა ბექაური","სალომე ზურაბიშვილი - საქართველოს გზა","01.01"
"council_smd",1,101,101,"20","labour","ედვარდ მაისურაძე","შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია","01.01"
"council_smd",1,101,101,"26","sakhalkho_party_2014","გიორგი ფესვიანიძე","სახალხო პარტია","01.01"
"council_smd",1,101,101,"3","burjanadze_united_opposition_2014","გურამ ფალავანდიშვილი","ნინო ბურჯანაძე - ერთიანი ოპოზიცია","01.01"
"council_smd",1,101,101,"36","workers_council_2014","გურამ კოპაძე","საქართველოს მშრომელთა საბჭო","01.01"
"council_smd",1,101,101,"41","gd","ჯაბა ჯიშკარიანი","ქართული ოცნება","01.01"
"council_smd",1,101,101,"5","unm","დავით ავალიანი","ერთიანი ნაციონალური მოძრაობა","01.01"
"council_smd",1,101,101,"6","greens_2014","ირაკლი გაგნიძე","გიორგი გაჩეჩილაძე - მწვანეთა პარტია","01.01"
"council_smd",1,101,101,"8","patriots","ნინო ანდრონიკაშვილი","დავით თარხან-მოურავი - საქართველოს პატრიოტთა ალიანსი","01.01"
"council_smd",1,101,101,"9","self_governance_people_2014","ლაშა ბრეგვაძე","თვითმმართველობა ხალხს!","01.01"
"council_smd",10,1022,1022,"1","nonparliamentary_opposition_2014","ზურაბ ავსაჯანიშვილი","არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)","10.22"
"council_smd",10,1022,1022,"12","our_georgia_2014","თენგიზ სიგუა","ჩვენი საქართველო","10.22"
"council_smd",10,1022,1022,"20","labour","გიორგი გუგავა","შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია","10.22"
"council_smd",10,1022,1022,"26","sakhalkho_party_2014","მამუკა გიორგაძე","სახალხო პარტია","10.22"
