party_id,party_label,list_order,name_ka,first_name,last_name,birth_date,profession,employment_status,partisanship,source_page
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,1,გოჩა ფიფია,გოჩა,ფიფია,65-04-05,სამართალ-მცოდნეობა; საქართველოს პარლამენტი,დეპუტატი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,2,აპოლონ სილაგაძე,აპოლონ,სილაგაძე,42-05-29,"ფილოლოგი-აღმოსავლეთ-მცოდნე, აღმოსავლური ენის, ქართული ენისა დ ლიტერატურის მასწავლებელი; ქ. თბილისის ივ. ჯავახიშვილის სახ. სახელმწიფოUუნივერსიტეტი",სრული პროფესორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,3,გერმანე ფაცაცია,გერმანე,ფაცაცია,51-08-20,ფილოსოფოსი; აფხაზეთის ა/რ უმაღლესი საბჭო,დეპუტატი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,4,გიორგი მაჭარაშვილი,გიორგი,მაჭარაშვილი,56-11-04,"ინჟინერ-ელექტრიკოსი; შ.პ.ს. რეტრო-კლუბი ""ტრიუმფი""",არტ დირექტორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,5,ივანე სეხნიაშვილი,ივანე,სეხნიაშვილი,74-06-10,საერთაშორისო ურთიერთობებისა დაგერმანულ-ინგლისურ ენების სპეციალისტი; საქართველოს დ. აღმაშენებლის სახ. უნივერსიტეტი,პროფესორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,6,როლანდი ნიჟარაძე,როლანდი,ნიჟარაძე,55-11-10,ისტორიკოსი სამართალ-მცოდნე,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,7,მირიანი ოდიშარია,მირიანი,ოდიშარია,51-09-24,"ისტორიის, ქართული ენისა და ლიტერატურის სპეციალისტი",უმუშევარი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,8,ერეკლე საღლიანი,ერეკლე,საღლიანი,58-05-15,ისტორიკოსი; პოლიტიკური აკადემია,ლექტორი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,9,სოსო თორია,სოსო,თორია,58-02-15,ინჟინერი,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",1
georgian_politics_2008,მოქალაქეთა პოლიტიკური გაერთიანება “ქართული პოლიტიკა”,10,დიანა ძიაპშიპა,დიანა,ძიაპშიპა,51-02-16,იურისტ-სამართალმცოდნე,უმუშევარი,"პარტია ""ქართული პოლიტიკა""",1
