electoral_district_id,raw_vote_code,party_id,name_ka,first_name,last_name,party_label
1,2,republicans_2008,ივლიანე ხაინდრავა,ივლიანე,ხაინდრავა,საქართველოს რესპუბლიკური პარტია
1,3,right_alliance_2008,ზაურ მესხიშვილი,ზაურ,მესხიშვილი,"“მემარჯვენე ალიანსი, თოფაძე–მრეწველები (მ.გ.ს., ერთობა, ე.დ.პ.)”"
1,4,labour,ელიზბარ ჯაველიძე,ელიზბარ,ჯაველიძე,“შალვა ნათელაშვილი – საქართველოს ლეიბორისტული პარტია”
1,5,unm,არჩილ გეგენავა,არჩილ,გეგენავა,“ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის”
1,7,united_opposition_2008,გია თორთლაძე,გია,თორთლაძე,"“გაერთიანებული ოპოზიცია (ეროვნული საბჭო, მემარჯვენეები)”"
1,9,christian_democratic_alliance_2008,ავთანდილ კახნიაშვილი,ავთანდილ,კახნიაშვილი,პოლიტიკური გაერთიანება “ქრისტიანულ-დემოკრატიული ალიანსი (ქდა)”
1,10,christian_democrats_2008,ლევან ღვინჯილია,ლევან,ღვინჯილია,“გიორგი თარგამაძე – ქრისტიან-დემოკრატები”
1,11,traditionalists,ნინო იაშვილი,ნინო,იაშვილი,“ტრადიციონალისტები – ჩვენი საქართველო და ქალთა პარტია”
2,2,republicans_2008,ლევან ბერძენიშვილი,ლევან,ბერძენიშვილი,საქართველოს რესპუბლიკური პარტია
2,4,labour,ლეილა გაფრინდაშვილი,ლეილა,გაფრინდაშვილი,“შალვა ნათელაშვილი – საქართველოს ლეიბორისტული პარტია”
2,5,unm,ზაალ გამცემლიძე,ზაალ,გამცემლიძე,“ერთიანი ნაციონალური მოძრაობა – გამარჯვებული საქართველოსთვის”
2,7,united_opposition_2008,დავით გამყრელიძე,დავით,გამყრელიძე,"“გაერთიანებული ოპოზიცია (ეროვნული საბჭო, მემარჯვენეები)”"
2,9,christian_democratic_alliance_2008,გიორგი გაჩეჩილაძე,გიორგი,გაჩეჩილაძე,პოლიტიკური გაერთიანება “ქრისტიანულ-დემოკრატიული ალიანსი (ქდა)”
2,11,traditionalists,ირმა ჯანგირაშვილი,ირმა,ჯანგირაშვილი,“ტრადიციონალისტები – ჩვენი საქართველო და ქალთა პარტია”
3,2,republicans_2008,თინათინ ხიდაშელი,თინათინ,ხიდაშელი,საქართველოს რესპუბლიკური პარტია
3,3,right_alliance_2008,გიორგი ანდრიაძე,გიორგი,ანდრიაძე,"“მემარჯვენე ალიანსი, თოფაძე–მრეწველები (მ.გ.ს., ერთობა, ე.დ.პ.)”"
3,4,labour,თამაზ შიოშვილი,თამაზ,შიოშვილი,“შალვა ნათელაშვილი – საქართველოს ლეიბორისტული პარტია”
