election_type,mandate_type,party_id,party_label,elected_order,district_id,district_name_ka,name_ka,first_name,last_name
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,1,,,ირაკლი ალასანია,ირაკლი,ალასანია
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,2,,,გიგლა აგულაშვილი,გიგლა,აგულაშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,3,,,თამაზ ავდალიანი,თამაზ,ავდალიანი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,4,,,პაატა ბარათაშვილი,პაატა,ბარათაშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,5,,,დემურ ბაშელეიშვილი,დემურ,ბაშელეიშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,6,,,დავით ბერძენიშვილი,დავით,ბერძენიშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,7,,,ლევან ბერძენიშვილი,ლევან,ბერძენიშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,8,,,გიგა ბუკია,გიგა,ბუკია
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,9,,,გიორგი გაჩეჩილაძე,გიორგი,გაჩეჩილაძე
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,10,,,ნინო გოგუაძე,ნინო,გოგუაძე
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,11,,,ბიძინა გუჯაბიძე,ბიძინა,გუჯაბიძე
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,12,,,კობა დავითაშვილი,კობა,დავითაშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,13,,,გიორგი ვოლსკი,გიორგი,ვოლსკი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,14,,,პაატა ზაქარეიშვილი,პაატა,ზაქარეიშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,15,,,გიორგი თოფაძე,გიორგი,თოფაძე
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,16,,,ირინე იმერლიშვილი,ირინე,იმერლიშვილი
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,17,,,მერაბ კაჭახიძე,მერაბ,კაჭახიძე
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,18,,,პაატა კვიჟინაძე,პაატა,კვიჟინაძე
pr,party_list,gd,ბიძინა ივანიშვილი - ქართული ოცნება,19,,,შალვა კიკნაველიძე,შალვა,კიკნაველიძე
