electoral_district_id,raw_vote_code,ballot_code,party_id,name_ka,first_name,last_name,presenter
1,5,5,unm,არჩილ გეგენავა,არჩილ,გეგენავა,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
1,36,36,workers_socialist,ტიტიკო ლეფსაია,ტიტიკო,ლეფსაია,36. ”საქართველოს მშრომელთა საბჭო”
1,38,38,labour,პაატა ჩოხელი,პაატა,ჩოხელი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
1,41,41,gd,ზაზა პაპუაშვილი,ზაზა,პაპუაშვილი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
2,1,1,free_georgia,კახა კუკავა,კახა,კუკავა,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
2,4,4,ndp_2012,გენადი კვაჭანტირაძე,გენადი,კვაჭანტირაძე,"4. ""ეროვნულ-დემოკრატიული პარტია"""
2,5,5,unm,გიორგი კარბელაშვილი,გიორგი,კარბელაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
2,10,10,christian_democrats_2012,ნინო გურიელი,ნინო,გურიელი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
2,24,24,new_rights_2012,დავით გამყრელიძე,დავით,გამყრელიძე,"24. ""ახალი მემარჯვენეები"""
2,35,35,future_georgia,დავით თორდუა,დავით,თორდუა,35. ”მომავალი საქართველო”
2,36,36,workers_socialist,როინ ლიპარტელიანი,როინ,ლიპარტელიანი,36. ”საქართველოს მშრომელთა საბჭო”
2,38,38,labour,ლეილა გაფრინდაშვილი,ლეილა,გაფრინდაშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
2,41,41,gd,შალვა შავგულიძე,შალვა,შავგულიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
3,1,1,free_georgia,ნანა დევდარიანი,ნანა,დევდარიანი,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
3,4,4,ndp_2012,გურამ ჩახვაძე,გურამ,ჩახვაძე,"4. ""ეროვნულ-დემოკრატიული პარტია"""
3,5,5,unm,ანდრია ურუშაძე,ანდრია,ურუშაძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
3,10,10,christian_democrats_2012,ნოდარ სარჯველაძე,ნოდარ,სარჯველაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
3,23,23,georgian_group,ჯონდო ბაღათურია,ჯონდო,ბაღათურია,"23. ""ჯონდი ბაღათურია - ქართული დასი"""
3,24,24,new_rights_2012,მამუკა კაციტაძე,მამუკა,კაციტაძე,"24. ""ახალი მემარჯვენეები"""
3,30,30,kostava_society,გიორგი ლილუაშვილი,გიორგი,ლილუაშვილი,"30. ""მერაბ კოსტავას საზოგადოება"""
3,36,36,workers_socialist,ამირან ლუაშვილი,ამირან,ლუაშვილი,36. ”საქართველოს მშრომელთა საბჭო”
3,38,38,labour,სიმონ პეტრიაშვილი,სიმონ,პეტრიაშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
3,41,41,gd,დავით უსუფაშვილი,დავით,უსუფაშვილი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
4,5,5,unm,დავით საყვარელიძე,დავით,საყვარელიძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
4,9,9,fair_georgia_2012,ხვიჩა ასანიძე,ხვიჩა,ასანიძე,"9. ""სამართლიანი საქართველოსთვის"""
4,10,10,christian_democrats_2012,ზაზა გაბუნია,ზაზა,გაბუნია,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
