self_governing_unit,vote_type,candidate_name,candidate_political_party,majoritarian_district_id
1,sakrebulo pr,შალვა სუთიაშვილი, ქართული ოცნება,
1,sakrebulo pr,თინათინ ნიბლოშვილი,ქართული ოცნება,
1,sakrebulo pr,ბექა დავითულიანი,ქართული ოცნება,
1,sakrebulo pr,გურამ ნიკოლაშვილი,ქართული ოცნება,
1,sakrebulo pr,ნიკოლოზ კახეთელიძე,ქართული ოცნება,
1,sakrebulo pr,ნინო ვარდოსანიძე,ქართული ოცნება,
1,sakrebulo pr,ავთანდილ ცინცაძე,ქართული ოცნება,
1,sakrebulo pr,კონსტანტინე ზარნაძე,ქართული ოცნება,
1,sakrebulo pr,ბექა ოდიშარია,ქართული ოცნება,
1,sakrebulo pr,ოთარ ჩრდილელი,ქართული ოცნება,
1,sakrebulo pr,გიორგი ხუროძე,ქართული ოცნება,
1,sakrebulo pr,კახა ბერაძე,ქართული ოცნება,
1,sakrebulo pr,ლევან არველაძე,ქართული ოცნება,
1,sakrebulo pr,ლევან აბაშიძე,ქართული ოცნება,
1,sakrebulo pr,ალექსანდრე მუკათარიძე,ქართული ოცნება,
1,sakrebulo pr,ნოდარ ბოკერია,ქართული ოცნება,
1,sakrebulo pr,მარიამ გრიგოლიშვილი,ქართული ოცნება,
1,sakrebulo pr,ლუკა ძაძამია,ქართული ოცნება,
1,sakrebulo pr,ქეთევან ჭავჭანიძე,ქართული ოცნება,
1,sakrebulo pr,ლეილა კოლომიკოვი,ქართული ოცნება,
1,sakrebulo pr,ნიკოლოზ ჩერქეზიშვილი,ძლიერი საქართველო-ლელო,
1,sakrebulo pr,ვახტანგ სურგულაძე,ძლიერი საქართველო-ლელო,
1,sakrebulo pr,დავით ფანჯაკიძე,გირჩი,
1,sakrebulo pr,გიორგი გვენეტაძე,გირჩი,
1,sakrebulo pr,გიორგი ქარდავა,„კონსერვატორები საქართველოსთვის“,
1,sakrebulo smd,ზურაბ აბაშიძე,ქართული ოცნება,1.01
1,sakrebulo smd,ალექსანდრე ასათიანი,ქართული ოცნება,2.02
1,sakrebulo smd,ბექა გელენავა,ქართული ოცნება,2.03
1,sakrebulo smd,შალვა პერანიძე,ქართული ოცნება,3.04
1,sakrebulo smd,ბექა მიქაუტაძე,ქართული ოცნება,3.05
1,sakrebulo smd,არჩილ ნიჟარაძე,ქართული ოცნება,3.06
1,sakrebulo smd,ლევან ჯაფარიძე,ქართული ოცნება,4.07
1,sakrebulo smd,კახაბერი ლაბუჩიძე,ქართული ოცნება,5.08
