district_id,district_name_ka,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,აჭარა,adj2008_united_communist,1830,0.0171,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
national,აჭარა,adj2008_kartuli_dasi,1628,0.0153,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
national,აჭარა,industry_sakartvelo,1586,0.0149,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
national,აჭარა,adj2008_chven_tviton,3024,0.0283,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
national,აჭარა,unm,81095,0.7598,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
national,აჭარა,conservatives,0,0,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
national,აჭარა,adj2008_georgian_politics,0,0,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
national,აჭარა,christian_democrats_2008,17569,0.1646,295795,109212,39468,85449,289869,5926,0.3692,0.1334,0.2889,2840,0.026
79,ბათუმი,adj2008_united_communist,867,0.0281,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
79,ბათუმი,adj2008_kartuli_dasi,814,0.0264,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
79,ბათუმი,industry_sakartvelo,684,0.0222,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
79,ბათუმი,adj2008_chven_tviton,727,0.0235,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
79,ბათუმი,unm,21722,0.7036,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
79,ბათუმი,conservatives,0,0,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
79,ბათუმი,adj2008_georgian_politics,0,0,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
79,ბათუმი,christian_democrats_2008,6059,0.1963,100532,31809,13549,27516,98360,2172,0.3164,0.1348,0.2737,1316,0.0414
80,ქედა,adj2008_united_communist,49,0.0048,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
80,ქედა,adj2008_kartuli_dasi,85,0.0083,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
80,ქედა,industry_sakartvelo,240,0.0234,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
80,ქედა,adj2008_chven_tviton,85,0.0083,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
80,ქედა,unm,8223,0.8011,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
80,ქედა,conservatives,0,0,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
80,ქედა,adj2008_georgian_politics,0,0,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
80,ქედა,christian_democrats_2008,1583,0.1542,16039,10437,3561,7774,15933,106,0.6507,0.222,0.4847,172,0.0165
81,ქობულეთი,adj2008_united_communist,343,0.0121,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
81,ქობულეთი,adj2008_kartuli_dasi,413,0.0145,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
81,ქობულეთი,industry_sakartvelo,195,0.0069,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
81,ქობულეთი,adj2008_chven_tviton,1029,0.0362,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
81,ქობულეთი,unm,22321,0.7844,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
81,ქობულეთი,conservatives,0,0,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
81,ქობულეთი,adj2008_georgian_politics,0,0,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
81,ქობულეთი,christian_democrats_2008,4154,0.146,67494,29257,10082,22317,66888,606,0.4335,0.1494,0.3307,722,0.0247
82,შუახევი,adj2008_united_communist,57,0.0059,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
82,შუახევი,adj2008_kartuli_dasi,18,0.0019,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
82,შუახევი,industry_sakartvelo,121,0.0125,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
82,შუახევი,adj2008_chven_tviton,89,0.0092,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
82,შუახევი,unm,8303,0.8585,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
82,შუახევი,conservatives,0,0,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
82,შუახევი,adj2008_georgian_politics,0,0,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
82,შუახევი,christian_democrats_2008,1083,0.112,15422,9826,3429,6910,15236,186,0.6371,0.2223,0.4481,153,0.0156
83,ხელვაჩაური,adj2008_united_communist,400,0.0348,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
83,ხელვაჩაური,adj2008_kartuli_dasi,76,0.0066,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
83,ხელვაჩაური,industry_sakartvelo,248,0.0216,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
83,ხელვაჩაური,adj2008_chven_tviton,810,0.0704,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
83,ხელვაჩაური,unm,6868,0.5969,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
83,ხელვაჩაური,conservatives,0,0,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
83,ხელვაჩაური,adj2008_georgian_politics,0,0,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
83,ხელვაჩაური,christian_democrats_2008,3104,0.2698,72249,11813,4379,9743,69609,2640,0.1635,0.0606,0.1349,300,0.0254
84,ხულო,adj2008_united_communist,114,0.0071,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
84,ხულო,adj2008_kartuli_dasi,222,0.0139,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
84,ხულო,industry_sakartvelo,98,0.0061,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
84,ხულო,adj2008_chven_tviton,284,0.0178,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
84,ხულო,unm,13658,0.8557,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
84,ხულო,conservatives,0,0,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
84,ხულო,adj2008_georgian_politics,0,0,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
84,ხულო,christian_democrats_2008,1586,0.0994,24059,16070,4468,11189,23843,216,0.6679,0.1857,0.4651,177,0.011
