district_id,district_name_ka,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,აჭარა,adj2008_united_communist,,2490,0.0247,293103,103930,37495,80518,287278,5825,0.3546,0.1279,0.2747,2919,0.0281
national,აჭარა,adj2008_kartuli_dasi,,3006,0.0298,293103,103930,37495,80518,287278,5825,0.3546,0.1279,0.2747,2919,0.0281
national,აჭარა,industry_sakartvelo,,1687,0.0167,293103,103930,37495,80518,287278,5825,0.3546,0.1279,0.2747,2919,0.0281
national,აჭარა,adj2008_chven_tviton,,1960,0.0194,293103,103930,37495,80518,287278,5825,0.3546,0.1279,0.2747,2919,0.0281
national,აჭარა,unm,,74396,0.7382,293103,103930,37495,80518,287278,5825,0.3546,0.1279,0.2747,2919,0.0281
national,აჭარა,christian_democrats_2008,,17245,0.1711,293103,103930,37495,80518,287278,5825,0.3546,0.1279,0.2747,2919,0.0281
79,ბათუმი,adj2008_united_communist,თეიმურაზ სამნიძე,854,0.0276,100529,32180,13543,27457,98360,2169,0.3201,0.1347,0.2731,1199,0.0373
79,ბათუმი,adj2008_kartuli_dasi,ბესიკი რატიანი,839,0.0272,100529,32180,13543,27457,98360,2169,0.3201,0.1347,0.2731,1199,0.0373
79,ბათუმი,industry_sakartvelo,ირაკლი ჯაში,746,0.0241,100529,32180,13543,27457,98360,2169,0.3201,0.1347,0.2731,1199,0.0373
79,ბათუმი,adj2008_chven_tviton,ზურაბ ცეცხლაძე,790,0.0256,100529,32180,13543,27457,98360,2169,0.3201,0.1347,0.2731,1199,0.0373
79,ბათუმი,unm,ზაზა გოგოტიშვილი,22206,0.7187,100529,32180,13543,27457,98360,2169,0.3201,0.1347,0.2731,1199,0.0373
79,ბათუმი,christian_democrats_2008,ნიაზ ზოსიძე,5464,0.1768,100529,32180,13543,27457,98360,2169,0.3201,0.1347,0.2731,1199,0.0373
80,ქედა,adj2008_kartuli_dasi,ნუნუ ავალიანი,143,0.014,15439,10428,3561,7774,15333,106,0.6754,0.2306,0.5035,223,0.0214
80,ქედა,industry_sakartvelo,ჯამბული შარაბიძე,350,0.0343,15439,10428,3561,7774,15333,106,0.6754,0.2306,0.5035,223,0.0214
80,ქედა,unm,რევაზი არძენაძე,8210,0.8045,15439,10428,3561,7774,15333,106,0.6754,0.2306,0.5035,223,0.0214
80,ქედა,christian_democrats_2008,მურმანი დავითაძე,1502,0.1472,15439,10428,3561,7774,15333,106,0.6754,0.2306,0.5035,223,0.0214
81,ქობულეთი,adj2008_united_communist,ლევან დავითაძე,372,0.0131,67493,29236,10082,22317,66888,605,0.4332,0.1494,0.3307,767,0.0262
81,ქობულეთი,adj2008_kartuli_dasi,სულიკო კირჩხელი,456,0.0161,67493,29236,10082,22317,66888,605,0.4332,0.1494,0.3307,767,0.0262
81,ქობულეთი,industry_sakartvelo,იმედა გოლიაძე,201,0.0071,67493,29236,10082,22317,66888,605,0.4332,0.1494,0.3307,767,0.0262
81,ქობულეთი,adj2008_chven_tviton,მანუჩარ ანანიძე,1170,0.0412,67493,29236,10082,22317,66888,605,0.4332,0.1494,0.3307,767,0.0262
81,ქობულეთი,unm,ომარი ჭყონია,22288,0.7858,67493,29236,10082,22317,66888,605,0.4332,0.1494,0.3307,767,0.0262
81,ქობულეთი,christian_democrats_2008,ანზორი თხილაიშვილი,3877,0.1367,67493,29236,10082,22317,66888,605,0.4332,0.1494,0.3307,767,0.0262
82,შუახევი,adj2008_united_communist,ლევან დავითაძე,41,0.0044,13277,9469,3435,6718,13108,169,0.7132,0.2587,0.506,158,0.0167
82,შუახევი,industry_sakartvelo,ზაზა დავითაძე,179,0.0193,13277,9469,3435,6718,13108,169,0.7132,0.2587,0.506,158,0.0167
82,შუახევი,unm,მიხეილი მჟავანაძე,8316,0.8953,13277,9469,3435,6718,13108,169,0.7132,0.2587,0.506,158,0.0167
82,შუახევი,christian_democrats_2008,თეიმურაზ დავითაძე,752,0.081,13277,9469,3435,6718,13108,169,0.7132,0.2587,0.506,158,0.0167
83,ხელვაჩაური,adj2008_united_communist,მერაბ სურმანიძე,1043,0.1697,72309,6488,2407,5064,69746,2563,0.0897,0.0333,0.07,336,0.0518
83,ხელვაჩაური,adj2008_kartuli_dasi,იაშა ფაღავა,1180,0.192,72309,6488,2407,5064,69746,2563,0.0897,0.0333,0.07,336,0.0518
83,ხელვაჩაური,christian_democrats_2008,ზაზა შაშიკაძე,3922,0.6382,72309,6488,2407,5064,69746,2563,0.0897,0.0333,0.07,336,0.0518
84,ხულო,adj2008_united_communist,ამირან ანანიძე,180,0.0113,24056,16129,4467,11188,23843,213,0.6705,0.1857,0.4651,236,0.0146
84,ხულო,adj2008_kartuli_dasi,ნადიმი ბოლქვაძე,388,0.0244,24056,16129,4467,11188,23843,213,0.6705,0.1857,0.4651,236,0.0146
84,ხულო,industry_sakartvelo,ტარიელი ნაკაიძე,211,0.0133,24056,16129,4467,11188,23843,213,0.6705,0.1857,0.4651,236,0.0146
84,ხულო,unm,ზურაბი ხოზრევანიძე,13376,0.8422,24056,16129,4467,11188,23843,213,0.6705,0.1857,0.4651,236,0.0146
84,ხულო,christian_democrats_2008,რამაზი ხალვაში,1728,0.1088,24056,16129,4467,11188,23843,213,0.6705,0.1857,0.4651,236,0.0146
