precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79001,79001,79001,79,ბათუმი,1,adj2008_united_communist,თეიმურაზ სამნიძე,11,0.0244,1474,466,170,400,0.3161,0.1153,0.2714,15,0.0322
79001,79001,79001,79,ბათუმი,1,adj2008_kartuli_dasi,ბესიკი რატიანი,10,0.0222,1474,466,170,400,0.3161,0.1153,0.2714,15,0.0322
79001,79001,79001,79,ბათუმი,1,industry_sakartvelo,ირაკლი ჯაში,8,0.0177,1474,466,170,400,0.3161,0.1153,0.2714,15,0.0322
79001,79001,79001,79,ბათუმი,1,adj2008_chven_tviton,ზურაბ ცეცხლაძე,4,0.0089,1474,466,170,400,0.3161,0.1153,0.2714,15,0.0322
79001,79001,79001,79,ბათუმი,1,unm,ზაზა გოგოტიშვილი,324,0.7184,1474,466,170,400,0.3161,0.1153,0.2714,15,0.0322
79001,79001,79001,79,ბათუმი,1,christian_democrats_2008,ნიაზ ზოსიძე,94,0.2084,1474,466,170,400,0.3161,0.1153,0.2714,15,0.0322
79002,79002,79002,79,ბათუმი,2,adj2008_united_communist,თეიმურაზ სამნიძე,17,0.0364,1360,494,184,412,0.3632,0.1353,0.3029,26,0.0526
79002,79002,79002,79,ბათუმი,2,adj2008_kartuli_dasi,ბესიკი რატიანი,19,0.0407,1360,494,184,412,0.3632,0.1353,0.3029,26,0.0526
79002,79002,79002,79,ბათუმი,2,industry_sakartvelo,ირაკლი ჯაში,9,0.0193,1360,494,184,412,0.3632,0.1353,0.3029,26,0.0526
79002,79002,79002,79,ბათუმი,2,adj2008_chven_tviton,ზურაბ ცეცხლაძე,1,0.0021,1360,494,184,412,0.3632,0.1353,0.3029,26,0.0526
79002,79002,79002,79,ბათუმი,2,unm,ზაზა გოგოტიშვილი,356,0.7623,1360,494,184,412,0.3632,0.1353,0.3029,26,0.0526
