district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,burchuladze,4616,0.0293,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,burjanadze_democratic,9268,0.0589,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,unm,46628,0.2962,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,republicans_2016,2363,0.015,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,mechiauri_united,348,0.0022,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,patriots,8980,0.057,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,labour,3834,0.0244,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,peace_georgia_2016,293,0.0019,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,united_communist_2016,272,0.0017,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,industry_sakartvelo,1714,0.0109,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,chvenni_peoples,354,0.0022,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,national_forum,1624,0.0103,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,free_democrats,4952,0.0315,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,serve_georgia_2016,1133,0.0072,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
national,gd,71039,0.4513,310807,163419,0,0,308506,2301,0.5258,0,0,5410,0.0331
79,burchuladze,1719,0.0261,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,burjanadze_democratic,3850,0.0585,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,unm,19358,0.2944,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,republicans_2016,1024,0.0156,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,mechiauri_united,108,0.0016,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,patriots,4517,0.0687,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,labour,1871,0.0285,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,peace_georgia_2016,164,0.0025,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,united_communist_2016,109,0.0017,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,industry_sakartvelo,414,0.0063,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,chvenni_peoples,183,0.0028,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,national_forum,725,0.011,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,free_democrats,2598,0.0395,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,serve_georgia_2016,513,0.0078,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
79,gd,28605,0.435,141343,68119,0,0,140130,1213,0.4819,0,0,2081,0.0305
80,burchuladze,302,0.0294,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,burjanadze_democratic,408,0.0397,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,unm,2862,0.2786,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,republicans_2016,127,0.0124,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,mechiauri_united,24,0.0023,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,patriots,233,0.0227,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,labour,197,0.0192,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,peace_georgia_2016,17,0.0017,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,united_communist_2016,5,0.0005,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,industry_sakartvelo,275,0.0268,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
80,chvenni_peoples,8,0.0008,15769,10623,0,0,15658,111,0.6737,0,0,332,0.0313
