district_id,party_id,candidate_name,votes,vote_share,seats_pr,seats_smd,threshold_status
tbilisi,gd,ბესო ქარქაშაძე,15900,0.594,12,10,notrun
tbilisi,unm,ზვიად ბახია,5400,0.202,2,1,notrun
tbilisi,girchi,ნინო ბოლქვაძე,1910,0.071,1,0,notrun
tbilisi,other,ლელა მამულაძე,3560,0.133,0,0,notrun
imereti,gd,ნანა ლომიძე,11400,0.603,12,10,notrun
imereti,unm,გიგი ოდიშარია,4060,0.215,2,1,notrun
imereti,girchi,ეკა ჯინჭარაძე,1330,0.070,1,0,notrun
imereti,other,ვასო ჩიკოვანი,2110,0.112,0,0,notrun
kakheti,gd,ომარ ბოლქვაძე,9000,0.609,12,10,notrun
kakheti,unm,ნინო ოჩიაური,3040,0.206,2,1,notrun
kakheti,girchi,სოფო ვარდოშვილი,1020,0.069,1,0,notrun
kakheti,other,გია ბახია,1750,0.118,0,0,notrun
samtskhe,gd,სანდრო კვარაცხელია,5110,0.600,12,10,notrun
samtskhe,unm,ირინა ჯინჭარაძე,1780,0.209,2,1,notrun
samtskhe,girchi,ლუკა ოდიშარია,590,0.069,1,0,notrun
samtskhe,other,ნოდარ ჩხარტიშვილი,1050,0.123,0,0,notrun
kvemo_kartli,gd,მარიამ ჯანელიძე,7820,0.596,12,10,notrun
kvemo_kartli,unm,ლევან ხარატიშვილი,2810,0.214,2,1,notrun
kvemo_kartli,girchi,მარო ბეიძე,910,0.069,1,0,notrun
kvemo_kartli,other,ეკა ლომიძე,1590,0.121,0,0,notrun
shida_kartli,gd,ლუკა გაბელია,6530,0.602,12,10,notrun
shida_kartli,unm,ანი სვანიძე,2300,0.212,2,1,notrun
shida_kartli,girchi,ვასო ქარქაშაძე,750,0.069,1,0,notrun
shida_kartli,other,გოჩა ქარქაშაძე,1260,0.116,0,0,notrun
mtskheta,gd,გოჩა ხარიტონაშვილი,4500,0.604,12,10,notrun
mtskheta,unm,ნიკა ვარდოშვილი,1570,0.211,2,1,notrun
mtskheta,girchi,ტატო გოგლიძე,510,0.068,1,0,notrun
mtskheta,other,მარო ბახია,870,0.117,0,0,notrun
racha,gd,ნინო ჯაფარიძე,1730,0.648,12,10,notrun
racha,unm,ირაკლი ბახტაძე,560,0.210,2,1,notrun
racha,girchi,ლელა ჩიკოვანი,185,0.069,1,0,notrun
racha,other,სოფო მეტრეველი,195,0.073,0,0,notrun
samegrelo,gd,ირაკლი ოჩიაური,11700,0.600,12,10,notrun
samegrelo,unm,ლაშა ბარათელი,4300,0.220,2,1,notrun
samegrelo,girchi,ნატა კობახიძე,1360,0.070,1,0,notrun
samegrelo,other,ნანა გოგლიძე,2140,0.110,0,0,notrun
guria,gd,ვასო შონია,4720,0.600,12,10,notrun
guria,unm,ლელა ოქრუაშვილი,1650,0.210,2,1,notrun
guria,girchi,ომარ კობახიძე,545,0.069,1,0,notrun
guria,other,ბექა ჩხიკვაძე,950,0.121,0,0,notrun
adjara,gd,ეკა ბახტაძე,5490,0.361,12,10,notrun
adjara,unm,ლაშა ბარამიძე,7850,0.517,2,1,notrun
adjara,girchi,ნიკა ჩოხელი,1060,0.070,1,0,notrun
adjara,other,ვანო გელაშვილი,795,0.052,0,0,notrun
