district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,unm,,32904,0.2944,309836,114477,0,0,308576,1260,0.3695,0,0,2621,0.0229
national,gd,,78848,0.7056,309836,114477,0,0,308576,1260,0.3695,0,0,2621,0.0229
68,unm,ელგუჯა ბაგრატიონი,5911,0.3342,53251,18133,0,0,53067,184,0.3405,0,0,437,0.0241
68,gd,ვახტანგ წულაძე,11775,0.6658,53251,18133,0,0,53067,184,0.3405,0,0,437,0.0241
69,unm,ნინო ჯინჭარაძე,4580,0.3013,53280,15720,0,0,53049,231,0.295,0,0,495,0.0315
69,gd,ილია ვერძაძე,10622,0.6987,53280,15720,0,0,53049,231,0.295,0,0,495,0.0315
70,unm,გია აბულაძე,4821,0.2879,53135,17155,0,0,52893,242,0.3229,0,0,388,0.0226
70,gd,ნუგზარ სურმანიძე,11925,0.7121,53135,17155,0,0,52893,242,0.3229,0,0,388,0.0226
71,unm,მამული სურმანიძე,5654,0.2849,49566,20278,0,0,49324,242,0.4091,0,0,414,0.0204
71,gd,გიორგი რომანაძე,14192,0.7151,49566,20278,0,0,49324,242,0.4091,0,0,414,0.0204
72,unm,ქენან კახიძე,5019,0.2781,48287,18536,0,0,48111,176,0.3839,0,0,461,0.0249
72,gd,მერაბ კარანაძე,13031,0.7219,48287,18536,0,0,48111,176,0.3839,0,0,461,0.0249
73,unm,ნუგზარ ამაღლობელი,6919,0.2856,52317,24655,0,0,52132,185,0.4713,0,0,426,0.0173
73,gd,ხვიჩა შარაშიძე,17303,0.7144,52317,24655,0,0,52132,185,0.4713,0,0,426,0.0173
