precinct_id,precinct_key,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
68079004,68.79.4,68079004,unm,ელგუჯა ბაგრატიონი,124,0.3584,1464,359,0,0,0.2452,0,0,13,0.0362
68079004,68.79.4,68079004,gd,ვახტანგ წულაძე,222,0.6416,1464,359,0,0,0.2452,0,0,13,0.0362
68079033,68.79.33,68079033,unm,ელგუჯა ბაგრატიონი,111,0.2761,1552,417,0,0,0.2687,0,0,15,0.036
68079033,68.79.33,68079033,gd,ვახტანგ წულაძე,291,0.7239,1552,417,0,0,0.2687,0,0,15,0.036
68079034,68.79.34,68079034,unm,ელგუჯა ბაგრატიონი,61,0.247,1291,257,0,0,0.1991,0,0,10,0.0389
68079034,68.79.34,68079034,gd,ვახტანგ წულაძე,186,0.753,1291,257,0,0,0.1991,0,0,10,0.0389
68079036,68.79.36,68079036,unm,ელგუჯა ბაგრატიონი,120,0.3399,1421,362,0,0,0.2548,0,0,8,0.0221
68079036,68.79.36,68079036,gd,ვახტანგ წულაძე,233,0.6601,1421,362,0,0,0.2548,0,0,8,0.0221
68079037,68.79.37,68079037,unm,ელგუჯა ბაგრატიონი,114,0.2787,1455,420,0,0,0.2887,0,0,9,0.0214
68079037,68.79.37,68079037,gd,ვახტანგ წულაძე,295,0.7213,1455,420,0,0,0.2887,0,0,9,0.0214
68079038,68.79.38,68079038,unm,ელგუჯა ბაგრატიონი,122,0.2495,1578,498,0,0,0.3156,0,0,9,0.0181
68079038,68.79.38,68079038,gd,ვახტანგ წულაძე,367,0.7505,1578,498,0,0,0.3156,0,0,9,0.0181
68079039,68.79.39,68079039,unm,ელგუჯა ბაგრატიონი,119,0.3005,1495,407,0,0,0.2722,0,0,11,0.027
68079039,68.79.39,68079039,gd,ვახტანგ წულაძე,277,0.6995,1495,407,0,0,0.2722,0,0,11,0.027
68079040,68.79.40,68079040,unm,ელგუჯა ბაგრატიონი,173,0.3433,1513,514,0,0,0.3397,0,0,10,0.0195
68079040,68.79.40,68079040,gd,ვახტანგ წულაძე,331,0.6567,1513,514,0,0,0.3397,0,0,10,0.0195
68079041,68.79.41,68079041,unm,ელგუჯა ბაგრატიონი,82,0.2323,1232,367,0,0,0.2979,0,0,14,0.0381
68079041,68.79.41,68079041,gd,ვახტანგ წულაძე,271,0.7677,1232,367,0,0,0.2979,0,0,14,0.0381
68079042,68.79.42,68079042,unm,ელგუჯა ბაგრატიონი,147,0.3238,1465,462,0,0,0.3154,0,0,8,0.0173
68079042,68.79.42,68079042,gd,ვახტანგ წულაძე,307,0.6762,1465,462,0,0,0.3154,0,0,8,0.0173
68079043,68.79.43,68079043,unm,ელგუჯა ბაგრატიონი,132,0.352,1222,382,0,0,0.3126,0,0,7,0.0183
68079043,68.79.43,68079043,gd,ვახტანგ წულაძე,243,0.648,1222,382,0,0,0.3126,0,0,7,0.0183
68079045,68.79.45,68079045,unm,ელგუჯა ბაგრატიონი,118,0.2783,1436,441,0,0,0.3071,0,0,17,0.0385
68079045,68.79.45,68079045,gd,ვახტანგ წულაძე,306,0.7217,1436,441,0,0,0.3071,0,0,17,0.0385
