district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status
tbilisi,gd,11800,0.537,10,9,passed
tbilisi,unm,3560,0.162,3,1,passed
tbilisi,european_georgia,1780,0.081,2,0,passed
tbilisi,other,4860,0.221,0,1,failed
imereti,gd,8830,0.552,10,9,passed
imereti,unm,2540,0.159,3,1,passed
imereti,european_georgia,1250,0.078,2,0,passed
imereti,other,3380,0.211,0,1,failed
kakheti,gd,7270,0.559,10,9,passed
kakheti,unm,2010,0.155,3,1,passed
kakheti,european_georgia,970,0.075,2,0,passed
kakheti,other,2750,0.212,0,1,failed
samtskhe,gd,3950,0.527,10,9,passed
samtskhe,unm,1270,0.169,3,1,passed
samtskhe,european_georgia,620,0.083,2,0,passed
samtskhe,other,1660,0.221,0,1,failed
kvemo_kartli,gd,6170,0.514,10,9,passed
kvemo_kartli,unm,2070,0.172,3,1,passed
kvemo_kartli,european_georgia,1040,0.087,2,0,passed
kvemo_kartli,other,2720,0.227,0,1,failed
shida_kartli,gd,5180,0.545,10,9,passed
shida_kartli,unm,1540,0.162,3,1,passed
shida_kartli,european_georgia,770,0.081,2,0,passed
shida_kartli,other,2010,0.212,0,1,failed
mtskheta,gd,3600,0.554,10,9,passed
mtskheta,unm,1030,0.158,3,1,passed
mtskheta,european_georgia,500,0.077,2,0,passed
mtskheta,other,1370,0.211,0,1,failed
racha,gd,1440,0.576,10,9,passed
racha,unm,370,0.148,3,1,passed
racha,european_georgia,180,0.072,2,0,passed
racha,other,510,0.204,0,1,failed
samegrelo,gd,9160,0.539,10,9,passed
samegrelo,unm,2720,0.160,3,1,passed
samegrelo,european_georgia,1360,0.080,2,0,passed
samegrelo,other,3760,0.221,0,1,failed
guria,gd,3840,0.549,10,9,passed
guria,unm,1140,0.163,3,1,passed
guria,european_georgia,550,0.079,2,0,passed
guria,other,1470,0.210,0,1,failed
adjara,gd,7430,0.531,10,9,passed
adjara,unm,2310,0.165,3,1,passed
adjara,european_georgia,1160,0.083,2,0,passed
adjara,other,3100,0.221,0,1,failed
