district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,european_georgia,,6064,0.0341,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,democratic_movement,,1821,0.0102,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,tribuna,,419,0.0024,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,unm,,60861,0.3418,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,patriots,,6049,0.034,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,labour,,944,0.0053,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,georgian_choice,,623,0.0035,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,victorious_georgia,,407,0.0023,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,alliance,,2530,0.0142,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,free_georgia,,530,0.003,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,citizens,,1439,0.0081,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,justice,,395,0.0022,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,agmashenebeli,,4201,0.0236,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,social_justice_2020,,208,0.0012,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,gd,,82549,0.4636,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,georgian_idea,,879,0.0049,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,conservatives,,409,0.0023,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,georgian_march,,989,0.0056,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,lelo,,6144,0.0345,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
national,face_plus,,593,0.0033,320995,186877,57381,146787,314889,6106,0.5822,0.1788,0.4573,7185,0.0384
28,european_georgia,ვახტანგ კალოიანი,2705,0.035,151934,81388,25266,64195,147292,4642,0.5357,0.1663,0.4225,3070,0.0377
28,democratic_movement,გიორგი ცინცქილაძე,1222,0.0158,151934,81388,25266,64195,147292,4642,0.5357,0.1663,0.4225,3070,0.0377
28,tribuna,შალვა მაღრაძე,192,0.0025,151934,81388,25266,64195,147292,4642,0.5357,0.1663,0.4225,3070,0.0377
28,unm,გიორგი კირთაძე,26599,0.3446,151934,81388,25266,64195,147292,4642,0.5357,0.1663,0.4225,3070,0.0377
28,patriots,ჯუმბერ ტაკიძე,2171,0.0281,151934,81388,25266,64195,147292,4642,0.5357,0.1663,0.4225,3070,0.0377
