precinct_id,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79001,79001,unm,გიორგი კირთაძე,27,0.0985,1297,278,96,229,0.2143,0.074,0.1766,4,0.0144
79001,79001,gd,ტიტე აროშიძე,247,0.9015,1297,278,96,229,0.2143,0.074,0.1766,4,0.0144
79002,79002,unm,გიორგი კირთაძე,30,0.1083,1263,283,87,157,0.2241,0.0689,0.1243,6,0.0212
79002,79002,gd,ტიტე აროშიძე,247,0.8917,1263,283,87,157,0.2241,0.0689,0.1243,6,0.0212
79003,79003,unm,გიორგი კირთაძე,26,0.1036,1476,264,64,209,0.1789,0.0434,0.1416,13,0.0492
79003,79003,gd,ტიტე აროშიძე,225,0.8964,1476,264,64,209,0.1789,0.0434,0.1416,13,0.0492
79004,79004,unm,გიორგი კირთაძე,34,0.1298,1448,271,67,207,0.1872,0.0463,0.143,9,0.0332
79004,79004,gd,ტიტე აროშიძე,228,0.8702,1448,271,67,207,0.1872,0.0463,0.143,9,0.0332
79005,79005,unm,გიორგი კირთაძე,23,0.1139,1148,221,63,173,0.1925,0.0549,0.1507,19,0.086
79005,79005,gd,ტიტე აროშიძე,179,0.8861,1148,221,63,173,0.1925,0.0549,0.1507,19,0.086
79006,79006,unm,გიორგი კირთაძე,20,0.0498,1489,420,119,351,0.2821,0.0799,0.2357,17,0.0405
79006,79006,gd,ტიტე აროშიძე,382,0.9502,1489,420,119,351,0.2821,0.0799,0.2357,17,0.0405
79007,79007,unm,გიორგი კირთაძე,22,0.0743,1180,312,88,265,0.2644,0.0746,0.2246,16,0.0513
79007,79007,gd,ტიტე აროშიძე,274,0.9257,1180,312,88,265,0.2644,0.0746,0.2246,16,0.0513
79008,79008,unm,გიორგი კირთაძე,15,0.0549,1162,290,71,226,0.2496,0.0611,0.1945,17,0.0586
79008,79008,gd,ტიტე აროშიძე,258,0.9451,1162,290,71,226,0.2496,0.0611,0.1945,17,0.0586
