precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79001,79001,coalition_for_change,116,0.1109,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,unity,172,0.1644,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,european_democrats,4,0.0038,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,patriots,29,0.0277,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,strong_georgia,67,0.0641,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,our_georgia,5,0.0048,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,free_georgia,5,0.0048,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,tribuna,1,0.001,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,gakharia,115,0.1099,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,girchi,42,0.0402,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79001,79001,gd,490,0.4685,1918,1112,336,863,0.5798,0.1752,0.4499,66,0.0594
79002,79002,coalition_for_change,175,0.1252,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,unity,207,0.1481,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,european_democrats,7,0.005,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,patriots,25,0.0179,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,strong_georgia,135,0.0966,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,our_georgia,5,0.0036,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,free_georgia,9,0.0064,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,tribuna,4,0.0029,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,gakharia,143,0.1023,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,girchi,49,0.0351,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79002,79002,gd,639,0.4571,2449,1432,368,1059,0.5847,0.1503,0.4324,34,0.0237
79003,79003,coalition_for_change,188,0.1208,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,unity,178,0.1144,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,european_democrats,11,0.0071,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,patriots,26,0.0167,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,strong_georgia,151,0.097,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,our_georgia,5,0.0032,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,free_georgia,7,0.0045,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,tribuna,5,0.0032,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,gakharia,176,0.1131,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,girchi,65,0.0418,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79003,79003,gd,744,0.4781,2714,1599,468,1338,0.5892,0.1724,0.493,43,0.0269
79004,79004,coalition_for_change,203,0.1343,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,unity,192,0.1271,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,european_democrats,11,0.0073,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,patriots,22,0.0146,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,strong_georgia,138,0.0913,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,our_georgia,5,0.0033,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,free_georgia,9,0.006,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,tribuna,5,0.0033,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,gakharia,158,0.1046,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,girchi,47,0.0311,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79004,79004,gd,721,0.4772,2982,1616,453,1295,0.5419,0.1519,0.4343,105,0.065
79005,79005,coalition_for_change,239,0.1511,2719,1634,495,1303,0.601,0.1821,0.4792,52,0.0318
79005,79005,unity,202,0.1277,2719,1634,495,1303,0.601,0.1821,0.4792,52,0.0318
79005,79005,european_democrats,10,0.0063,2719,1634,495,1303,0.601,0.1821,0.4792,52,0.0318
79005,79005,patriots,30,0.019,2719,1634,495,1303,0.601,0.1821,0.4792,52,0.0318
79005,79005,strong_georgia,215,0.1359,2719,1634,495,1303,0.601,0.1821,0.4792,52,0.0318
