"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","gd","",1,880,1857,1026,0,499,79,1778,29,0.525373,0.552504,0,0.268713,0.028265
"national","independent","",1,225,1857,1026,0,499,79,1778,29,0.134328,0.552504,0,0.268713,0.028265
"national","nonparliamentary_opposition_2014","",1,174,1857,1026,0,499,79,1778,29,0.103881,0.552504,0,0.268713,0.028265
"national","unm","",1,396,1857,1026,0,499,79,1778,29,0.236418,0.552504,0,0.268713,0.028265
"641364","gd","",1,470,660,478,0,282,34,626,17,0.491632,0.724242,0,0.427273,0.035565
"641364","independent","",1,225,660,478,0,282,34,626,17,0.235356,0.724242,0,0.427273,0.035565
"641364","nonparliamentary_opposition_2014","",1,170,660,478,0,282,34,626,17,0.177824,0.724242,0,0.427273,0.035565
"641364","unm","",1,91,660,478,0,282,34,626,17,0.095188,0.724242,0,0.427273,0.035565
"671167","gd","",1,410,1197,548,0,217,45,1152,12,0.570236,0.457811,0,0.181287,0.021898
"671167","nonparliamentary_opposition_2014","",1,4,1197,548,0,217,45,1152,12,0.005563,0.457811,0,0.181287,0.021898
"671167","unm","",1,305,1197,548,0,217,45,1152,12,0.4242,0.457811,0,0.181287,0.021898
