"precinct_id","precinct_key","district_id","raw_district_id","precinct_number","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
64034,"6413.64.34","6413",64,34,"gd","მალხაზი ტორჩინავა",204,0.433121,626,488,282,478,0.779553,0.450479,0.763578,17,0.034836
64034,"6413.64.34","6413",64,34,"independent","კაპიტონი ტორჩინავა",210,0.44586,626,488,282,478,0.779553,0.450479,0.763578,17,0.034836
64034,"6413.64.34","6413",64,34,"nonparliamentary_opposition_2014","ემალი ყურაშვილი",42,0.089172,626,488,282,478,0.779553,0.450479,0.763578,17,0.034836
64034,"6413.64.34","6413",64,34,"unm","ხვიჩა სანაია",15,0.031847,626,488,282,478,0.779553,0.450479,0.763578,17,0.034836
64035,"6413.64.35","6413",64,35,"gd","მალხაზი ტორჩინავა",266,0.548454,690,491,259,443,0.711594,0.375362,0.642029,6,0.01222
64035,"6413.64.35","6413",64,35,"independent","კაპიტონი ტორჩინავა",15,0.030928,690,491,259,443,0.711594,0.375362,0.642029,6,0.01222
64035,"6413.64.35","6413",64,35,"nonparliamentary_opposition_2014","ემალი ყურაშვილი",128,0.263918,690,491,259,443,0.711594,0.375362,0.642029,6,0.01222
64035,"6413.64.35","6413",64,35,"unm","ხვიჩა სანაია",76,0.156701,690,491,259,443,0.711594,0.375362,0.642029,6,0.01222
67045,"6711.67.45","6711",67,45,"gd","ვასილ გაბისონია",410,0.570236,1152,731,217,548,0.634549,0.188368,0.475694,12,0.016416
67045,"6711.67.45","6711",67,45,"nonparliamentary_opposition_2014","ბაჩუკი ნარუშვილი",4,0.005563,1152,731,217,548,0.634549,0.188368,0.475694,12,0.016416
67045,"6711.67.45","6711",67,45,"unm","კობა ბულია",305,0.4242,1152,731,217,548,0.634549,0.188368,0.475694,12,0.016416
