"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","gd","",1,1635,3325,1284,2,574,62,3263,70,0.681534,0.386165,0.000602,0.172632,0.054517
"national","independent","",1,449,3325,1284,2,574,62,3263,70,0.187161,0.386165,0.000602,0.172632,0.054517
"national","patriots","",1,284,3325,1284,2,574,62,3263,70,0.118383,0.386165,0.000602,0.172632,0.054517
"national","ufali_2014","",1,31,3325,1284,2,574,62,3263,70,0.012922,0.386165,0.000602,0.172632,0.054517
"111211","gd","",1,397,816,344,2,130,28,788,23,0.450113,0.421569,0.002451,0.159314,0.06686
"111211","independent","",1,285,816,344,2,130,28,788,23,0.323129,0.421569,0.002451,0.159314,0.06686
"111211","patriots","",1,169,816,344,2,130,28,788,23,0.19161,0.421569,0.002451,0.159314,0.06686
"111211","ufali_2014","",1,31,816,344,2,130,28,788,23,0.035147,0.421569,0.002451,0.159314,0.06686
"240624","gd","",1,553,494,100,0,32,16,478,7,1,0.202429,0,0.064777,0.07
"530753","gd","",1,367,1185,475,0,247,10,1175,28,0.691149,0.400844,0,0.208439,0.058947
"530753","independent","",1,164,1185,475,0,247,10,1175,28,0.308851,0.400844,0,0.208439,0.058947
"660666","gd","",1,318,830,365,0,165,8,822,12,0.734411,0.439759,0,0.198795,0.032877
"660666","patriots","",1,115,830,365,0,165,8,822,12,0.265589,0.439759,0,0.198795,0.032877
