"precinct_id","precinct_key","selfgov_id","raw_district_id","precinct_number","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
21001,"21001",21,21,1,"gd","41","გოჩა ჯამარაული",228,0.631579,1341,381,197,342,0.284116,0.146905,0.255034,20,0.052493
21001,"21001",21,21,1,"unm","5","ბესიკი კახაბრიშვილი",133,0.368421,1341,381,197,342,0.284116,0.146905,0.255034,20,0.052493
21002,"21002",21,21,2,"gd","41","გოჩა ჯამარაული",203,0.632399,1231,335,123,274,0.272136,0.099919,0.222583,14,0.041791
21002,"21002",21,21,2,"unm","5","ბესიკი კახაბრიშვილი",118,0.367601,1231,335,123,274,0.272136,0.099919,0.222583,14,0.041791
21003,"21003",21,21,3,"gd","41","გოჩა ჯამარაული",236,0.632708,1366,383,116,284,0.280381,0.084919,0.207906,10,0.02611
21003,"21003",21,21,3,"unm","5","ბესიკი კახაბრიშვილი",137,0.367292,1366,383,116,284,0.280381,0.084919,0.207906,10,0.02611
21004,"21004",21,21,4,"gd","41","გოჩა ჯამარაული",181,0.696154,1177,264,66,200,0.224299,0.056075,0.169924,4,0.015152
21004,"21004",21,21,4,"unm","5","ბესიკი კახაბრიშვილი",79,0.303846,1177,264,66,200,0.224299,0.056075,0.169924,4,0.015152
21005,"21005",21,21,5,"gd","41","გოჩა ჯამარაული",255,0.73487,1286,372,79,274,0.289269,0.061431,0.213064,25,0.067204
21005,"21005",21,21,5,"unm","5","ბესიკი კახაბრიშვილი",92,0.26513,1286,372,79,274,0.289269,0.061431,0.213064,25,0.067204
21006,"21006",21,21,6,"gd","41","გოჩა ჯამარაული",256,0.719101,1341,365,128,297,0.272185,0.095451,0.221477,9,0.024658
21006,"21006",21,21,6,"unm","5","ბესიკი კახაბრიშვილი",100,0.280899,1341,365,128,297,0.272185,0.095451,0.221477,9,0.024658
21007,"21007",21,21,7,"gd","41","გოჩა ჯამარაული",338,0.810552,1009,436,151,359,0.432111,0.149653,0.355798,19,0.043578
21007,"21007",21,21,7,"unm","5","ბესიკი კახაბრიშვილი",79,0.189448,1009,436,151,359,0.432111,0.149653,0.355798,19,0.043578
21008,"21008",21,21,8,"gd","41","გოჩა ჯამარაული",252,0.734694,1350,351,94,262,0.26,0.06963,0.194074,8,0.022792
21008,"21008",21,21,8,"unm","5","ბესიკი კახაბრიშვილი",91,0.265306,1350,351,94,262,0.26,0.06963,0.194074,8,0.022792
21009,"21009",21,21,9,"gd","41","გოჩა ჯამარაული",169,0.586806,1115,295,123,245,0.264574,0.110314,0.219731,7,0.023729
21009,"21009",21,21,9,"unm","5","ბესიკი კახაბრიშვილი",119,0.413194,1115,295,123,245,0.264574,0.110314,0.219731,7,0.023729
21010,"21010",21,21,10,"gd","41","გოჩა ჯამარაული",181,0.646429,1206,307,130,262,0.254561,0.107794,0.217247,27,0.087948
21010,"21010",21,21,10,"unm","5","ბესიკი კახაბრიშვილი",99,0.353571,1206,307,130,262,0.254561,0.107794,0.217247,27,0.087948
21011,"21011",21,21,11,"gd","41","გოჩა ჯამარაული",145,0.529197,1278,295,155,252,0.230829,0.121283,0.197183,21,0.071186
21011,"21011",21,21,11,"unm","5","ბესიკი კახაბრიშვილი",129,0.470803,1278,295,155,252,0.230829,0.121283,0.197183,21,0.071186
21012,"21012",21,21,12,"gd","41","გოჩა ჯამარაული",89,0.593333,736,162,108,144,0.220109,0.146739,0.195652,12,0.074074
21012,"21012",21,21,12,"unm","5","ბესიკი კახაბრიშვილი",61,0.406667,736,162,108,144,0.220109,0.146739,0.195652,12,0.074074
21013,"21013",21,21,13,"gd","41","გოჩა ჯამარაული",444,0.716129,1504,631,154,456,0.419548,0.102394,0.303191,11,0.017433
21013,"21013",21,21,13,"unm","5","ბესიკი კახაბრიშვილი",176,0.283871,1504,631,154,456,0.419548,0.102394,0.303191,11,0.017433
21014,"21014",21,21,14,"gd","41","გოჩა ჯამარაული",351,0.662264,1286,547,164,449,0.42535,0.127527,0.349145,17,0.031079
21014,"21014",21,21,14,"unm","5","ბესიკი კახაბრიშვილი",179,0.337736,1286,547,164,449,0.42535,0.127527,0.349145,17,0.031079
21015,"21015",21,21,15,"gd","41","გოჩა ჯამარაული",85,0.438144,395,197,77,159,0.498734,0.194937,0.402532,3,0.015228
21015,"21015",21,21,15,"unm","5","ბესიკი კახაბრიშვილი",109,0.561856,395,197,77,159,0.498734,0.194937,0.402532,3,0.015228
21016,"21016",21,21,16,"gd","41","გოჩა ჯამარაული",55,0.585106,219,95,38,77,0.43379,0.173516,0.351598,1,0.010526
21016,"21016",21,21,16,"unm","5","ბესიკი კახაბრიშვილი",39,0.414894,219,95,38,77,0.43379,0.173516,0.351598,1,0.010526
21017,"21017",21,21,17,"gd","41","გოჩა ჯამარაული",25,0.333333,228,78,20,55,0.342105,0.087719,0.241228,3,0.038462
21017,"21017",21,21,17,"unm","5","ბესიკი კახაბრიშვილი",50,0.666667,228,78,20,55,0.342105,0.087719,0.241228,3,0.038462
21018,"21018",21,21,18,"gd","41","გოჩა ჯამარაული",196,0.606811,1212,329,111,242,0.271452,0.091584,0.19967,6,0.018237
21018,"21018",21,21,18,"unm","5","ბესიკი კახაბრიშვილი",127,0.393189,1212,329,111,242,0.271452,0.091584,0.19967,6,0.018237
21019,"21019",21,21,19,"gd","41","გოჩა ჯამარაული",231,0.611111,1316,394,113,275,0.299392,0.085866,0.208967,16,0.040609
21019,"21019",21,21,19,"unm","5","ბესიკი კახაბრიშვილი",147,0.388889,1316,394,113,275,0.299392,0.085866,0.208967,16,0.040609
21020,"21020",21,21,20,"gd","41","გოჩა ჯამარაული",249,0.583138,1429,444,101,307,0.310707,0.070679,0.214836,16,0.036036
21020,"21020",21,21,20,"unm","5","ბესიკი კახაბრიშვილი",178,0.416862,1429,444,101,307,0.310707,0.070679,0.214836,16,0.036036
21021,"21021",21,21,21,"gd","41","გოჩა ჯამარაული",364,0.654676,1489,569,197,444,0.382136,0.132304,0.298187,13,0.022847
21021,"21021",21,21,21,"unm","5","ბესიკი კახაბრიშვილი",192,0.345324,1489,569,197,444,0.382136,0.132304,0.298187,13,0.022847
21022,"21022",21,21,22,"gd","41","გოჩა ჯამარაული",226,0.736156,676,324,105,275,0.47929,0.155325,0.406805,17,0.052469
21022,"21022",21,21,22,"unm","5","ბესიკი კახაბრიშვილი",81,0.263844,676,324,105,275,0.47929,0.155325,0.406805,17,0.052469
21023,"21023",21,21,23,"gd","41","გოჩა ჯამარაული",536,0.81583,1516,675,229,553,0.445251,0.151055,0.364776,18,0.026667
21023,"21023",21,21,23,"unm","5","ბესიკი კახაბრიშვილი",121,0.18417,1516,675,229,553,0.445251,0.151055,0.364776,18,0.026667
21024,"21024",21,21,24,"gd","41","გოჩა ჯამარაული",182,0.7251,579,267,91,200,0.46114,0.157168,0.345423,16,0.059925
21024,"21024",21,21,24,"unm","5","ბესიკი კახაბრიშვილი",69,0.2749,579,267,91,200,0.46114,0.157168,0.345423,16,0.059925
21025,"21025",21,21,25,"gd","41","გოჩა ჯამარაული",257,0.762611,1228,351,92,231,0.285831,0.074919,0.188111,14,0.039886
21025,"21025",21,21,25,"unm","5","ბესიკი კახაბრიშვილი",80,0.237389,1228,351,92,231,0.285831,0.074919,0.188111,14,0.039886
21026,"21026",21,21,26,"gd","41","გოჩა ჯამარაული",238,0.650273,1386,397,140,315,0.286436,0.10101,0.227273,31,0.078086
21026,"21026",21,21,26,"unm","5","ბესიკი კახაბრიშვილი",128,0.349727,1386,397,140,315,0.286436,0.10101,0.227273,31,0.078086
21027,"21027",21,21,27,"gd","41","გოჩა ჯამარაული",180,0.515759,1159,359,120,300,0.30975,0.103538,0.258844,10,0.027855
21027,"21027",21,21,27,"unm","5","ბესიკი კახაბრიშვილი",169,0.484241,1159,359,120,300,0.30975,0.103538,0.258844,10,0.027855
21028,"21028",21,21,28,"gd","41","გოჩა ჯამარაული",297,0.804878,955,398,145,315,0.416754,0.151832,0.329843,29,0.072864
21028,"21028",21,21,28,"unm","5","ბესიკი კახაბრიშვილი",72,0.195122,955,398,145,315,0.416754,0.151832,0.329843,29,0.072864
21029,"21029",21,21,29,"gd","41","გოჩა ჯამარაული",395,0.868132,1167,475,157,371,0.407027,0.134533,0.317909,20,0.042105
21029,"21029",21,21,29,"unm","5","ბესიკი კახაბრიშვილი",60,0.131868,1167,475,157,371,0.407027,0.134533,0.317909,20,0.042105
21030,"21030",21,21,30,"gd","41","გოჩა ჯამარაული",153,0.87931,357,175,60,123,0.490196,0.168067,0.344538,1,0.005714
21030,"21030",21,21,30,"unm","5","ბესიკი კახაბრიშვილი",21,0.12069,357,175,60,123,0.490196,0.168067,0.344538,1,0.005714
21031,"21031",21,21,31,"gd","41","გოჩა ჯამარაული",350,0.877193,979,414,104,325,0.42288,0.106231,0.331971,14,0.033816
21031,"21031",21,21,31,"unm","5","ბესიკი კახაბრიშვილი",49,0.122807,979,414,104,325,0.42288,0.106231,0.331971,14,0.033816
