"precinct_id","precinct_key","district_id","raw_district_id","precinct_number","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
10001,"122.10.1","122",10,1,"gd","ბორია ფირცხელიანი",241,0.757862,1688,350,128,285,0.207346,0.075829,0.168839,32,0.091429
10001,"122.10.1","122",10,1,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",62,0.194969,1688,350,128,285,0.207346,0.075829,0.168839,32,0.091429
10001,"122.10.1","122",10,1,"peoples_authority_2016","ზურაბ კვანტალიანი",15,0.04717,1688,350,128,285,0.207346,0.075829,0.168839,32,0.091429
10002,"122.10.2","122",10,2,"gd","ბორია ფირცხელიანი",221,0.775439,1628,320,118,247,0.19656,0.072482,0.15172,35,0.109375
10002,"122.10.2","122",10,2,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",44,0.154386,1628,320,118,247,0.19656,0.072482,0.15172,35,0.109375
10002,"122.10.2","122",10,2,"peoples_authority_2016","ზურაბ კვანტალიანი",20,0.070175,1628,320,118,247,0.19656,0.072482,0.15172,35,0.109375
10003,"122.10.3","122",10,3,"gd","ბორია ფირცხელიანი",162,0.80597,1391,231,79,174,0.166068,0.056794,0.12509,30,0.12987
10003,"122.10.3","122",10,3,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",28,0.139303,1391,231,79,174,0.166068,0.056794,0.12509,30,0.12987
10003,"122.10.3","122",10,3,"peoples_authority_2016","ზურაბ კვანტალიანი",11,0.054726,1391,231,79,174,0.166068,0.056794,0.12509,30,0.12987
10004,"122.10.4","122",10,4,"gd","ბორია ფირცხელიანი",158,0.76699,1503,219,62,139,0.145709,0.041251,0.092482,13,0.059361
10004,"122.10.4","122",10,4,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",42,0.203883,1503,219,62,139,0.145709,0.041251,0.092482,13,0.059361
10004,"122.10.4","122",10,4,"peoples_authority_2016","ზურაბ კვანტალიანი",6,0.029126,1503,219,62,139,0.145709,0.041251,0.092482,13,0.059361
10005,"122.10.5","122",10,5,"gd","ბორია ფირცხელიანი",208,0.8125,1695,286,99,198,0.168732,0.058407,0.116814,30,0.104895
10005,"122.10.5","122",10,5,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",30,0.117188,1695,286,99,198,0.168732,0.058407,0.116814,30,0.104895
10005,"122.10.5","122",10,5,"peoples_authority_2016","ზურაბ კვანტალიანი",18,0.070313,1695,286,99,198,0.168732,0.058407,0.116814,30,0.104895
10006,"122.10.6","122",10,6,"gd","ბორია ფირცხელიანი",132,0.846154,1306,182,49,132,0.139357,0.037519,0.101072,26,0.142857
10006,"122.10.6","122",10,6,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",20,0.128205,1306,182,49,132,0.139357,0.037519,0.101072,26,0.142857
10006,"122.10.6","122",10,6,"peoples_authority_2016","ზურაბ კვანტალიანი",4,0.025641,1306,182,49,132,0.139357,0.037519,0.101072,26,0.142857
10007,"122.10.7","122",10,7,"gd","ბორია ფირცხელიანი",94,0.740157,1364,148,38,105,0.108504,0.027859,0.076979,21,0.141892
10007,"122.10.7","122",10,7,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",23,0.181102,1364,148,38,105,0.108504,0.027859,0.076979,21,0.141892
10007,"122.10.7","122",10,7,"peoples_authority_2016","ზურაბ კვანტალიანი",10,0.07874,1364,148,38,105,0.108504,0.027859,0.076979,21,0.141892
10008,"122.10.8","122",10,8,"gd","ბორია ფირცხელიანი",106,0.697368,1246,175,56,137,0.140449,0.044944,0.109952,23,0.131429
10008,"122.10.8","122",10,8,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",27,0.177632,1246,175,56,137,0.140449,0.044944,0.109952,23,0.131429
10008,"122.10.8","122",10,8,"peoples_authority_2016","ზურაბ კვანტალიანი",19,0.125,1246,175,56,137,0.140449,0.044944,0.109952,23,0.131429
10009,"122.10.9","122",10,9,"gd","ბორია ფირცხელიანი",130,0.872483,1512,170,54,129,0.112434,0.035714,0.085317,21,0.123529
10009,"122.10.9","122",10,9,"nonparliamentary_opposition_2014","ნინო ჯურხაძე",13,0.087248,1512,170,54,129,0.112434,0.035714,0.085317,21,0.123529
