"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burchuladze","ჯემალი მაჭარაშვილი",1,243,3825,1933,674,1585,3797,28,68,0.104158,0.505359,0.176209,0.414379,0.035178
"national","gd","ვაჟა კობერიძე",1,799,3825,1933,674,1585,3797,28,68,0.342477,0.505359,0.176209,0.414379,0.035178
"national","gd","ზაზა ლაშქარავა",1,575,3825,1933,674,1585,3797,28,68,0.246464,0.505359,0.176209,0.414379,0.035178
"national","unm","გიორგი მოსეშვილი",1,416,3825,1933,674,1585,3797,28,68,0.178311,0.505359,0.176209,0.414379,0.035178
"national","unm","ვასო ჯანაშია",1,300,3825,1933,674,1585,3797,28,68,0.12859,0.505359,0.176209,0.414379,0.035178
"1515","burchuladze","ჯემალი მაჭარაშვილი",1,243,1887,1015,315,824,1863,24,29,0.166667,0.537891,0.166932,0.436672,0.028571
"1515","gd","ვაჟა კობერიძე",1,799,1887,1015,315,824,1863,24,29,0.548011,0.537891,0.166932,0.436672,0.028571
"1515","unm","გიორგი მოსეშვილი",1,416,1887,1015,315,824,1863,24,29,0.285322,0.537891,0.166932,0.436672,0.028571
"6407","gd","ზაზა ლაშქარავა",1,575,1938,918,359,761,1934,4,39,0.657143,0.473684,0.185243,0.392673,0.042484
"6407","unm","ვასო ჯანაშია",1,300,1938,918,359,761,1934,4,39,0.342857,0.473684,0.185243,0.392673,0.042484
