"precinct_id","precinct_key","district_id","raw_district_id","precinct_number","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
2615010,"26.15.8","1515",15,8,"burchuladze","ჯემალი მაჭარაშვილი",201,0.350785,1129,591,182,486,0.523472,0.161205,0.430469,17,0.028765
2615010,"26.15.8","1515",15,8,"gd","ვაჟა კობერიძე",185,0.322862,1129,591,182,486,0.523472,0.161205,0.430469,17,0.028765
2615010,"26.15.8","1515",15,8,"unm","გიორგი მოსეშვილი",187,0.326353,1129,591,182,486,0.523472,0.161205,0.430469,17,0.028765
2615010,"26.15.9","1515",15,9,"burchuladze","ჯემალი მაჭარაშვილი",15,0.031513,766,481,129,390,0.627937,0.168407,0.509138,5,0.010395
2615010,"26.15.9","1515",15,9,"gd","ვაჟა კობერიძე",364,0.764706,766,481,129,390,0.627937,0.168407,0.509138,5,0.010395
2615010,"26.15.9","1515",15,9,"unm","გიორგი მოსეშვილი",97,0.203782,766,481,129,390,0.627937,0.168407,0.509138,5,0.010395
2615030,"26.15.32","1515",15,32,"burchuladze","ჯემალი მაჭარაშვილი",27,0.066015,758,424,133,338,0.559367,0.175462,0.44591,12,0.028302
2615030,"26.15.32","1515",15,32,"gd","ვაჟა კობერიძე",250,0.611247,758,424,133,338,0.559367,0.175462,0.44591,12,0.028302
2615030,"26.15.32","1515",15,32,"unm","გიორგი მოსეშვილი",132,0.322738,758,424,133,338,0.559367,0.175462,0.44591,12,0.028302
6364030,"63.64.25","6407",64,25,"gd","ზაზა ლაშქარავა",397,0.686851,1371,598,236,499,0.436178,0.172137,0.363968,18,0.0301
6364030,"63.64.25","6407",64,25,"unm","ვასო ჯანაშია",181,0.313149,1371,598,236,499,0.436178,0.172137,0.363968,18,0.0301
6364040,"63.64.41","6407",64,41,"gd","ზაზა ლაშქარავა",178,0.599327,567,320,123,262,0.564374,0.216931,0.462081,21,0.065625
6364040,"63.64.41","6407",64,41,"unm","ვასო ჯანაშია",119,0.400673,567,320,123,262,0.564374,0.216931,0.462081,21,0.065625
