"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burchuladze","დავით დგებუაძე",1,279,98868,45198,16242,36140,98041,827,3861,0.004929,0.457155,0.16428,0.365538,0.085424
"national","burchuladze","ფახრად მუსაევი",1,1187,98868,45198,16242,36140,98041,827,3861,0.020968,0.457155,0.16428,0.365538,0.085424
"national","burchuladze","ჯონი კვარაცხელია",1,1222,98868,45198,16242,36140,98041,827,3861,0.021587,0.457155,0.16428,0.365538,0.085424
"national","free_democrats","დავით ვერავა",1,470,98868,45198,16242,36140,98041,827,3861,0.008303,0.457155,0.16428,0.365538,0.085424
"national","free_democrats","შმაგი გაფრინდაშვილი",1,1704,98868,45198,16242,36140,98041,827,3861,0.030101,0.457155,0.16428,0.365538,0.085424
"national","gd","გულია გოცირიძე",1,8295,98868,45198,16242,36140,98041,827,3861,0.146531,0.457155,0.16428,0.365538,0.085424
"national","gd","დავით კვარაცხელია",1,57,98868,45198,16242,36140,98041,827,3861,0.001007,0.457155,0.16428,0.365538,0.085424
"national","gd","ვახტანგ ცუცქირიძე",1,394,98868,45198,16242,36140,98041,827,3861,0.00696,0.457155,0.16428,0.365538,0.085424
"national","gd","ზურაბი ქადაგიძე",1,7543,98868,45198,16242,36140,98041,827,3861,0.133247,0.457155,0.16428,0.365538,0.085424
"national","gd","თაზო ფაცაცია",1,1854,98868,45198,16242,36140,98041,827,3861,0.032751,0.457155,0.16428,0.365538,0.085424
"national","gd","იაგო თოდუა",1,549,98868,45198,16242,36140,98041,827,3861,0.009698,0.457155,0.16428,0.365538,0.085424
"national","gd","ქეთევანი მამულაშვილი",1,11024,98868,45198,16242,36140,98041,827,3861,0.194739,0.457155,0.16428,0.365538,0.085424
"national","independent","გელა ვერულაშვილი",1,380,98868,45198,16242,36140,98041,827,3861,0.006713,0.457155,0.16428,0.365538,0.085424
"national","national_forum","თამაზ ბარათაშვილი",1,315,98868,45198,16242,36140,98041,827,3861,0.005564,0.457155,0.16428,0.365538,0.085424
"national","national_forum","მაია სამსონიძე",1,129,98868,45198,16242,36140,98041,827,3861,0.002279,0.457155,0.16428,0.365538,0.085424
"national","national_forum","ჯემალ ძაგნიძე",1,768,98868,45198,16242,36140,98041,827,3861,0.013567,0.457155,0.16428,0.365538,0.085424
"national","patriots","ირაკლი ლატარია",1,1904,98868,45198,16242,36140,98041,827,3861,0.033634,0.457155,0.16428,0.365538,0.085424
"national","patriots","ნინო კვარაცხელია",1,162,98868,45198,16242,36140,98041,827,3861,0.002862,0.457155,0.16428,0.365538,0.085424
"national","patriots","შალვა ცუცქირიძე",1,92,98868,45198,16242,36140,98041,827,3861,0.001625,0.457155,0.16428,0.365538,0.085424
"national","republicans_2016","გიორგი ჯალიაშვილი",1,406,98868,45198,16242,36140,98041,827,3861,0.007172,0.457155,0.16428,0.365538,0.085424
"national","republicans_2016","დავით ცაავა",1,225,98868,45198,16242,36140,98041,827,3861,0.003975,0.457155,0.16428,0.365538,0.085424
"national","republicans_2016","კახა სვანიძე",1,723,98868,45198,16242,36140,98041,827,3861,0.012772,0.457155,0.16428,0.365538,0.085424
"national","unm","ვლადიმერ ქანთარია",1,1239,98868,45198,16242,36140,98041,827,3861,0.021887,0.457155,0.16428,0.365538,0.085424
"national","unm","თამაზ ცუცქირიძე",1,228,98868,45198,16242,36140,98041,827,3861,0.004028,0.457155,0.16428,0.365538,0.085424
"national","unm","იაკობ ზაქარეიშვილი",1,4796,98868,45198,16242,36140,98041,827,3861,0.084722,0.457155,0.16428,0.365538,0.085424
"national","unm","რომეო ფარულავა",1,5938,98868,45198,16242,36140,98041,827,3861,0.104895,0.457155,0.16428,0.365538,0.085424
"national","unm","სალომე გაზდელიანი",1,4726,98868,45198,16242,36140,98041,827,3861,0.083485,0.457155,0.16428,0.365538,0.085424
"1023","burchuladze","ჯონი კვარაცხელია",1,1222,7024,2952,1059,2425,6978,46,290,0.077322,0.420273,0.150769,0.345245,0.098238
"1023","gd","გულია გოცირიძე",1,8295,7024,2952,1059,2425,6978,46,290,0.524867,0.420273,0.150769,0.345245,0.098238
"1023","national_forum","ჯემალ ძაგნიძე",1,768,7024,2952,1059,2425,6978,46,290,0.048595,0.420273,0.150769,0.345245,0.098238
"1023","republicans_2016","კახა სვანიძე",1,723,7024,2952,1059,2425,6978,46,290,0.045748,0.420273,0.150769,0.345245,0.098238
"1023","unm","იაკობ ზაქარეიშვილი",1,4796,7024,2952,1059,2425,6978,46,290,0.303467,0.420273,0.150769,0.345245,0.098238
"2523","gd","დავით კვარაცხელია",1,57,471,70,26,54,464,7,8,1,0.14862,0.055202,0.11465,0.114286
"407","burchuladze","ფახრად მუსაევი",1,1187,43735,20427,7264,16028,43296,439,1999,0.065403,0.467063,0.166091,0.36648,0.097861
"407","gd","ქეთევანი მამულაშვილი",1,11024,43735,20427,7264,16028,43296,439,1999,0.607416,0.467063,0.166091,0.36648,0.097861
"407","unm","რომეო ფარულავა",1,5938,43735,20427,7264,16028,43296,439,1999,0.327181,0.467063,0.166091,0.36648,0.097861
"510","free_democrats","შმაგი გაფრინდაშვილი",1,1704,40343,18173,6630,14715,40061,282,1386,0.102663,0.450462,0.164341,0.364747,0.076267
"510","gd","ზურაბი ქადაგიძე",1,7543,40343,18173,6630,14715,40061,282,1386,0.454452,0.450462,0.164341,0.364747,0.076267
"510","national_forum","თამაზ ბარათაშვილი",1,315,40343,18173,6630,14715,40061,282,1386,0.018978,0.450462,0.164341,0.364747,0.076267
"510","patriots","ირაკლი ლატარია",1,1904,40343,18173,6630,14715,40061,282,1386,0.114713,0.450462,0.164341,0.364747,0.076267
"510","republicans_2016","გიორგი ჯალიაშვილი",1,406,40343,18173,6630,14715,40061,282,1386,0.024461,0.450462,0.164341,0.364747,0.076267
"510","unm","სალომე გაზდელიანი",1,4726,40343,18173,6630,14715,40061,282,1386,0.284733,0.450462,0.164341,0.364747,0.076267
"5612","gd","ვახტანგ ცუცქირიძე",1,394,1021,580,219,525,1018,3,25,0.467378,0.568071,0.214496,0.514202,0.043103
"5612","national_forum","მაია სამსონიძე",1,129,1021,580,219,525,1018,3,25,0.153025,0.568071,0.214496,0.514202,0.043103
"5612","patriots","შალვა ცუცქირიძე",1,92,1021,580,219,525,1018,3,25,0.109134,0.568071,0.214496,0.514202,0.043103
"5612","unm","თამაზ ცუცქირიძე",1,228,1021,580,219,525,1018,3,25,0.270463,0.568071,0.214496,0.514202,0.043103
"6309","gd","იაგო თოდუა",1,549,1406,973,292,775,1398,8,36,0.590958,0.692034,0.207681,0.551209,0.036999
"6309","independent","გელა ვერულაშვილი",1,380,1406,973,292,775,1398,8,36,0.409042,0.692034,0.207681,0.551209,0.036999
"6701","burchuladze","დავით დგებუაძე",1,279,4868,2023,752,1618,4826,42,117,0.065973,0.415571,0.154478,0.332375,0.057835
"6701","free_democrats","დავით ვერავა",1,470,4868,2023,752,1618,4826,42,117,0.111137,0.415571,0.154478,0.332375,0.057835
"6701","gd","თაზო ფაცაცია",1,1854,4868,2023,752,1618,4826,42,117,0.438402,0.415571,0.154478,0.332375,0.057835
"6701","patriots","ნინო კვარაცხელია",1,162,4868,2023,752,1618,4826,42,117,0.038307,0.415571,0.154478,0.332375,0.057835
"6701","republicans_2016","დავით ცაავა",1,225,4868,2023,752,1618,4826,42,117,0.053204,0.415571,0.154478,0.332375,0.057835
