"precinct_id","precinct_key","district_id","raw_district_id","precinct_number","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
104001,"1.4.1","107",4,1,"burchuladze","ფახრად მუსაევი",24,0.031746,1597,872,283,677,0.546024,0.177207,0.42392,106,0.12156
104001,"1.4.1","107",4,1,"gd","ქეთევანი მამულაშვილი",523,0.691799,1597,872,283,677,0.546024,0.177207,0.42392,106,0.12156
104001,"1.4.1","107",4,1,"unm","რომეო ფარულავა",209,0.276455,1597,872,283,677,0.546024,0.177207,0.42392,106,0.12156
704002,"7.4.2","107",4,2,"burchuladze","ფახრად მუსაევი",37,0.066547,1390,640,189,515,0.460432,0.135971,0.370504,78,0.121875
704002,"7.4.2","107",4,2,"gd","ქეთევანი მამულაშვილი",374,0.672662,1390,640,189,515,0.460432,0.135971,0.370504,78,0.121875
704002,"7.4.2","107",4,2,"unm","რომეო ფარულავა",145,0.260791,1390,640,189,515,0.460432,0.135971,0.370504,78,0.121875
704003,"7.4.3","107",4,3,"burchuladze","ფახრად მუსაევი",36,0.060302,1510,682,183,507,0.451656,0.121192,0.335762,80,0.117302
704003,"7.4.3","107",4,3,"gd","ქეთევანი მამულაშვილი",376,0.629816,1510,682,183,507,0.451656,0.121192,0.335762,80,0.117302
704003,"7.4.3","107",4,3,"unm","რომეო ფარულავა",185,0.309883,1510,682,183,507,0.451656,0.121192,0.335762,80,0.117302
704004,"7.4.4","107",4,4,"burchuladze","ფახრად მუსაევი",43,0.080074,1376,599,184,492,0.43532,0.133721,0.357558,58,0.096828
704004,"7.4.4","107",4,4,"gd","ქეთევანი მამულაშვილი",364,0.67784,1376,599,184,492,0.43532,0.133721,0.357558,58,0.096828
704004,"7.4.4","107",4,4,"unm","რომეო ფარულავა",130,0.242086,1376,599,184,492,0.43532,0.133721,0.357558,58,0.096828
704005,"7.4.5","107",4,5,"burchuladze","ფახრად მუსაევი",38,0.078512,1294,536,168,432,0.414219,0.12983,0.333849,43,0.080224
704005,"7.4.5","107",4,5,"gd","ქეთევანი მამულაშვილი",320,0.661157,1294,536,168,432,0.414219,0.12983,0.333849,43,0.080224
704005,"7.4.5","107",4,5,"unm","რომეო ფარულავა",126,0.260331,1294,536,168,432,0.414219,0.12983,0.333849,43,0.080224
704006,"7.4.6","107",4,6,"burchuladze","ფახრად მუსაევი",23,0.044922,1445,579,214,501,0.400692,0.148097,0.346713,61,0.105354
