"district_id","party_id","party_num","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","gd","41","დავითი შერაზადიშვილი",1,23696,33995,13830,5086,11418,33802,193,348,0.341677,0.406825,0.14961,0.335873,0.025163
"national","gd","41","ვლადიმერ ზედგინიძე",1,4504,33995,13830,5086,11418,33802,193,348,0.064944,0.406825,0.14961,0.335873,0.025163
"national","gd","41","ლაშა გოგია",1,18173,33995,13830,5086,11418,33802,193,348,0.26204,0.406825,0.14961,0.335873,0.025163
"national","gd","41","ნიკოლოზ თოფურიძე",1,8575,33995,13830,5086,11418,33802,193,348,0.123645,0.406825,0.14961,0.335873,0.025163
"national","unm","5","ბესიკი გაბუნია",1,7927,33995,13830,5086,11418,33802,193,348,0.114301,0.406825,0.14961,0.335873,0.025163
"national","unm","5","თამაზი ლომიძე",1,2678,33995,13830,5086,11418,33802,193,348,0.038615,0.406825,0.14961,0.335873,0.025163
"national","unm","5","ირაკლი ერეკლიშვილი",1,2620,33995,13830,5086,11418,33802,193,348,0.037778,0.406825,0.14961,0.335873,0.025163
"national","unm","5","ტრისტან ბერიძე",1,1179,33995,13830,5086,11418,33802,193,348,0.017,0.406825,0.14961,0.335873,0.025163
"23","gd","41","დავითი შერაზადიშვილი",1,23696,8069,3316,1468,2920,8005,64,40,0.952603,0.410956,0.181931,0.361879,0.012063
"23","unm","5","ტრისტან ბერიძე",1,1179,8069,3316,1468,2920,8005,64,40,0.047397,0.410956,0.181931,0.361879,0.012063
"371","gd","41","ვლადიმერ ზედგინიძე",1,4504,3588,1648,511,1352,3533,55,65,0.632229,0.459309,0.142419,0.376812,0.039442
"371","unm","5","ირაკლი ერეკლიშვილი",1,2620,3588,1648,511,1352,3533,55,65,0.367771,0.459309,0.142419,0.376812,0.039442
"48","gd","41","ნიკოლოზ თოფურიძე",1,8575,2442,1363,471,1143,2435,7,38,0.762019,0.558149,0.192875,0.468059,0.02788
"48","unm","5","თამაზი ლომიძე",1,2678,2442,1363,471,1143,2435,7,38,0.237981,0.558149,0.192875,0.468059,0.02788
"67","gd","41","ლაშა გოგია",1,18173,19896,7503,2636,6003,19829,67,205,0.696284,0.377111,0.132489,0.301719,0.027322
"67","unm","5","ბესიკი გაბუნია",1,7927,19896,7503,2636,6003,19829,67,205,0.303716,0.377111,0.132489,0.301719,0.027322
