"district_id","party_id","party_num","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burchuladze","1","გიორგი სამხარაძე",1,566,45309,22511,8933,18288,44988,321,1920,0.005284,0.496833,0.197157,0.403628,0.085292
"national","burchuladze","1","ელგუჯა ფიფია",1,3756,45309,22511,8933,18288,44988,321,1920,0.035064,0.496833,0.197157,0.403628,0.085292
"national","burchuladze","1","ივანე გვარამაძე",1,571,45309,22511,8933,18288,44988,321,1920,0.005331,0.496833,0.197157,0.403628,0.085292
"national","burchuladze","1","მირზა ინასარიძე",1,827,45309,22511,8933,18288,44988,321,1920,0.00772,0.496833,0.197157,0.403628,0.085292
"national","free_democrats","27","უშანგი ბერაძე",1,725,45309,22511,8933,18288,44988,321,1920,0.006768,0.496833,0.197157,0.403628,0.085292
"national","gd","41","ბესიკ ფარცვანია",1,7420,45309,22511,8933,18288,44988,321,1920,0.069269,0.496833,0.197157,0.403628,0.085292
"national","gd","41","დავითი შერაზადიშვილი",1,11674,45309,22511,8933,18288,44988,321,1920,0.108983,0.496833,0.197157,0.403628,0.085292
"national","gd","41","ვლადიმერ ზედგინიძე",1,2840,45309,22511,8933,18288,44988,321,1920,0.026513,0.496833,0.197157,0.403628,0.085292
"national","gd","41","ზურაბ კუპატაძე",1,9975,45309,22511,8933,18288,44988,321,1920,0.093122,0.496833,0.197157,0.403628,0.085292
"national","gd","41","ლაშა გოგია",1,13198,45309,22511,8933,18288,44988,321,1920,0.12321,0.496833,0.197157,0.403628,0.085292
"national","gd","41","ნიკოლოზ თოფურიძე",1,6443,45309,22511,8933,18288,44988,321,1920,0.060149,0.496833,0.197157,0.403628,0.085292
"national","independent","43","ელგუჯა ჯაფარიძე",1,3812,45309,22511,8933,18288,44988,321,1920,0.035587,0.496833,0.197157,0.403628,0.085292
"national","independent","43","ზურაბ კაპანაძე",1,2196,45309,22511,8933,18288,44988,321,1920,0.020501,0.496833,0.197157,0.403628,0.085292
"national","national_forum","26","ზურაბ ჩუბინიძე",1,2471,45309,22511,8933,18288,44988,321,1920,0.023068,0.496833,0.197157,0.403628,0.085292
"national","national_forum","26","ჯუმბერ ინასარიძე",1,527,45309,22511,8933,18288,44988,321,1920,0.00492,0.496833,0.197157,0.403628,0.085292
"national","patriots","8","ბესიკ ტაბატაძე",1,209,45309,22511,8933,18288,44988,321,1920,0.001951,0.496833,0.197157,0.403628,0.085292
"national","patriots","8","გოდერძი მიქელაძე",1,444,45309,22511,8933,18288,44988,321,1920,0.004145,0.496833,0.197157,0.403628,0.085292
"national","patriots","8","გურგენ სართანია",1,2833,45309,22511,8933,18288,44988,321,1920,0.026447,0.496833,0.197157,0.403628,0.085292
"national","patriots","8","ემზარ უბილავა",1,1457,45309,22511,8933,18288,44988,321,1920,0.013602,0.496833,0.197157,0.403628,0.085292
"national","patriots","8","თეიმურაზ ფცქიალაძე",1,399,45309,22511,8933,18288,44988,321,1920,0.003725,0.496833,0.197157,0.403628,0.085292
"national","patriots","8","კონსტანტინე ქვარიანი",1,2403,45309,22511,8933,18288,44988,321,1920,0.022433,0.496833,0.197157,0.403628,0.085292
"national","republicans_2016","6","ირაკლი ქოჩუა",1,660,45309,22511,8933,18288,44988,321,1920,0.006161,0.496833,0.197157,0.403628,0.085292
"national","republicans_2016","6","მიხეილ ჭიპაშვილი",1,1531,45309,22511,8933,18288,44988,321,1920,0.014293,0.496833,0.197157,0.403628,0.085292
"national","republicans_2016","6","მურმან ბარათაშვილი",1,2419,45309,22511,8933,18288,44988,321,1920,0.022583,0.496833,0.197157,0.403628,0.085292
"national","unm","5","ბესიკი გაბუნია",1,13921,45309,22511,8933,18288,44988,321,1920,0.129959,0.496833,0.197157,0.403628,0.085292
"national","unm","5","თამაზი ლომიძე",1,2994,45309,22511,8933,18288,44988,321,1920,0.02795,0.496833,0.197157,0.403628,0.085292
"national","unm","5","ირაკლი ერეკლიშვილი",1,3530,45309,22511,8933,18288,44988,321,1920,0.032954,0.496833,0.197157,0.403628,0.085292
"national","unm","5","ტრისტან ბერიძე",1,7317,45309,22511,8933,18288,44988,321,1920,0.068308,0.496833,0.197157,0.403628,0.085292
"23","burchuladze","1","გიორგი სამხარაძე",1,566,8078,3590,1640,3048,8001,77,220,0.023769,0.444417,0.203021,0.377321,0.061281
"23","gd","41","დავითი შერაზადიშვილი",1,11674,8078,3590,1640,3048,8001,77,220,0.490236,0.444417,0.203021,0.377321,0.061281
"23","independent","43","ელგუჯა ჯაფარიძე",1,3812,8078,3590,1640,3048,8001,77,220,0.160081,0.444417,0.203021,0.377321,0.061281
"23","patriots","8","გოდერძი მიქელაძე",1,444,8078,3590,1640,3048,8001,77,220,0.018645,0.444417,0.203021,0.377321,0.061281
"23","unm","5","ტრისტან ბერიძე",1,7317,8078,3590,1640,3048,8001,77,220,0.307269,0.444417,0.203021,0.377321,0.061281
