district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status
tbilisi,gd,155100,0.578,16,18,passed
tbilisi,unm,80100,0.299,6,5,passed
tbilisi,other,33000,0.123,3,2,failed
imereti,gd,80100,0.616,14,15,passed
imereti,unm,35100,0.270,5,5,passed
imereti,other,14800,0.114,3,2,failed
kakheti,gd,68300,0.615,13,14,passed
kakheti,unm,29600,0.266,5,4,passed
kakheti,other,13300,0.120,2,2,failed
samtskhe,gd,35100,0.621,10,11,passed
samtskhe,unm,14800,0.261,4,3,passed
samtskhe,other,6600,0.117,2,2,failed
kvemo_kartli,gd,66500,0.569,13,14,passed
kvemo_kartli,unm,34000,0.291,6,5,passed
kvemo_kartli,other,16500,0.141,3,3,failed
shida_kartli,gd,44900,0.608,11,12,passed
shida_kartli,unm,19700,0.267,5,4,passed
shida_kartli,other,9200,0.125,2,2,failed
mtskheta,gd,24600,0.610,10,10,passed
mtskheta,unm,10500,0.259,4,3,passed
mtskheta,other,5300,0.131,1,2,failed
racha,gd,7300,0.653,7,7,passed
racha,unm,2600,0.238,2,2,passed
racha,other,1200,0.111,1,1,failed
samegrelo,gd,78800,0.602,14,14,passed
samegrelo,unm,35100,0.268,5,5,passed
samegrelo,other,17100,0.130,3,3,failed
guria,gd,32000,0.619,9,10,passed
guria,unm,13500,0.262,3,3,passed
guria,other,6200,0.119,2,1,failed
adjara,gd,65300,0.579,10,11,passed
adjara,unm,32000,0.284,4,3,passed
adjara,other,15400,0.137,2,2,failed
