"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burjanadze_united_opposition_2014","",1,4536,3455598,1489131,569700,1181362,3429019,26579,60580,0.003203,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","აბესალომ მატუა",1,16,3455598,1489131,569700,1181362,3429019,26579,60580,1.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","აგილ მამედოვი",1,33,3455598,1489131,569700,1181362,3429019,26579,60580,2.3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ ბარბაქაძე",1,8,3455598,1489131,569700,1181362,3429019,26579,60580,6e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ ბუჩუკური",1,7,3455598,1489131,569700,1181362,3429019,26579,60580,5e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ გელენიძე",1,66,3455598,1489131,569700,1181362,3429019,26579,60580,4.7e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ გვანცელაძე",1,497,3455598,1489131,569700,1181362,3429019,26579,60580,0.000351,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ გიორგიძე",1,20,3455598,1489131,569700,1181362,3429019,26579,60580,1.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ დევიძე",1,56,3455598,1489131,569700,1181362,3429019,26579,60580,4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ ჩალათაშვილი",1,93,3455598,1489131,569700,1181362,3429019,26579,60580,6.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილ ცხელიშვილი",1,30,3455598,1489131,569700,1181362,3429019,26579,60580,2.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილი ბერაია",1,50,3455598,1489131,569700,1181362,3429019,26579,60580,3.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილი თამაზაშვილი",1,92,3455598,1489131,569700,1181362,3429019,26579,60580,6.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ავთანდილი ჟორჟოლიანი",1,433,3455598,1489131,569700,1181362,3429019,26579,60580,0.000306,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","აზა სულაბერიძე",1,345,3455598,1489131,569700,1181362,3429019,26579,60580,0.000244,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","აკაკი გოცირიძე",1,183,3455598,1489131,569700,1181362,3429019,26579,60580,0.000129,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","აკაკი დვალიძე",1,1,3455598,1489131,569700,1181362,3429019,26579,60580,1e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","აკაკი კობეშავიძე",1,30,3455598,1489131,569700,1181362,3429019,26579,60580,2.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","აკიფ სამედოვი",1,18,3455598,1489131,569700,1181362,3429019,26579,60580,1.3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალეკო გოგილიძე",1,52,3455598,1489131,569700,1181362,3429019,26579,60580,3.7e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე გაჩეჩილაძე",1,23,3455598,1489131,569700,1181362,3429019,26579,60580,1.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე კვაშილავა",1,23,3455598,1489131,569700,1181362,3429019,26579,60580,1.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე კუდუხაშვილი",1,93,3455598,1489131,569700,1181362,3429019,26579,60580,6.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე მაზანიშვილი",1,392,3455598,1489131,569700,1181362,3429019,26579,60580,0.000277,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე სამხარაძე",1,74,3455598,1489131,569700,1181362,3429019,26579,60580,5.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე სირბილაშვილი",1,494,3455598,1489131,569700,1181362,3429019,26579,60580,0.000349,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე ფოჩხუა",1,370,3455598,1489131,569700,1181362,3429019,26579,60580,0.000261,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე ცომაშვილი",1,166,3455598,1489131,569700,1181362,3429019,26579,60580,0.000117,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე ჯინჭარაძე",1,11,3455598,1489131,569700,1181362,3429019,26579,60580,8e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსანდრე ჯიშკარიანი",1,5,3455598,1489131,569700,1181362,3429019,26579,60580,4e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ალექსი ჭამიაშვილი",1,12,3455598,1489131,569700,1181362,3429019,26579,60580,8e-06,0.430933,0.164863,0.341869,0.040681
