"district_id","party_id","party_num","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burjanadze_united_opposition_2014","3","დავით ინჯია",2,1399,1727336,620190,259439,485374,1715514,11822,18173,0.002325,0.359044,0.150196,0.280996,0.029302
"national","burjanadze_united_opposition_2014","3","ზურაბი ფილაშვილი",2,5963,1727336,620190,259439,485374,1715514,11822,18173,0.009909,0.359044,0.150196,0.280996,0.029302
"national","burjanadze_united_opposition_2014","3","თენგიზ ჭიქაბერიძე",2,2951,1727336,620190,259439,485374,1715514,11822,18173,0.004904,0.359044,0.150196,0.280996,0.029302
"national","burjanadze_united_opposition_2014","3","ილია არჩემაშვილი",2,2136,1727336,620190,259439,485374,1715514,11822,18173,0.003549,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ავთანდილ ნემსიწვერიძე",2,2042,1727336,620190,259439,485374,1715514,11822,18173,0.003393,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ალექსანდრე გრიგალავა",2,10917,1727336,620190,259439,485374,1715514,11822,18173,0.018141,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ალექსანდრე შათირიშვილი",2,9454,1727336,620190,259439,485374,1715514,11822,18173,0.01571,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ბეგლარ სიორიძე",2,4409,1727336,620190,259439,485374,1715514,11822,18173,0.007326,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ბესიკ ბაუჩაძე",2,6265,1727336,620190,259439,485374,1715514,11822,18173,0.010411,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ბექა ბაიდაური",2,8649,1727336,620190,259439,485374,1715514,11822,18173,0.014372,0.359044,0.150196,0.280996,0.029302
"national","gd","41","გიორგი ერმაკოვი",2,26103,1727336,620190,259439,485374,1715514,11822,18173,0.043375,0.359044,0.150196,0.280996,0.029302
"national","gd","41","დავით ნარმანია",2,222066,1727336,620190,259439,485374,1715514,11822,18173,0.369006,0.359044,0.150196,0.280996,0.029302
"national","gd","41","დავით ონიაშვილი",2,17908,1727336,620190,259439,485374,1715514,11822,18173,0.029758,0.359044,0.150196,0.280996,0.029302
"national","gd","41","დავითი ჯიქია",2,22372,1727336,620190,259439,485374,1715514,11822,18173,0.037175,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ზაზა ურუშაძე",2,8608,1727336,620190,259439,485374,1715514,11822,18173,0.014304,0.359044,0.150196,0.280996,0.029302
"national","gd","41","ზურაბი ჯირკველიშვილი",2,9754,1727336,620190,259439,485374,1715514,11822,18173,0.016208,0.359044,0.150196,0.280996,0.029302
