"district_id","party_id","party_num","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burjanadze_united_opposition_2014","3","ავთანდილ გონგლაძე",1,1919,3456076,1484237,567786,1178379,3429748,26328,67031,0.00136,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ავთანდილ ჯაში",1,632,3456076,1484237,567786,1178379,3429748,26328,67031,0.000448,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","აკაკი პაჭკორია",1,1484,3456076,1484237,567786,1178379,3429748,26328,67031,0.001051,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ასლან ტუნაძე",1,537,3456076,1484237,567786,1178379,3429748,26328,67031,0.00038,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ბეჟან ხურციძე",1,4796,3456076,1484237,567786,1178379,3429748,26328,67031,0.003398,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ბესიკი ყველაშვილი",1,590,3456076,1484237,567786,1178379,3429748,26328,67031,0.000418,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","გელა ლეკიშვილი",1,849,3456076,1484237,567786,1178379,3429748,26328,67031,0.000602,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","გიორგი ვეკუა",1,929,3456076,1484237,567786,1178379,3429748,26328,67031,0.000658,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","გიორგი ჩუბინიძე",1,2660,3456076,1484237,567786,1178379,3429748,26328,67031,0.001885,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","გიორგი ხუციშვილი",1,2230,3456076,1484237,567786,1178379,3429748,26328,67031,0.00158,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","გოგიტა ბიგვავა",1,754,3456076,1484237,567786,1178379,3429748,26328,67031,0.000534,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","გოჩა ბოკუჩავა",1,3215,3456076,1484237,567786,1178379,3429748,26328,67031,0.002278,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","დავით ინჯია",1,5448,3456076,1484237,567786,1178379,3429748,26328,67031,0.00386,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","დავით ქანთარია",1,2373,3456076,1484237,567786,1178379,3429748,26328,67031,0.001681,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","დარეჯან ესართია",1,1066,3456076,1484237,567786,1178379,3429748,26328,67031,0.000755,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","დიმიტრი ლორთქიფანიძე",1,42208,3456076,1484237,567786,1178379,3429748,26328,67031,0.029906,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ვალერი შოშიაშვილი",1,3212,3456076,1484237,567786,1178379,3429748,26328,67031,0.002276,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ვაჟა გელაძე",1,504,3456076,1484237,567786,1178379,3429748,26328,67031,0.000357,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ვაჟა ცინცქილაძე",1,2736,3456076,1484237,567786,1178379,3429748,26328,67031,0.001939,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ვახტანგ გუგულაშვილი",1,1699,3456076,1484237,567786,1178379,3429748,26328,67031,0.001204,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ზაზა ნათენაძე",1,264,3456076,1484237,567786,1178379,3429748,26328,67031,0.000187,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ზურაბ ავალიანი",1,2251,3456076,1484237,567786,1178379,3429748,26328,67031,0.001595,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ზურაბ ჩელებაძე",1,2295,3456076,1484237,567786,1178379,3429748,26328,67031,0.001626,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ზურაბი აკოფაშვილი",1,1404,3456076,1484237,567786,1178379,3429748,26328,67031,0.000995,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","ზურაბი ფილაშვილი",1,3971,3456076,1484237,567786,1178379,3429748,26328,67031,0.002814,0.429457,0.164286,0.340959,0.045162
"national","burjanadze_united_opposition_2014","3","თამაზ მწყერაშვილი",1,881,3456076,1484237,567786,1178379,3429748,26328,67031,0.000624,0.429457,0.164286,0.340959,0.045162
