"precinct_id","selfgov_id","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
1001,1,"burjanadze_united_opposition_2014","3","დიმიტრი ლორთქიფანიძე",72,0.130909,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"future_georgia_2014","13","გიორგი ლაღიძე",0,0,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"gd","41","დავით ნარმანია",238,0.432727,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"georgias_way_2014","18","თეიმურაზ მურვანიძე",2,0.003636,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"greens_2014","6","გიორგი გაჩეჩილაძე",9,0.016364,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"kostava_society","30","გიორგი ლილუაშვილი",1,0.001818,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"labour","20","ასმათ ტყაბლაძე",9,0.016364,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"nonparliamentary_opposition_2014","1","კახა კუკავა",14,0.025455,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"patriots","8","ირმა ინაშვილი",26,0.047273,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"reformers_2014","11","ირაკლი ღლონტი",1,0.001818,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"self_governance_people_2014","9","სერგო ჯავახიძე",0,0,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"ufali_2014","7","მიხეილ სალუაშვილი",1,0.001818,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"unm","5","ნიკანორ მელია",174,0.316364,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1001,1,"workers_council_2014","36","როინ ლიპარტელიანი",3,0.005455,1451,568,189,457,0.391454,0.130255,0.314955,19,0.033451
1002,1,"burjanadze_united_opposition_2014","3","დიმიტრი ლორთქიფანიძე",62,0.113346,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"future_georgia_2014","13","გიორგი ლაღიძე",0,0,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"gd","41","დავით ნარმანია",224,0.409506,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"georgias_way_2014","18","თეიმურაზ მურვანიძე",2,0.003656,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"greens_2014","6","გიორგი გაჩეჩილაძე",4,0.007313,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"kostava_society","30","გიორგი ლილუაშვილი",0,0,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"labour","20","ასმათ ტყაბლაძე",5,0.009141,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"nonparliamentary_opposition_2014","1","კახა კუკავა",12,0.021938,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"patriots","8","ირმა ინაშვილი",27,0.04936,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"reformers_2014","11","ირაკლი ღლონტი",1,0.001828,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"self_governance_people_2014","9","სერგო ჯავახიძე",0,0,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"ufali_2014","7","მიხეილ სალუაშვილი",1,0.001828,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"unm","5","ნიკანორ მელია",209,0.382084,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1002,1,"workers_council_2014","36","როინ ლიპარტელიანი",0,0,1244,572,185,470,0.459807,0.148714,0.377814,25,0.043706
1003,1,"burjanadze_united_opposition_2014","3","დიმიტრი ლორთქიფანიძე",52,0.090278,1434,593,185,451,0.413529,0.12901,0.314505,16,0.026981
