"district_id","party_id","name_ka","round","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"national","european_georgia","",1,155,0.006819,47989,24701,7770,19389,47456,533,0.514722,0.161912,0.40403,1750,0.070847
"national","gd","",1,11716,0.515465,47989,24701,7770,19389,47456,533,0.514722,0.161912,0.40403,1750,0.070847
"national","labour","",1,742,0.032646,47989,24701,7770,19389,47456,533,0.514722,0.161912,0.40403,1750,0.070847
"national","lelo","",1,1964,0.086409,47989,24701,7770,19389,47456,533,0.514722,0.161912,0.40403,1750,0.070847
"national","patriots","",1,9,0.000396,47989,24701,7770,19389,47456,533,0.514722,0.161912,0.40403,1750,0.070847
"national","social_justice_2020","",1,91,0.004004,47989,24701,7770,19389,47456,533,0.514722,0.161912,0.40403,1750,0.070847
"national","unm","",1,8052,0.354261,47989,24701,7770,19389,47456,533,0.514722,0.161912,0.40403,1750,0.070847
"170700","european_georgia","ნინო ხუციშვილი",1,140,0.093708,2205,1558,509,1215,2185,20,0.706576,0.230839,0.55102,57,0.036585
"170700","gd","გიორგი მეტრეველი",1,677,0.453146,2205,1558,509,1215,2185,20,0.706576,0.230839,0.55102,57,0.036585
"170700","labour","თამარი მენაბდიშვილი",1,16,0.01071,2205,1558,509,1215,2185,20,0.706576,0.230839,0.55102,57,0.036585
"170700","social_justice_2020","ბიძინა ზუროშვილი",1,91,0.06091,2205,1558,509,1215,2185,20,0.706576,0.230839,0.55102,57,0.036585
"170700","unm","ნანა ხეჩოშვილი",1,570,0.381526,2205,1558,509,1215,2185,20,0.706576,0.230839,0.55102,57,0.036585
"260200","european_georgia","მაია ჩქარეული",1,15,0.012019,2025,1296,457,1093,2003,22,0.64,0.225679,0.539753,37,0.028549
"260200","gd","ლევან წიკლაური",1,705,0.564904,2025,1296,457,1093,2003,22,0.64,0.225679,0.539753,37,0.028549
"260200","labour","თამარი მაისურაძე",1,11,0.008814,2025,1296,457,1093,2003,22,0.64,0.225679,0.539753,37,0.028549
"260200","unm","კახა სამადაშვილი",1,517,0.414263,2025,1296,457,1093,2003,22,0.64,0.225679,0.539753,37,0.028549
"431600","gd","რევაზ საბანაძე",1,48,0.716418,107,73,30,72,103,4,0.682243,0.280374,0.672897,2,0.027397
"431600","patriots","ზურიკო ქოჩლაძე",1,9,0.134328,107,73,30,72,103,4,0.682243,0.280374,0.672897,2,0.027397
"431600","unm","მამუკა კობერიძე",1,10,0.149254,107,73,30,72,103,4,0.682243,0.280374,0.672897,2,0.027397
"990700","gd","ლევან ჯაფარიძე",1,10286,0.516365,43652,21774,6774,17009,43165,487,0.498809,0.155182,0.38965,1654,0.075962
"990700","labour","მამუკა ჯუღელი",1,715,0.035894,43652,21774,6774,17009,43165,487,0.498809,0.155182,0.38965,1654,0.075962
"990700","lelo","ლევან ლაბაძე",1,1964,0.098594,43652,21774,6774,17009,43165,487,0.498809,0.155182,0.38965,1654,0.075962
"990700","unm","რომეო ფარულავა",1,6955,0.349147,43652,21774,6774,17009,43165,487,0.498809,0.155182,0.38965,1654,0.075962
