"precinct_id","precinct_key","district_id","raw_district_id","precinct_number","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
4001,"990700.4.1","990700",4,1,"gd","ლევან ჯაფარიძე",406,0.542056,1548,827,254,636,0.534238,0.164083,0.410853,72,0.087062
4001,"990700.4.1","990700",4,1,"labour","მამუკა ჯუღელი",33,0.044059,1548,827,254,636,0.534238,0.164083,0.410853,72,0.087062
4001,"990700.4.1","990700",4,1,"lelo","ლევან ლაბაძე",108,0.144192,1548,827,254,636,0.534238,0.164083,0.410853,72,0.087062
4001,"990700.4.1","990700",4,1,"unm","რომეო ფარულავა",202,0.269693,1548,827,254,636,0.534238,0.164083,0.410853,72,0.087062
4002,"990700.4.2","990700",4,2,"gd","ლევან ჯაფარიძე",317,0.528333,1349,684,212,553,0.507042,0.157153,0.409933,78,0.114035
4002,"990700.4.2","990700",4,2,"labour","მამუკა ჯუღელი",30,0.05,1349,684,212,553,0.507042,0.157153,0.409933,78,0.114035
4002,"990700.4.2","990700",4,2,"lelo","ლევან ლაბაძე",64,0.106667,1349,684,212,553,0.507042,0.157153,0.409933,78,0.114035
4002,"990700.4.2","990700",4,2,"unm","რომეო ფარულავა",189,0.315,1349,684,212,553,0.507042,0.157153,0.409933,78,0.114035
4003,"990700.4.3","990700",4,3,"gd","ლევან ჯაფარიძე",283,0.452077,1452,686,200,598,0.472452,0.137741,0.411846,59,0.086006
4003,"990700.4.3","990700",4,3,"labour","მამუკა ჯუღელი",21,0.033546,1452,686,200,598,0.472452,0.137741,0.411846,59,0.086006
4003,"990700.4.3","990700",4,3,"lelo","ლევან ლაბაძე",92,0.146965,1452,686,200,598,0.472452,0.137741,0.411846,59,0.086006
4003,"990700.4.3","990700",4,3,"unm","რომეო ფარულავა",230,0.367412,1452,686,200,598,0.472452,0.137741,0.411846,59,0.086006
4004,"990700.4.4","990700",4,4,"gd","ლევან ჯაფარიძე",261,0.478022,1267,605,195,469,0.477506,0.153907,0.370166,55,0.090909
4004,"990700.4.4","990700",4,4,"labour","მამუკა ჯუღელი",23,0.042125,1267,605,195,469,0.477506,0.153907,0.370166,55,0.090909
4004,"990700.4.4","990700",4,4,"lelo","ლევან ლაბაძე",86,0.157509,1267,605,195,469,0.477506,0.153907,0.370166,55,0.090909
4004,"990700.4.4","990700",4,4,"unm","რომეო ფარულავა",176,0.322344,1267,605,195,469,0.477506,0.153907,0.370166,55,0.090909
4005,"990700.4.5","990700",4,5,"gd","ლევან ჯაფარიძე",299,0.53777,1237,601,201,517,0.485853,0.16249,0.417947,44,0.073211
4005,"990700.4.5","990700",4,5,"labour","მამუკა ჯუღელი",18,0.032374,1237,601,201,517,0.485853,0.16249,0.417947,44,0.073211
4005,"990700.4.5","990700",4,5,"lelo","ლევან ლაბაძე",77,0.138489,1237,601,201,517,0.485853,0.16249,0.417947,44,0.073211
4005,"990700.4.5","990700",4,5,"unm","რომეო ფარულავა",162,0.291367,1237,601,201,517,0.485853,0.16249,0.417947,44,0.073211
4006,"990700.4.6","990700",4,6,"gd","ლევან ჯაფარიძე",285,0.527778,1355,599,225,500,0.442066,0.166052,0.369004,57,0.095159
4006,"990700.4.6","990700",4,6,"labour","მამუკა ჯუღელი",24,0.044444,1355,599,225,500,0.442066,0.166052,0.369004,57,0.095159
4006,"990700.4.6","990700",4,6,"lelo","ლევან ლაბაძე",79,0.146296,1355,599,225,500,0.442066,0.166052,0.369004,57,0.095159
4006,"990700.4.6","990700",4,6,"unm","რომეო ფარულავა",152,0.281481,1355,599,225,500,0.442066,0.166052,0.369004,57,0.095159
4007,"990700.4.7","990700",4,7,"gd","ლევან ჯაფარიძე",303,0.540107,1243,608,194,495,0.489139,0.156074,0.39823,46,0.075658
4007,"990700.4.7","990700",4,7,"labour","მამუკა ჯუღელი",24,0.042781,1243,608,194,495,0.489139,0.156074,0.39823,46,0.075658
4007,"990700.4.7","990700",4,7,"lelo","ლევან ლაბაძე",47,0.083779,1243,608,194,495,0.489139,0.156074,0.39823,46,0.075658
4007,"990700.4.7","990700",4,7,"unm","რომეო ფარულავა",187,0.333333,1243,608,194,495,0.489139,0.156074,0.39823,46,0.075658
4008,"990700.4.8","990700",4,8,"gd","ლევან ჯაფარიძე",343,0.543582,1343,677,234,541,0.504095,0.174237,0.402829,40,0.059084
4008,"990700.4.8","990700",4,8,"labour","მამუკა ჯუღელი",28,0.044374,1343,677,234,541,0.504095,0.174237,0.402829,40,0.059084
4008,"990700.4.8","990700",4,8,"lelo","ლევან ლაბაძე",60,0.095087,1343,677,234,541,0.504095,0.174237,0.402829,40,0.059084
4008,"990700.4.8","990700",4,8,"unm","რომეო ფარულავა",200,0.316957,1343,677,234,541,0.504095,0.174237,0.402829,40,0.059084
4009,"990700.4.9","990700",4,9,"gd","ლევან ჯაფარიძე",269,0.556936,1064,519,177,431,0.487782,0.166353,0.405075,31,0.05973
4009,"990700.4.9","990700",4,9,"labour","მამუკა ჯუღელი",17,0.035197,1064,519,177,431,0.487782,0.166353,0.405075,31,0.05973
4009,"990700.4.9","990700",4,9,"lelo","ლევან ლაბაძე",28,0.057971,1064,519,177,431,0.487782,0.166353,0.405075,31,0.05973
4009,"990700.4.9","990700",4,9,"unm","რომეო ფარულავა",169,0.349896,1064,519,177,431,0.487782,0.166353,0.405075,31,0.05973
4010,"990700.4.10","990700",4,10,"gd","ლევან ჯაფარიძე",308,0.497577,1363,657,190,540,0.482025,0.139398,0.396185,38,0.057839
4010,"990700.4.10","990700",4,10,"labour","მამუკა ჯუღელი",32,0.051696,1363,657,190,540,0.482025,0.139398,0.396185,38,0.057839
4010,"990700.4.10","990700",4,10,"lelo","ლევან ლაბაძე",47,0.075929,1363,657,190,540,0.482025,0.139398,0.396185,38,0.057839
4010,"990700.4.10","990700",4,10,"unm","რომეო ფარულავა",232,0.374798,1363,657,190,540,0.482025,0.139398,0.396185,38,0.057839
4011,"990700.4.11","990700",4,11,"gd","ლევან ჯაფარიძე",227,0.44685,1132,558,170,446,0.492933,0.150177,0.393993,27,0.048387
4011,"990700.4.11","990700",4,11,"labour","მამუკა ჯუღელი",12,0.023622,1132,558,170,446,0.492933,0.150177,0.393993,27,0.048387
4011,"990700.4.11","990700",4,11,"lelo","ლევან ლაბაძე",55,0.108268,1132,558,170,446,0.492933,0.150177,0.393993,27,0.048387
4011,"990700.4.11","990700",4,11,"unm","რომეო ფარულავა",214,0.42126,1132,558,170,446,0.492933,0.150177,0.393993,27,0.048387
4012,"990700.4.12","990700",4,12,"gd","ლევან ჯაფარიძე",368,0.511822,1533,781,224,619,0.509459,0.146119,0.403783,54,0.069142
