"precinct_id","selfgov_id","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
30001,30,"european_georgia","2","გიორგი ხელაშვილი",13,0.017663,1284,760,235,583,0.5919,0.183022,0.45405,24,0.031579
30001,30,"gd","41","ვახტანგ მაისურაძე",407,0.552989,1284,760,235,583,0.5919,0.183022,0.45405,24,0.031579
30001,30,"labour","10","ოთარ ქოსაშვილი",15,0.02038,1284,760,235,583,0.5919,0.183022,0.45405,24,0.031579
30001,30,"patriots","8","ილია კიტრიაშვილი",43,0.058424,1284,760,235,583,0.5919,0.183022,0.45405,24,0.031579
30001,30,"unm","5","ნუგზარი ნონიაშვილი",258,0.350543,1284,760,235,583,0.5919,0.183022,0.45405,24,0.031579
30002,30,"european_georgia","2","გიორგი ხელაშვილი",20,0.032,1428,658,265,565,0.460784,0.185574,0.395658,31,0.047112
30002,30,"gd","41","ვახტანგ მაისურაძე",311,0.4976,1428,658,265,565,0.460784,0.185574,0.395658,31,0.047112
30002,30,"labour","10","ოთარ ქოსაშვილი",26,0.0416,1428,658,265,565,0.460784,0.185574,0.395658,31,0.047112
30002,30,"patriots","8","ილია კიტრიაშვილი",22,0.0352,1428,658,265,565,0.460784,0.185574,0.395658,31,0.047112
30002,30,"unm","5","ნუგზარი ნონიაშვილი",246,0.3936,1428,658,265,565,0.460784,0.185574,0.395658,31,0.047112
30003,30,"european_georgia","2","გიორგი ხელაშვილი",16,0.021248,1427,784,255,627,0.549404,0.178697,0.439383,30,0.038265
30003,30,"gd","41","ვახტანგ მაისურაძე",404,0.536521,1427,784,255,627,0.549404,0.178697,0.439383,30,0.038265
30003,30,"labour","10","ოთარ ქოსაშვილი",30,0.039841,1427,784,255,627,0.549404,0.178697,0.439383,30,0.038265
30003,30,"patriots","8","ილია კიტრიაშვილი",58,0.077025,1427,784,255,627,0.549404,0.178697,0.439383,30,0.038265
30003,30,"unm","5","ნუგზარი ნონიაშვილი",245,0.325365,1427,784,255,627,0.549404,0.178697,0.439383,30,0.038265
30004,30,"european_georgia","2","გიორგი ხელაშვილი",17,0.025449,1170,690,252,554,0.589744,0.215385,0.473504,22,0.031884
30004,30,"gd","41","ვახტანგ მაისურაძე",410,0.613772,1170,690,252,554,0.589744,0.215385,0.473504,22,0.031884
30004,30,"labour","10","ოთარ ქოსაშვილი",21,0.031437,1170,690,252,554,0.589744,0.215385,0.473504,22,0.031884
30004,30,"patriots","8","ილია კიტრიაშვილი",47,0.070359,1170,690,252,554,0.589744,0.215385,0.473504,22,0.031884
30004,30,"unm","5","ნუგზარი ნონიაშვილი",173,0.258982,1170,690,252,554,0.589744,0.215385,0.473504,22,0.031884
30005,30,"european_georgia","2","გიორგი ხელაშვილი",12,0.016878,1559,734,262,612,0.470815,0.168056,0.392559,21,0.02861
30005,30,"gd","41","ვახტანგ მაისურაძე",311,0.437412,1559,734,262,612,0.470815,0.168056,0.392559,21,0.02861
30005,30,"labour","10","ოთარ ქოსაშვილი",19,0.026723,1559,734,262,612,0.470815,0.168056,0.392559,21,0.02861
30005,30,"patriots","8","ილია კიტრიაშვილი",26,0.036568,1559,734,262,612,0.470815,0.168056,0.392559,21,0.02861
30005,30,"unm","5","ნუგზარი ნონიაშვილი",343,0.482419,1559,734,262,612,0.470815,0.168056,0.392559,21,0.02861
30006,30,"european_georgia","2","გიორგი ხელაშვილი",4,0.009975,823,423,115,300,0.513973,0.139733,0.36452,22,0.052009
30006,30,"gd","41","ვახტანგ მაისურაძე",183,0.456359,823,423,115,300,0.513973,0.139733,0.36452,22,0.052009
30006,30,"labour","10","ოთარ ქოსაშვილი",3,0.007481,823,423,115,300,0.513973,0.139733,0.36452,22,0.052009
30006,30,"patriots","8","ილია კიტრიაშვილი",8,0.01995,823,423,115,300,0.513973,0.139733,0.36452,22,0.052009
30006,30,"unm","5","ნუგზარი ნონიაშვილი",203,0.506234,823,423,115,300,0.513973,0.139733,0.36452,22,0.052009
30007,30,"european_georgia","2","გიორგი ხელაშვილი",9,0.011858,1254,792,236,606,0.631579,0.188198,0.483254,28,0.035354
30007,30,"gd","41","ვახტანგ მაისურაძე",321,0.422925,1254,792,236,606,0.631579,0.188198,0.483254,28,0.035354
30007,30,"labour","10","ოთარ ქოსაშვილი",10,0.013175,1254,792,236,606,0.631579,0.188198,0.483254,28,0.035354
30007,30,"patriots","8","ილია კიტრიაშვილი",41,0.054018,1254,792,236,606,0.631579,0.188198,0.483254,28,0.035354
30007,30,"unm","5","ნუგზარი ნონიაშვილი",378,0.498024,1254,792,236,606,0.631579,0.188198,0.483254,28,0.035354
30008,30,"european_georgia","2","გიორგი ხელაშვილი",4,0.005882,1572,712,206,567,0.452926,0.131043,0.360687,29,0.04073
30008,30,"gd","41","ვახტანგ მაისურაძე",368,0.541176,1572,712,206,567,0.452926,0.131043,0.360687,29,0.04073
30008,30,"labour","10","ოთარ ქოსაშვილი",4,0.005882,1572,712,206,567,0.452926,0.131043,0.360687,29,0.04073
30008,30,"patriots","8","ილია კიტრიაშვილი",9,0.013235,1572,712,206,567,0.452926,0.131043,0.360687,29,0.04073
30008,30,"unm","5","ნუგზარი ნონიაშვილი",295,0.433824,1572,712,206,567,0.452926,0.131043,0.360687,29,0.04073
30009,30,"european_georgia","2","გიორგი ხელაშვილი",22,0.028497,1339,799,197,556,0.596714,0.147125,0.415235,27,0.033792
30009,30,"gd","41","ვახტანგ მაისურაძე",430,0.556995,1339,799,197,556,0.596714,0.147125,0.415235,27,0.033792
30009,30,"labour","10","ოთარ ქოსაშვილი",19,0.024611,1339,799,197,556,0.596714,0.147125,0.415235,27,0.033792
30009,30,"patriots","8","ილია კიტრიაშვილი",44,0.056995,1339,799,197,556,0.596714,0.147125,0.415235,27,0.033792
30009,30,"unm","5","ნუგზარი ნონიაშვილი",257,0.332902,1339,799,197,556,0.596714,0.147125,0.415235,27,0.033792
30010,30,"european_georgia","2","გიორგი ხელაშვილი",19,0.041394,882,476,158,371,0.539683,0.179138,0.420635,17,0.035714
30010,30,"gd","41","ვახტანგ მაისურაძე",265,0.577342,882,476,158,371,0.539683,0.179138,0.420635,17,0.035714
30010,30,"labour","10","ოთარ ქოსაშვილი",6,0.013072,882,476,158,371,0.539683,0.179138,0.420635,17,0.035714
30010,30,"patriots","8","ილია კიტრიაშვილი",30,0.065359,882,476,158,371,0.539683,0.179138,0.420635,17,0.035714
30010,30,"unm","5","ნუგზარი ნონიაშვილი",139,0.302832,882,476,158,371,0.539683,0.179138,0.420635,17,0.035714
30011,30,"european_georgia","2","გიორგი ხელაშვილი",22,0.046025,796,508,173,437,0.638191,0.217337,0.548995,30,0.059055
30011,30,"gd","41","ვახტანგ მაისურაძე",242,0.506276,796,508,173,437,0.638191,0.217337,0.548995,30,0.059055
30011,30,"labour","10","ოთარ ქოსაშვილი",11,0.023013,796,508,173,437,0.638191,0.217337,0.548995,30,0.059055
30011,30,"patriots","8","ილია კიტრიაშვილი",51,0.106695,796,508,173,437,0.638191,0.217337,0.548995,30,0.059055
30011,30,"unm","5","ნუგზარი ნონიაშვილი",152,0.317992,796,508,173,437,0.638191,0.217337,0.548995,30,0.059055
30012,30,"european_georgia","2","გიორგი ხელაშვილი",21,0.032967,1026,651,209,494,0.634503,0.203704,0.481481,14,0.021505
30012,30,"gd","41","ვახტანგ მაისურაძე",338,0.530612,1026,651,209,494,0.634503,0.203704,0.481481,14,0.021505
30012,30,"labour","10","ოთარ ქოსაშვილი",140,0.21978,1026,651,209,494,0.634503,0.203704,0.481481,14,0.021505
30012,30,"patriots","8","ილია კიტრიაშვილი",18,0.028257,1026,651,209,494,0.634503,0.203704,0.481481,14,0.021505
30012,30,"unm","5","ნუგზარი ნონიაშვილი",120,0.188383,1026,651,209,494,0.634503,0.203704,0.481481,14,0.021505
30013,30,"european_georgia","2","გიორგი ხელაშვილი",20,0.027473,1228,766,253,571,0.623779,0.206026,0.464984,37,0.048303
30013,30,"gd","41","ვახტანგ მაისურაძე",390,0.535714,1228,766,253,571,0.623779,0.206026,0.464984,37,0.048303
30013,30,"labour","10","ოთარ ქოსაშვილი",8,0.010989,1228,766,253,571,0.623779,0.206026,0.464984,37,0.048303
30013,30,"patriots","8","ილია კიტრიაშვილი",34,0.046703,1228,766,253,571,0.623779,0.206026,0.464984,37,0.048303
30013,30,"unm","5","ნუგზარი ნონიაშვილი",276,0.379121,1228,766,253,571,0.623779,0.206026,0.464984,37,0.048303
30014,30,"european_georgia","2","გიორგი ხელაშვილი",3,0.029703,159,105,32,88,0.660377,0.201258,0.553459,2,0.019048
30014,30,"gd","41","ვახტანგ მაისურაძე",58,0.574257,159,105,32,88,0.660377,0.201258,0.553459,2,0.019048
30014,30,"labour","10","ოთარ ქოსაშვილი",1,0.009901,159,105,32,88,0.660377,0.201258,0.553459,2,0.019048
30014,30,"patriots","8","ილია კიტრიაშვილი",14,0.138614,159,105,32,88,0.660377,0.201258,0.553459,2,0.019048
30014,30,"unm","5","ნუგზარი ნონიაშვილი",25,0.247525,159,105,32,88,0.660377,0.201258,0.553459,2,0.019048
30015,30,"european_georgia","2","გიორგი ხელაშვილი",34,0.038074,1517,964,296,761,0.635465,0.195122,0.501648,71,0.073651
30015,30,"gd","41","ვახტანგ მაისურაძე",551,0.617021,1517,964,296,761,0.635465,0.195122,0.501648,71,0.073651
30015,30,"labour","10","ოთარ ქოსაშვილი",21,0.023516,1517,964,296,761,0.635465,0.195122,0.501648,71,0.073651
30015,30,"patriots","8","ილია კიტრიაშვილი",39,0.043673,1517,964,296,761,0.635465,0.195122,0.501648,71,0.073651
30015,30,"unm","5","ნუგზარი ნონიაშვილი",248,0.277716,1517,964,296,761,0.635465,0.195122,0.501648,71,0.073651
30016,30,"european_georgia","2","გიორგი ხელაშვილი",13,0.016477,1273,822,258,668,0.645719,0.202671,0.524745,31,0.037713
30016,30,"gd","41","ვახტანგ მაისურაძე",601,0.761724,1273,822,258,668,0.645719,0.202671,0.524745,31,0.037713
30016,30,"labour","10","ოთარ ქოსაშვილი",6,0.007605,1273,822,258,668,0.645719,0.202671,0.524745,31,0.037713
30016,30,"patriots","8","ილია კიტრიაშვილი",21,0.026616,1273,822,258,668,0.645719,0.202671,0.524745,31,0.037713
30016,30,"unm","5","ნუგზარი ნონიაშვილი",148,0.187579,1273,822,258,668,0.645719,0.202671,0.524745,31,0.037713
30017,30,"european_georgia","2","გიორგი ხელაშვილი",56,0.072445,1371,805,307,623,0.587163,0.223924,0.454413,32,0.039752
30017,30,"gd","41","ვახტანგ მაისურაძე",396,0.51229,1371,805,307,623,0.587163,0.223924,0.454413,32,0.039752
30017,30,"labour","10","ოთარ ქოსაშვილი",20,0.025873,1371,805,307,623,0.587163,0.223924,0.454413,32,0.039752
30017,30,"patriots","8","ილია კიტრიაშვილი",49,0.063389,1371,805,307,623,0.587163,0.223924,0.454413,32,0.039752
30017,30,"unm","5","ნუგზარი ნონიაშვილი",252,0.326003,1371,805,307,623,0.587163,0.223924,0.454413,32,0.039752
30018,30,"european_georgia","2","გიორგი ხელაშვილი",20,0.038314,910,542,190,466,0.595604,0.208791,0.512088,19,0.035055
30018,30,"gd","41","ვახტანგ მაისურაძე",279,0.534483,910,542,190,466,0.595604,0.208791,0.512088,19,0.035055
30018,30,"labour","10","ოთარ ქოსაშვილი",14,0.02682,910,542,190,466,0.595604,0.208791,0.512088,19,0.035055
30018,30,"patriots","8","ილია კიტრიაშვილი",52,0.099617,910,542,190,466,0.595604,0.208791,0.512088,19,0.035055
30018,30,"unm","5","ნუგზარი ნონიაშვილი",157,0.300766,910,542,190,466,0.595604,0.208791,0.512088,19,0.035055
30019,30,"european_georgia","2","გიორგი ხელაშვილი",5,0.02451,380,220,75,194,0.578947,0.197368,0.510526,13,0.059091
30019,30,"gd","41","ვახტანგ მაისურაძე",132,0.647059,380,220,75,194,0.578947,0.197368,0.510526,13,0.059091
30019,30,"labour","10","ოთარ ქოსაშვილი",2,0.009804,380,220,75,194,0.578947,0.197368,0.510526,13,0.059091
30019,30,"patriots","8","ილია კიტრიაშვილი",16,0.078431,380,220,75,194,0.578947,0.197368,0.510526,13,0.059091
30019,30,"unm","5","ნუგზარი ნონიაშვილი",49,0.240196,380,220,75,194,0.578947,0.197368,0.510526,13,0.059091
30020,30,"european_georgia","2","გიორგი ხელაშვილი",9,0.02507,708,379,124,312,0.535311,0.175141,0.440678,18,0.047493
30020,30,"gd","41","ვახტანგ მაისურაძე",205,0.571031,708,379,124,312,0.535311,0.175141,0.440678,18,0.047493
30020,30,"labour","10","ოთარ ქოსაშვილი",3,0.008357,708,379,124,312,0.535311,0.175141,0.440678,18,0.047493
30020,30,"patriots","8","ილია კიტრიაშვილი",20,0.05571,708,379,124,312,0.535311,0.175141,0.440678,18,0.047493
30020,30,"unm","5","ნუგზარი ნონიაშვილი",122,0.339833,708,379,124,312,0.535311,0.175141,0.440678,18,0.047493
30021,30,"european_georgia","2","გიორგი ხელაშვილი",24,0.036419,1300,684,199,552,0.526154,0.153077,0.424615,24,0.035088
30021,30,"gd","41","ვახტანგ მაისურაძე",442,0.670713,1300,684,199,552,0.526154,0.153077,0.424615,24,0.035088
30021,30,"labour","10","ოთარ ქოსაშვილი",17,0.025797,1300,684,199,552,0.526154,0.153077,0.424615,24,0.035088
30021,30,"patriots","8","ილია კიტრიაშვილი",46,0.069803,1300,684,199,552,0.526154,0.153077,0.424615,24,0.035088
30021,30,"unm","5","ნუგზარი ნონიაშვილი",130,0.197269,1300,684,199,552,0.526154,0.153077,0.424615,24,0.035088
30022,30,"european_georgia","2","გიორგი ხელაშვილი",28,0.043546,1223,673,233,543,0.550286,0.190515,0.44399,29,0.043091
30022,30,"gd","41","ვახტანგ მაისურაძე",400,0.622084,1223,673,233,543,0.550286,0.190515,0.44399,29,0.043091
30022,30,"labour","10","ოთარ ქოსაშვილი",31,0.048212,1223,673,233,543,0.550286,0.190515,0.44399,29,0.043091
30022,30,"patriots","8","ილია კიტრიაშვილი",38,0.059098,1223,673,233,543,0.550286,0.190515,0.44399,29,0.043091
30022,30,"unm","5","ნუგზარი ნონიაშვილი",146,0.227061,1223,673,233,543,0.550286,0.190515,0.44399,29,0.043091
30023,30,"european_georgia","2","გიორგი ხელაშვილი",22,0.07309,541,312,135,278,0.57671,0.249538,0.513863,8,0.025641
30023,30,"gd","41","ვახტანგ მაისურაძე",188,0.624585,541,312,135,278,0.57671,0.249538,0.513863,8,0.025641
30023,30,"labour","10","ოთარ ქოსაშვილი",9,0.0299,541,312,135,278,0.57671,0.249538,0.513863,8,0.025641
30023,30,"patriots","8","ილია კიტრიაშვილი",3,0.009967,541,312,135,278,0.57671,0.249538,0.513863,8,0.025641
30023,30,"unm","5","ნუგზარი ნონიაშვილი",79,0.262458,541,312,135,278,0.57671,0.249538,0.513863,8,0.025641
30024,30,"european_georgia","2","გიორგი ხელაშვილი",25,0.035714,1248,734,322,656,0.588141,0.258013,0.525641,33,0.044959
30024,30,"gd","41","ვახტანგ მაისურაძე",365,0.521429,1248,734,322,656,0.588141,0.258013,0.525641,33,0.044959
30024,30,"labour","10","ოთარ ქოსაშვილი",16,0.022857,1248,734,322,656,0.588141,0.258013,0.525641,33,0.044959
30024,30,"patriots","8","ილია კიტრიაშვილი",44,0.062857,1248,734,322,656,0.588141,0.258013,0.525641,33,0.044959
30024,30,"unm","5","ნუგზარი ნონიაშვილი",250,0.357143,1248,734,322,656,0.588141,0.258013,0.525641,33,0.044959
30025,30,"european_georgia","2","გიორგი ხელაშვილი",13,0.036723,708,359,103,305,0.507062,0.14548,0.430791,5,0.013928
30025,30,"gd","41","ვახტანგ მაისურაძე",188,0.531073,708,359,103,305,0.507062,0.14548,0.430791,5,0.013928
30025,30,"labour","10","ოთარ ქოსაშვილი",21,0.059322,708,359,103,305,0.507062,0.14548,0.430791,5,0.013928
30025,30,"patriots","8","ილია კიტრიაშვილი",38,0.107345,708,359,103,305,0.507062,0.14548,0.430791,5,0.013928
30025,30,"unm","5","ნუგზარი ნონიაშვილი",94,0.265537,708,359,103,305,0.507062,0.14548,0.430791,5,0.013928
30026,30,"european_georgia","2","გიორგი ხელაშვილი",6,0.009917,1187,613,201,505,0.516428,0.169334,0.425442,8,0.013051
30026,30,"gd","41","ვახტანგ მაისურაძე",335,0.553719,1187,613,201,505,0.516428,0.169334,0.425442,8,0.013051
30026,30,"labour","10","ოთარ ქოსაშვილი",2,0.003306,1187,613,201,505,0.516428,0.169334,0.425442,8,0.013051
30026,30,"patriots","8","ილია კიტრიაშვილი",7,0.01157,1187,613,201,505,0.516428,0.169334,0.425442,8,0.013051
30026,30,"unm","5","ნუგზარი ნონიაშვილი",255,0.421488,1187,613,201,505,0.516428,0.169334,0.425442,8,0.013051
30027,30,"european_georgia","2","გიორგი ხელაშვილი",8,0.025078,609,331,118,281,0.543514,0.19376,0.461412,12,0.036254
30027,30,"gd","41","ვახტანგ მაისურაძე",203,0.636364,609,331,118,281,0.543514,0.19376,0.461412,12,0.036254
30027,30,"labour","10","ოთარ ქოსაშვილი",8,0.025078,609,331,118,281,0.543514,0.19376,0.461412,12,0.036254
30027,30,"patriots","8","ილია კიტრიაშვილი",21,0.065831,609,331,118,281,0.543514,0.19376,0.461412,12,0.036254
30027,30,"unm","5","ნუგზარი ნონიაშვილი",79,0.247649,609,331,118,281,0.543514,0.19376,0.461412,12,0.036254
30028,30,"european_georgia","2","გიორგი ხელაშვილი",15,0.034325,711,461,182,372,0.648383,0.255977,0.523207,22,0.047722
30028,30,"gd","41","ვახტანგ მაისურაძე",273,0.624714,711,461,182,372,0.648383,0.255977,0.523207,22,0.047722
30028,30,"labour","10","ოთარ ქოსაშვილი",9,0.020595,711,461,182,372,0.648383,0.255977,0.523207,22,0.047722
30028,30,"patriots","8","ილია კიტრიაშვილი",35,0.080092,711,461,182,372,0.648383,0.255977,0.523207,22,0.047722
30028,30,"unm","5","ნუგზარი ნონიაშვილი",105,0.240275,711,461,182,372,0.648383,0.255977,0.523207,22,0.047722
30029,30,"european_georgia","2","გიორგი ხელაშვილი",35,0.090439,739,406,127,358,0.549391,0.171854,0.484438,15,0.036946
30029,30,"gd","41","ვახტანგ მაისურაძე",229,0.591731,739,406,127,358,0.549391,0.171854,0.484438,15,0.036946
30029,30,"labour","10","ოთარ ქოსაშვილი",3,0.007752,739,406,127,358,0.549391,0.171854,0.484438,15,0.036946
30029,30,"patriots","8","ილია კიტრიაშვილი",26,0.067183,739,406,127,358,0.549391,0.171854,0.484438,15,0.036946
30029,30,"unm","5","ნუგზარი ნონიაშვილი",94,0.242894,739,406,127,358,0.549391,0.171854,0.484438,15,0.036946
30030,30,"european_georgia","2","გიორგი ხელაშვილი",16,0.036613,774,456,203,416,0.589147,0.262274,0.537468,19,0.041667
30030,30,"gd","41","ვახტანგ მაისურაძე",261,0.597254,774,456,203,416,0.589147,0.262274,0.537468,19,0.041667
30030,30,"labour","10","ოთარ ქოსაშვილი",18,0.04119,774,456,203,416,0.589147,0.262274,0.537468,19,0.041667
30030,30,"patriots","8","ილია კიტრიაშვილი",49,0.112128,774,456,203,416,0.589147,0.262274,0.537468,19,0.041667
30030,30,"unm","5","ნუგზარი ნონიაშვილი",93,0.212815,774,456,203,416,0.589147,0.262274,0.537468,19,0.041667
30031,30,"european_georgia","2","გიორგი ხელაშვილი",27,0.03317,1368,863,306,718,0.630848,0.223684,0.524854,46,0.053302
30031,30,"gd","41","ვახტანგ მაისურაძე",474,0.58231,1368,863,306,718,0.630848,0.223684,0.524854,46,0.053302
30031,30,"labour","10","ოთარ ქოსაშვილი",18,0.022113,1368,863,306,718,0.630848,0.223684,0.524854,46,0.053302
30031,30,"patriots","8","ილია კიტრიაშვილი",62,0.076167,1368,863,306,718,0.630848,0.223684,0.524854,46,0.053302
30031,30,"unm","5","ნუგზარი ნონიაშვილი",233,0.286241,1368,863,306,718,0.630848,0.223684,0.524854,46,0.053302
30032,30,"european_georgia","2","გიორგი ხელაშვილი",15,0.018473,1400,845,307,705,0.603571,0.219286,0.503571,29,0.03432
30032,30,"gd","41","ვახტანგ მაისურაძე",423,0.520936,1400,845,307,705,0.603571,0.219286,0.503571,29,0.03432
30032,30,"labour","10","ოთარ ქოსაშვილი",12,0.014778,1400,845,307,705,0.603571,0.219286,0.503571,29,0.03432
30032,30,"patriots","8","ილია კიტრიაშვილი",29,0.035714,1400,845,307,705,0.603571,0.219286,0.503571,29,0.03432
30032,30,"unm","5","ნუგზარი ნონიაშვილი",333,0.410099,1400,845,307,705,0.603571,0.219286,0.503571,29,0.03432
30033,30,"european_georgia","2","გიორგი ხელაშვილი",25,0.034388,1448,760,228,620,0.524862,0.157459,0.428177,33,0.043421
30033,30,"gd","41","ვახტანგ მაისურაძე",369,0.507565,1448,760,228,620,0.524862,0.157459,0.428177,33,0.043421
30033,30,"labour","10","ოთარ ქოსაშვილი",10,0.013755,1448,760,228,620,0.524862,0.157459,0.428177,33,0.043421
30033,30,"patriots","8","ილია კიტრიაშვილი",87,0.11967,1448,760,228,620,0.524862,0.157459,0.428177,33,0.043421
30033,30,"unm","5","ნუგზარი ნონიაშვილი",236,0.324622,1448,760,228,620,0.524862,0.157459,0.428177,33,0.043421
30034,30,"european_georgia","2","გიორგი ხელაშვილი",10,0.01506,1411,682,275,560,0.483345,0.194897,0.396882,17,0.024927
30034,30,"gd","41","ვახტანგ მაისურაძე",297,0.447289,1411,682,275,560,0.483345,0.194897,0.396882,17,0.024927
30034,30,"labour","10","ოთარ ქოსაშვილი",29,0.043675,1411,682,275,560,0.483345,0.194897,0.396882,17,0.024927
30034,30,"patriots","8","ილია კიტრიაშვილი",35,0.052711,1411,682,275,560,0.483345,0.194897,0.396882,17,0.024927
30034,30,"unm","5","ნუგზარი ნონიაშვილი",293,0.441265,1411,682,275,560,0.483345,0.194897,0.396882,17,0.024927
30035,30,"european_georgia","2","გიორგი ხელაშვილი",13,0.028953,810,464,178,391,0.57284,0.219753,0.482716,15,0.032328
30035,30,"gd","41","ვახტანგ მაისურაძე",240,0.534521,810,464,178,391,0.57284,0.219753,0.482716,15,0.032328
