"precinct_id","selfgov_id","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
59001,59,"gd","41","იოსები ხახალეიშვილი",343,0.944904,892,373,130,264,0.418161,0.14574,0.295964,10,0.02681
59001,59,"unm","5","გრიგოლი შუშანია",20,0.055096,892,373,130,264,0.418161,0.14574,0.295964,10,0.02681
59002,59,"gd","41","იოსები ხახალეიშვილი",377,0.944862,1366,417,117,289,0.305271,0.085652,0.211567,18,0.043165
59002,59,"unm","5","გრიგოლი შუშანია",22,0.055138,1366,417,117,289,0.305271,0.085652,0.211567,18,0.043165
59003,59,"gd","41","იოსები ხახალეიშვილი",260,0.899654,1337,315,103,260,0.235602,0.077038,0.194465,26,0.08254
59003,59,"unm","5","გრიგოლი შუშანია",29,0.100346,1337,315,103,260,0.235602,0.077038,0.194465,26,0.08254
59004,59,"gd","41","იოსები ხახალეიშვილი",155,0.837838,1137,202,68,169,0.177661,0.059807,0.148637,17,0.084158
59004,59,"unm","5","გრიგოლი შუშანია",30,0.162162,1137,202,68,169,0.177661,0.059807,0.148637,17,0.084158
59005,59,"gd","41","იოსები ხახალეიშვილი",227,0.930328,1342,245,85,184,0.182563,0.063338,0.137109,1,0.004082
59005,59,"unm","5","გრიგოლი შუშანია",17,0.069672,1342,245,85,184,0.182563,0.063338,0.137109,1,0.004082
59006,59,"gd","41","იოსები ხახალეიშვილი",233,0.95102,1114,252,54,157,0.226212,0.048474,0.140934,7,0.027778
59006,59,"unm","5","გრიგოლი შუშანია",12,0.04898,1114,252,54,157,0.226212,0.048474,0.140934,7,0.027778
59007,59,"gd","41","იოსები ხახალეიშვილი",251,0.940075,1198,277,77,228,0.231219,0.064274,0.190317,10,0.036101
59007,59,"unm","5","გრიგოლი შუშანია",16,0.059925,1198,277,77,228,0.231219,0.064274,0.190317,10,0.036101
