"district_id","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"29","burjanadze_democratic","3","სანდრო ყამარაული",876,0.313529,5354,2817,923,2339,5313,41,0.526149,0.172394,0.43687,22,0.00781
"29","gd","41","ალექსანდრე ზაგაშვილი",1918,0.686471,5354,2817,923,2339,5313,41,0.526149,0.172394,0.43687,22,0.00781
"35","gd","41","გიორგი გურასპაშვილი",10224,0.61306,49300,17016,5673,13325,48963,337,0.345152,0.115071,0.270284,337,0.019805
"35","initiative_group","42","რამაზ ნოზაძე",6453,0.38694,49300,17016,5673,13325,48963,337,0.345152,0.115071,0.270284,337,0.019805
"36","gd","41","ლევან ლიპარტია",7615,0.552172,26670,14035,4892,11886,26529,141,0.526247,0.183427,0.445669,243,0.017314
"36","patriots","8","ზაზა ჩაჩანიძე",6176,0.447828,26670,14035,4892,11886,26529,141,0.526247,0.183427,0.445669,243,0.017314
"59","gd","41","გიორგი ჭიღვარია",23262,0.875532,153536,27604,9358,21502,152546,990,0.179788,0.06095,0.140045,1030,0.037313
"59","unm","5","გრიგოლ ვაშაძე",3307,0.124468,153536,27604,9358,21502,152546,990,0.179788,0.06095,0.140045,1030,0.037313
"60","gd","41","ბეგლარ სიორიძე",17227,0.498856,62520,35301,13497,29575,62274,246,0.564635,0.215883,0.473049,734,0.020793
"60","initiative_group","42","კონსტანტინე შარაშენიძე",17306,0.501144,62520,35301,13497,29575,62274,246,0.564635,0.215883,0.473049,734,0.020793
"65","gd","41","ალექსანდრე გრიგალავა",11480,0.930383,32742,12629,3717,10083,32647,95,0.385713,0.113524,0.307953,283,0.022409
"65","unm","5","მამუკა დანელია",859,0.069617,32742,12629,3717,10083,32647,95,0.385713,0.113524,0.307953,283,0.022409
"national","burjanadze_democratic","","",876,0.00821,330122,109402,38060,88710,328272,1850,0.331399,0.115291,0.268719,2649,0.024213
"national","gd","","",71726,0.672202,330122,109402,38060,88710,328272,1850,0.331399,0.115291,0.268719,2649,0.024213
"national","initiative_group","","",23759,0.222665,330122,109402,38060,88710,328272,1850,0.331399,0.115291,0.268719,2649,0.024213
"national","patriots","","",6176,0.05788,330122,109402,38060,88710,328272,1850,0.331399,0.115291,0.268719,2649,0.024213
"national","unm","","",4166,0.039043,330122,109402,38060,88710,328272,1850,0.331399,0.115291,0.268719,2649,0.024213
