"precinct_id","selfgov_id","party_id","party_num","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
29001,29,"burjanadze_democratic","3","სანდრო ყამარაული",363,0.516358,1273,709,224,569,0.556952,0.175962,0.446976,6,0.008463
29001,29,"gd","41","ალექსანდრე ზაგაშვილი",340,0.483642,1273,709,224,569,0.556952,0.175962,0.446976,6,0.008463
29002,29,"burjanadze_democratic","3","სანდრო ყამარაული",55,0.216535,455,259,69,207,0.569231,0.151648,0.454945,4,0.015444
29002,29,"gd","41","ალექსანდრე ზაგაშვილი",199,0.783465,455,259,69,207,0.569231,0.151648,0.454945,4,0.015444
29003,29,"burjanadze_democratic","3","სანდრო ყამარაული",98,0.297872,593,331,98,276,0.558179,0.165261,0.46543,2,0.006042
29003,29,"gd","41","ალექსანდრე ზაგაშვილი",231,0.702128,593,331,98,276,0.558179,0.165261,0.46543,2,0.006042
29004,29,"burjanadze_democratic","3","სანდრო ყამარაული",64,0.421053,310,155,67,143,0.5,0.216129,0.46129,3,0.019355
29004,29,"gd","41","ალექსანდრე ზაგაშვილი",88,0.578947,310,155,67,143,0.5,0.216129,0.46129,3,0.019355
29005,29,"burjanadze_democratic","3","სანდრო ყამარაული",90,0.313589,580,288,89,235,0.496552,0.153448,0.405172,1,0.003472
29005,29,"gd","41","ალექსანდრე ზაგაშვილი",197,0.686411,580,288,89,235,0.496552,0.153448,0.405172,1,0.003472
29006,29,"burjanadze_democratic","3","სანდრო ყამარაული",103,0.221505,933,468,143,366,0.501608,0.153269,0.392283,3,0.00641
29006,29,"gd","41","ალექსანდრე ზაგაშვილი",362,0.778495,933,468,143,366,0.501608,0.153269,0.392283,3,0.00641
29007,29,"burjanadze_democratic","3","სანდრო ყამარაული",62,0.216028,648,288,102,263,0.444444,0.157407,0.405864,1,0.003472
29007,29,"gd","41","ალექსანდრე ზაგაშვილი",225,0.783972,648,288,102,263,0.444444,0.157407,0.405864,1,0.003472
29008,29,"burjanadze_democratic","3","სანდრო ყამარაული",10,0.091743,228,109,34,98,0.47807,0.149123,0.429825,0,0
29008,29,"gd","41","ალექსანდრე ზაგაშვილი",99,0.908257,228,109,34,98,0.47807,0.149123,0.429825,0,0
29009,29,"burjanadze_democratic","3","სანდრო ყამარაული",14,0.152174,136,94,54,87,0.691176,0.397059,0.639706,2,0.021277
29009,29,"gd","41","ალექსანდრე ზაგაშვილი",78,0.847826,136,94,54,87,0.691176,0.397059,0.639706,2,0.021277
29010,29,"burjanadze_democratic","3","სანდრო ყამარაული",17,0.146552,198,116,43,95,0.585859,0.217172,0.479798,0,0
29010,29,"gd","41","ალექსანდრე ზაგაშვილი",99,0.853448,198,116,43,95,0.585859,0.217172,0.479798,0,0
35001,35,"gd","41","გიორგი გურასპაშვილი",168,0.563758,1074,304,101,243,0.283054,0.094041,0.226257,5,0.016447
35001,35,"initiative_group","42","რამაზ ნოზაძე",130,0.436242,1074,304,101,243,0.283054,0.094041,0.226257,5,0.016447
35002,35,"gd","41","გიორგი გურასპაშვილი",312,0.755448,1281,428,153,325,0.334114,0.119438,0.253708,15,0.035047
35002,35,"initiative_group","42","რამაზ ნოზაძე",101,0.244552,1281,428,153,325,0.334114,0.119438,0.253708,15,0.035047
35003,35,"gd","41","გიორგი გურასპაშვილი",327,0.720264,1277,460,177,368,0.360219,0.138606,0.288175,7,0.015217
35003,35,"initiative_group","42","რამაზ ნოზაძე",127,0.279736,1277,460,177,368,0.360219,0.138606,0.288175,7,0.015217
35004,35,"gd","41","გიორგი გურასპაშვილი",256,0.663212,1400,410,151,329,0.292857,0.107857,0.235,24,0.058537
35004,35,"initiative_group","42","რამაზ ნოზაძე",130,0.336788,1400,410,151,329,0.292857,0.107857,0.235,24,0.058537
35005,35,"gd","41","გიორგი გურასპაშვილი",202,0.583815,1100,355,132,276,0.322727,0.12,0.250909,9,0.025352
35005,35,"initiative_group","42","რამაზ ნოზაძე",144,0.416185,1100,355,132,276,0.322727,0.12,0.250909,9,0.025352
35006,35,"gd","41","გიორგი გურასპაშვილი",264,0.597285,1344,454,124,340,0.337798,0.092262,0.252976,12,0.026432
35006,35,"initiative_group","42","რამაზ ნოზაძე",178,0.402715,1344,454,124,340,0.337798,0.092262,0.252976,12,0.026432
35007,35,"gd","41","გიორგი გურასპაშვილი",292,0.73,1058,420,147,353,0.396975,0.138941,0.333648,20,0.047619
35007,35,"initiative_group","42","რამაზ ნოზაძე",108,0.27,1058,420,147,353,0.396975,0.138941,0.333648,20,0.047619
35008,35,"gd","41","გიორგი გურასპაშვილი",147,0.617647,821,244,61,180,0.297199,0.0743,0.219245,6,0.02459
35008,35,"initiative_group","42","რამაზ ნოზაძე",91,0.382353,821,244,61,180,0.297199,0.0743,0.219245,6,0.02459
35009,35,"gd","41","გიორგი გურასპაშვილი",253,0.710674,1074,364,137,297,0.33892,0.127561,0.276536,8,0.021978
35009,35,"initiative_group","42","რამაზ ნოზაძე",103,0.289326,1074,364,137,297,0.33892,0.127561,0.276536,8,0.021978
35010,35,"gd","41","გიორგი გურასპაშვილი",184,0.567901,1060,331,112,262,0.312264,0.10566,0.24717,7,0.021148
35010,35,"initiative_group","42","რამაზ ნოზაძე",140,0.432099,1060,331,112,262,0.312264,0.10566,0.24717,7,0.021148
35011,35,"gd","41","გიორგი გურასპაშვილი",287,0.656751,1284,453,128,335,0.352804,0.099688,0.260903,16,0.03532
35011,35,"initiative_group","42","რამაზ ნოზაძე",150,0.343249,1284,453,128,335,0.352804,0.099688,0.260903,16,0.03532
35012,35,"gd","41","გიორგი გურასპაშვილი",120,0.5,1016,244,81,192,0.240157,0.079724,0.188976,4,0.016393
35012,35,"initiative_group","42","რამაზ ნოზაძე",120,0.5,1016,244,81,192,0.240157,0.079724,0.188976,4,0.016393
