"selfgov_id","party_id","seats_pr","seats_smd","seats_mayor"
"national","burchuladze",1,0,0
"national","burjanadze_democratic",10,1,0
"national","european_georgia",105,11,0
"national","free_democrats",8,4,0
"national","freedom_gamsakhurdia",1,0,0
"national","gd",585,1011,61
"national","georgia_2016",1,0,0
"national","independent",0,20,0
"national","initiative_group",0,0,1
"national","labour",17,0,0
"national","mechiauri",5,2,1
"national","national_democrats",1,0,0
"national","patriots",77,14,0
"national","traditionalists",1,0,0
"national","unm",157,25,0
"national","vashadze_2017",1,0,0
"1","european_georgia",3,0,0
"1","gd",15,25,1
"1","patriots",2,0,0
"1","unm",5,0,0
"11","european_georgia",2,0,0
"11","gd",10,22,1
"11","patriots",1,0,0
"11","unm",2,0,0
"12","european_georgia",4,2,0
"12","gd",18,36,0
"12","patriots",2,0,0
"12","unm",6,0,0
"14","european_georgia",2,0,0
"14","gd",10,11,1
"14","patriots",1,1,0
"14","unm",2,1,0
"15","european_georgia",2,0,0
"15","gd",9,12,1
"15","patriots",1,0,0
"15","unm",3,0,0
"16","european_georgia",1,0,0
"16","gd",9,11,1
"16","labour",1,0,0
"16","patriots",1,0,0
"16","unm",3,1,0
"17","european_georgia",1,1,0
"17","gd",9,18,0
"17","patriots",1,0,0
"17","unm",4,1,0
"18","european_georgia",2,0,0
"18","gd",8,14,2
"18","labour",1,0,0
"18","patriots",1,0,0
"18","unm",3,1,0
"19","gd",8,10,0
"19","mechiauri",5,2,1
"19","patriots",1,0,0
"19","unm",1,0,0
"20","european_georgia",2,0,0
"20","gd",8,10,1
"20","labour",1,0,0
"20","patriots",1,0,0
"20","unm",3,0,0
"21","european_georgia",1,0,0
"21","gd",11,21,1
"21","patriots",1,0,0
"21","unm",2,0,0
"22","european_georgia",3,0,0
"22","gd",11,20,1
"22","unm",1,0,0
"23","gd",13,15,1
"23","unm",2,0,0
"24","free_democrats",2,1,0
"24","gd",12,15,1
"24","unm",1,0,0
"25","european_georgia",1,0,0
"25","gd",10,28,1
"25","patriots",1,0,0
"25","unm",2,0,0
"25","vashadze_2017",1,0,0
"26","burjanadze_democratic",1,0,0
"26","gd",9,20,1
"26","labour",1,0,0
"26","patriots",1,0,0
"26","unm",3,0,0
"27","european_georgia",1,0,0
"27","gd",9,14,1
"27","labour",1,0,0
"27","patriots",2,0,0
"27","unm",2,0,0
"28","european_georgia",1,0,0
"28","gd",8,16,1
"28","labour",2,0,0
"28","patriots",3,1,0
"28","unm",1,1,0
"29","burjanadze_democratic",1,0,0
"29","european_georgia",1,0,0
"29","gd",7,5,1
"29","georgia_2016",1,0,0
"29","labour",1,0,0
"29","national_democrats",1,0,0
"29","patriots",2,1,0
"29","traditionalists",1,0,0
"30","european_georgia",1,0,0
"30","gd",9,19,1
"30","labour",1,0,0
"30","patriots",2,0,0
"30","unm",2,0,0
"32","european_georgia",2,0,0
"32","free_democrats",1,0,0
"32","gd",8,24,1
"32","patriots",1,0,0
"32","unm",3,0,0
"33","european_georgia",1,0,0
"33","gd",9,16,1
"33","labour",1,0,0
"33","patriots",1,0,0
"33","unm",3,1,0
"35","european_georgia",2,0,0
"35","gd",7,14,1
"35","labour",1,0,0
"35","patriots",2,0,0
"35","unm",3,0,0
"36","european_georgia",1,0,0
"36","gd",6,7,1
"36","labour",1,0,0
"36","patriots",5,6,0
"36","unm",2,0,0
"37","european_georgia",3,0,0
"37","gd",10,18,1
"37","unm",2,0,0
"38","european_georgia",3,2,0
"38","gd",10,13,1
"38","patriots",1,0,0
"38","unm",1,0,0
"39","european_georgia",2,0,0
"39","gd",10,12,1
"39","patriots",2,0,0
"39","unm",1,0,0
"40","burjanadze_democratic",1,0,0
"40","european_georgia",1,0,0
"40","gd",9,22,1
"40","patriots",4,1,0
"41","european_georgia",1,0,0
"41","gd",13,11,1
"41","patriots",1,0,0
"43","european_georgia",1,0,0
"43","free_democrats",1,0,0
"43","gd",9,18,1
"43","patriots",2,0,0
"43","unm",2,0,0
"44","burjanadze_democratic",1,0,0
"44","european_georgia",1,0,0
"44","gd",9,19,1
"44","labour",1,0,0
"44","patriots",1,0,0
"44","unm",2,0,0
"45","burjanadze_democratic",1,0,0
"45","european_georgia",3,0,0
"45","gd",8,16,1
"45","labour",1,0,0
"45","patriots",1,0,0
"45","unm",1,0,0
"46","burjanadze_democratic",1,0,0
"46","european_georgia",1,0,0
"46","gd",9,7,1
"46","patriots",2,0,0
"46","unm",2,0,0
"47","european_georgia",2,0,0
"47","gd",10,13,1
"47","patriots",2,1,0
"47","unm",1,0,0
"48","european_georgia",2,0,0
"48","free_democrats",1,1,0
"48","gd",9,19,1
"48","patriots",1,0,0
"48","unm",2,0,0
"49","european_georgia",4,0,0
"49","gd",9,20,1
"49","patriots",1,0,0
"49","unm",1,0,0
"50","european_georgia",1,0,0
"50","gd",12,14,1
"50","patriots",1,0,0
"50","unm",1,0,0
"51","european_georgia",2,0,0
"51","gd",8,21,1
"51","patriots",2,0,0
"51","unm",3,0,0
"52","european_georgia",2,0,0
"52","gd",9,14,1
"52","patriots",1,0,0
"52","unm",3,0,0
"53","european_georgia",3,0,0
"53","gd",10,20,1
"53","unm",2,0,0
"54","european_georgia",2,0,0
"54","gd",8,18,1
"54","patriots",1,0,0
"54","unm",4,0,0
"55","european_georgia",5,3,0
"55","gd",9,9,1
"55","unm",1,0,0
"56","european_georgia",1,0,0
"56","gd",10,18,1
"56","patriots",1,0,0
"56","unm",3,0,0
"57","burjanadze_democratic",1,0,0
"57","european_georgia",2,0,0
"57","gd",8,11,1
"57","patriots",1,0,0
"57","unm",3,1,0
"58","european_georgia",2,0,0
"58","gd",8,19,1
"58","unm",5,0,0
"59","european_georgia",2,0,0
"59","gd",9,10,1
"59","unm",4,0,0
"60","european_georgia",1,0,0
"60","gd",9,27,0
"60","labour",1,0,0
"60","patriots",2,0,0
"60","unm",2,2,0
"61","european_georgia",2,0,0
"61","gd",10,17,1
"61","patriots",1,0,0
"61","unm",2,0,0
"62","european_georgia",2,0,0
"62","free_democrats",1,0,0
"62","gd",9,21,1
"62","patriots",2,0,0
"62","unm",1,0,0
"63","burchuladze",1,0,0
"63","burjanadze_democratic",1,0,0
"63","european_georgia",1,0,0
"63","gd",8,13,1
"63","patriots",1,0,0
"63","unm",3,3,0
"64","european_georgia",2,0,0
"64","gd",8,18,1
"64","patriots",1,0,0
"64","unm",4,0,0
"65","european_georgia",2,2,0
"65","freedom_gamsakhurdia",1,0,0
"65","gd",6,13,1
"65","patriots",1,2,0
"65","unm",5,5,0
"66","european_georgia",2,0,0
"66","gd",9,20,1
"66","labour",1,0,0
"66","unm",3,0,0
"67","european_georgia",2,0,0
"67","gd",9,34,1
"67","unm",4,1,0
"68","european_georgia",2,0,0
"68","gd",9,15,1
"68","patriots",1,0,0
"68","unm",3,0,0
"69","european_georgia",1,0,0
"69","free_democrats",1,1,0
"69","gd",8,12,1
"69","patriots",1,0,0
"69","unm",4,0,0
"70","burjanadze_democratic",1,0,0
"70","european_georgia",1,0,0
"70","free_democrats",1,0,0
"70","gd",8,10,1
"70","labour",1,0,0
"70","patriots",1,0,0
"70","unm",2,0,0
"79","european_georgia",1,0,0
"79","gd",9,10,1
"79","patriots",1,0,0
"79","unm",4,0,0
"80","european_georgia",1,0,0
"80","gd",9,9,1
"80","patriots",2,0,0
"80","unm",3,0,0
"81","european_georgia",1,0,0
"81","gd",9,20,1
"81","patriots",1,0,0
"81","unm",4,2,0
"82","european_georgia",1,0,0
"82","gd",10,9,1
"82","patriots",1,0,0
"82","unm",3,0,0
"83","european_georgia",1,0,0
"83","gd",8,9,1
"83","patriots",2,0,0
"83","unm",4,2,0
"84","burjanadze_democratic",1,0,0
"84","european_georgia",2,1,0
"84","gd",8,9,1
"84","patriots",1,0,0
"84","unm",3,3,0
"15","independent",0,4,0
"18","independent",0,1,0
"25","independent",0,2,0
"28","independent",0,1,0
"32","independent",0,1,0
"33","burjanadze_democratic",0,1,0
"35","independent",0,2,0
"46","independent",0,1,0
"47","independent",0,2,0
"55","independent",0,1,0
"60","independent",0,2,0
"62","independent",0,2,0
"63","independent",0,1,0
"66","free_democrats",0,1,0
"66","patriots",0,1,0
"13","gd",0,0,1
"60","initiative_group",0,0,1
