"district_id","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"national","early_elections_coalition","",474,0.003335,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","european_socialists","",678,0.00477,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","free_georgia","",178,0.001252,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","gakharia","",11954,0.084102,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","gd","",76813,0.540415,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","girchi_more_freedom","",29869,0.210142,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","lelo","",116,0.000816,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","mechiauri_united","",789,0.005551,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"national","unm","",21266,0.149616,285457,151155,50314,120078,283363,2094,0.529519,0.176258,0.420652,7245,0.047931
"103","gd","ავთანდილ ცინცაძე",37292,0.555263,135815,71073,23015,56658,134534,1281,0.523307,0.169458,0.41717,3551,0.049963
"103","girchi_more_freedom","ბორისი ყურუა",29869,0.444737,135815,71073,23015,56658,134534,1281,0.523307,0.169458,0.41717,3551,0.049963
"1609","gakharia","რატი ტურაშვილი",404,0.450893,1589,909,276,659,1587,2,0.572058,0.173694,0.414726,13,0.014301
"1609","gd","მამუკა ბერიაშვილი",492,0.549107,1589,909,276,659,1587,2,0.572058,0.173694,0.414726,13,0.014301
"1803","gd","ელდარ ბაღაკაშვილი",679,0.615036,2279,1169,421,922,2270,9,0.512944,0.18473,0.404563,65,0.055603
"1803","unm","მალხაზ მაჩალიკაშვილი",425,0.384964,2279,1169,421,922,2270,9,0.512944,0.18473,0.404563,65,0.055603
"1901","gd","ზვიად ზვიადაური",803,0.504397,3235,1649,525,1372,3208,27,0.509737,0.162287,0.424111,47,0.028502
"1901","mechiauri_united","ნანა ცალუღელაშვილი",789,0.495603,3235,1649,525,1372,3208,27,0.509737,0.162287,0.424111,47,0.028502
"2006","gakharia","ერეკლე დოლიძე",3882,0.46625,20093,9751,3749,8032,19946,147,0.485293,0.186582,0.399741,1372,0.140704
"2006","gd","გრიგოლ ვეფხვაძე",4444,0.53375,20093,9751,3749,8032,19946,147,0.485293,0.186582,0.399741,1372,0.140704
"2801","gd","გიორგი ინაშვილი",890,0.783451,5964,1212,383,945,5940,24,0.203219,0.064219,0.158451,76,0.062706
"2801","unm","იოსებ ბუჩაშვილი",246,0.216549,5964,1212,383,945,5940,24,0.203219,0.064219,0.158451,76,0.062706
"3005","gd","ბადრი ჯანიაშვილი",817,0.620349,2999,1358,392,1048,2985,14,0.452818,0.13071,0.34945,41,0.030191
"3005","unm","ვალერი ბაკიძე",500,0.379651,2999,1358,392,1048,2985,14,0.452818,0.13071,0.34945,41,0.030191
"3301","gd","ყარამან როინაშვილი",1510,0.547101,6089,2870,917,2241,6050,39,0.471342,0.150599,0.368041,101,0.035192
"3301","unm","თემურ ხოსრუაშვილი",1250,0.452899,6089,2870,917,2241,6050,39,0.471342,0.150599,0.368041,101,0.035192
"3303","gd","გიორგი გრიგალაშვილი",966,0.478218,4916,2088,730,1720,4857,59,0.424736,0.148495,0.349878,62,0.029693
"3303","unm","მურთაზ ცისკაძე",1054,0.521782,4916,2088,730,1720,4857,59,0.424736,0.148495,0.349878,62,0.029693
"3507","gd","დავით მეტრეველი",1235,0.62248,4011,2056,692,1634,3996,15,0.51259,0.172526,0.40738,61,0.029669
"3507","unm","თემურ ვარდოშვილი",749,0.37752,4011,2056,692,1634,3996,15,0.51259,0.172526,0.40738,61,0.029669
"4304","gakharia","თამაზ მეტრეველი",150,0.434783,636,352,158,324,635,1,0.553459,0.248428,0.509434,7,0.019886
"4304","gd","მადლენა მეტრეველი",195,0.565217,636,352,158,324,635,1,0.553459,0.248428,0.509434,7,0.019886
"4307","gd","მამუკა ყავლაშვილი",174,0.6,472,300,114,280,469,3,0.635593,0.241525,0.59322,10,0.033333
"4307","lelo","თეიმურაზ დევიძე",116,0.4,472,300,114,280,469,3,0.635593,0.241525,0.59322,10,0.033333
"4605","free_georgia","გიორგი შავრეშიანი",178,0.542683,655,333,138,255,653,2,0.508397,0.210687,0.389313,5,0.015015
"4605","gd","ბერდია ზურაბიანი",150,0.457317,655,333,138,255,653,2,0.508397,0.210687,0.389313,5,0.015015
"5408","gd","პაატა კოხრეიძე",747,0.568926,2772,1354,447,1008,2768,4,0.488456,0.161255,0.363636,41,0.030281
"5408","unm","ალექსანდრე კოხრეიძე",566,0.431074,2772,1354,447,1008,2768,4,0.488456,0.161255,0.363636,41,0.030281
"5612","early_elections_coalition","რემი ბიწაძე",474,0.425494,1840,1125,413,988,1838,2,0.611413,0.224457,0.536957,11,0.009778
"5612","gd","ვახტანგ ცუცქირიძე",640,0.574506,1840,1125,413,988,1838,2,0.611413,0.224457,0.536957,11,0.009778
"5811","gd","რევაზი დიდავა",636,0.589435,2200,1106,316,799,2198,2,0.502727,0.143636,0.363182,27,0.024412
"5811","unm","ლადო ყაველაშვილი",443,0.410565,2200,1106,316,799,2198,2,0.502727,0.143636,0.363182,27,0.024412
"6001","gakharia","გიორგი სირაძე",1404,0.544608,4793,2743,997,2281,4748,45,0.572293,0.208012,0.475902,148,0.053956
"6001","gd","ლელა საჯაია",1174,0.455392,4793,2743,997,2281,4748,45,0.572293,0.208012,0.475902,148,0.053956
"6006","gd","გიორგი ჩაგანავა",1165,0.454723,4536,2622,961,2040,4517,19,0.578042,0.211861,0.449735,60,0.022883
"6006","unm","რაინდი დუმბაძე",1397,0.545277,4536,2622,961,2040,4517,19,0.578042,0.211861,0.449735,60,0.022883
"6011","gd","ნინო მახარაძე",1376,1,4390,2654,909,2044,4369,21,0.604556,0.207062,0.465604,86,0.032404
"6012","gd","ტიტე მგელაძე",1094,0.571279,3267,1972,636,1460,3259,8,0.603612,0.194674,0.446893,53,0.026876
"6012","unm","შალვა თავდიშვილი",821,0.428721,3267,1972,636,1460,3259,8,0.603612,0.194674,0.446893,53,0.026876
"6210","gakharia","მამუკა ჯინჭარაძე",436,0.482835,1338,926,301,745,1335,3,0.692078,0.224963,0.556801,22,0.023758
"6210","gd","ზვიადი მამალაძე",467,0.517165,1338,926,301,745,1335,3,0.692078,0.224963,0.556801,22,0.023758
"6403","gd","გიგა წურწუმია",1806,0.530552,7078,3579,1393,3009,7034,44,0.505651,0.196807,0.42512,148,0.041352
"6403","unm","ლაშა კუჭავა",1598,0.469448,7078,3579,1393,3009,7034,44,0.505651,0.196807,0.42512,148,0.041352
"6408","gd","შაქრო კოკაია",664,0.539399,1972,1263,434,1021,1958,14,0.640467,0.220081,0.517748,22,0.017419
"6408","unm","მამუკა აბშილავა",567,0.460601,1972,1263,434,1021,1958,14,0.640467,0.220081,0.517748,22,0.017419
"6503","gd","გიორგი გაბუნია",479,0.492798,1568,993,269,745,1558,10,0.633291,0.171556,0.475128,21,0.021148
"6503","unm","კობა ასაბაშვილი",493,0.507202,1568,993,269,745,1558,10,0.633291,0.171556,0.475128,21,0.021148
"6508","gakharia","ზურაბ ბიგვავა",772,0.49903,2621,1624,486,1221,2613,8,0.619611,0.185425,0.465853,74,0.045567
"6508","gd","მინდია გაბისონია",775,0.50097,2621,1624,486,1221,2613,8,0.619611,0.185425,0.465853,74,0.045567
"6509","european_socialists","გიორგი ჯიჯელავა",678,0.504464,2539,1407,431,1036,2526,13,0.554155,0.169752,0.408035,62,0.044065
"6509","gd","გოგი ბასილაია",666,0.495536,2539,1407,431,1036,2526,13,0.554155,0.169752,0.408035,62,0.044065
"6704","gd","ირაკლი ჯანაშია",1753,0.521726,7002,3468,1205,2724,6965,37,0.495287,0.172094,0.389032,94,0.027105
"6704","unm","ზვიად ჯღარკავა",1607,0.478274,7002,3468,1205,2724,6965,37,0.495287,0.172094,0.389032,94,0.027105
"6801","gakharia","გელა აბულაძე",1879,0.534566,6832,3768,1222,3041,6781,51,0.551522,0.178864,0.445111,243,0.06449
"6801","gd","ვალერიანე კვარაცხელია",1636,0.465434,6832,3768,1222,3041,6781,51,0.551522,0.178864,0.445111,243,0.06449
"6804","gd","ლირა ღურწკაია",713,0.496173,2501,1487,473,1139,2489,12,0.594562,0.189124,0.455418,49,0.032952
"6804","unm","მამუკა მიქავა",724,0.503827,2501,1487,473,1139,2489,12,0.594562,0.189124,0.455418,49,0.032952
"6805","gd","ნანა კეკუა",772,0.534626,2357,1482,495,1169,2349,8,0.628765,0.210013,0.495969,33,0.022267
"6805","unm","ბელა კვირკვია",672,0.465374,2357,1482,495,1169,2349,8,0.628765,0.210013,0.495969,33,0.022267
"6806","gd","ვლადიმერი კვარაცხელია",652,0.498852,2081,1351,404,1045,2074,7,0.649207,0.194137,0.502162,39,0.028868
"6806","unm","რომან კვარაცხელია",655,0.501148,2081,1351,404,1045,2074,7,0.649207,0.194137,0.502162,39,0.028868
"6809","gd","ბაკურ სონგულია",399,0.49875,1246,817,230,574,1245,1,0.655698,0.184591,0.460674,16,0.019584
"6809","unm","დათო მესხია",401,0.50125,1246,817,230,574,1245,1,0.655698,0.184591,0.460674,16,0.019584
"6901","gd","ჯანო პერტაია",1009,0.523612,3688,2030,698,1652,3663,25,0.550434,0.189262,0.447939,96,0.047291
"6901","unm","რამაზი გულუა",918,0.476388,3688,2030,698,1652,3663,25,0.550434,0.189262,0.447939,96,0.047291
"6902","gd","მამუკა ფიჩხაია",793,0.486802,3071,1662,515,1373,3050,21,0.541192,0.167698,0.447086,33,0.019856
"6902","unm","ვარლამ სიჭინავა",836,0.513198,3071,1662,515,1373,3050,21,0.541192,0.167698,0.447086,33,0.019856
"6905","gakharia","შოთა წურწუმია",928,0.569675,2697,1705,562,1312,2695,2,0.632184,0.20838,0.486466,75,0.043988
"6905","gd","დათო კვირტია",701,0.430325,2697,1705,562,1312,2695,2,0.632184,0.20838,0.486466,75,0.043988
"6906","gakharia","ტარიელ შენგელია",861,0.560547,2597,1606,552,1245,2588,9,0.618406,0.212553,0.479399,68,0.042341
"6906","gd","ნუგზარ ჯალაღონია",675,0.439453,2597,1606,552,1245,2588,9,0.618406,0.212553,0.479399,68,0.042341
"6907","gakharia","აჩიკო ცირამუა",896,0.504789,2820,1867,651,1474,2818,2,0.662057,0.230851,0.522695,90,0.048206
"6907","gd","გოგა თოლორდავა",879,0.495211,2820,1867,651,1474,2818,2,0.662057,0.230851,0.522695,90,0.048206
