"precinct_id","district_id","party_id","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
3001,103,"gd",445,0.523529,1557,887,282,703,0.569685,0.181118,0.451509,32,0.036077
3001,103,"girchi_more_freedom",405,0.476471,1557,887,282,703,0.569685,0.181118,0.451509,32,0.036077
3002,103,"gd",466,0.55675,1510,889,266,740,0.588742,0.176159,0.490066,46,0.051744
3002,103,"girchi_more_freedom",371,0.44325,1510,889,266,740,0.588742,0.176159,0.490066,46,0.051744
3003,103,"gd",385,0.56701,1292,709,227,560,0.548762,0.175697,0.433437,30,0.042313
3003,103,"girchi_more_freedom",294,0.43299,1292,709,227,560,0.548762,0.175697,0.433437,30,0.042313
3004,103,"gd",365,0.580286,1448,667,229,544,0.460635,0.158149,0.375691,36,0.053973
3004,103,"girchi_more_freedom",264,0.419714,1448,667,229,544,0.460635,0.158149,0.375691,36,0.053973
3005,103,"gd",495,0.61875,1524,841,260,683,0.551837,0.170604,0.448163,35,0.041617
3005,103,"girchi_more_freedom",305,0.38125,1524,841,260,683,0.551837,0.170604,0.448163,35,0.041617
3006,103,"gd",366,0.557078,1265,690,198,557,0.545455,0.156522,0.440316,30,0.043478
3006,103,"girchi_more_freedom",291,0.442922,1265,690,198,557,0.545455,0.156522,0.440316,30,0.043478
3007,103,"gd",348,0.511013,1342,718,243,570,0.535022,0.181073,0.424739,32,0.044568
3007,103,"girchi_more_freedom",333,0.488987,1342,718,243,570,0.535022,0.181073,0.424739,32,0.044568
3008,103,"gd",413,0.586648,1497,746,263,598,0.49833,0.175685,0.399466,38,0.050938
3008,103,"girchi_more_freedom",291,0.413352,1497,746,263,598,0.49833,0.175685,0.399466,38,0.050938
3009,103,"gd",521,0.576966,1501,956,298,781,0.636909,0.198534,0.52032,51,0.053347
3009,103,"girchi_more_freedom",382,0.423034,1501,956,298,781,0.636909,0.198534,0.52032,51,0.053347
3010,103,"gd",477,0.58313,1484,860,272,673,0.579515,0.183288,0.453504,39,0.045349
3010,103,"girchi_more_freedom",341,0.41687,1484,860,272,673,0.579515,0.183288,0.453504,39,0.045349
3011,103,"gd",439,0.564267,1512,827,269,636,0.546958,0.17791,0.420635,42,0.050786
3011,103,"girchi_more_freedom",339,0.435733,1512,827,269,636,0.546958,0.17791,0.420635,42,0.050786
3012,103,"gd",441,0.558228,1449,839,254,667,0.57902,0.175293,0.460317,45,0.053635
3012,103,"girchi_more_freedom",349,0.441772,1449,839,254,667,0.57902,0.175293,0.460317,45,0.053635
3013,103,"gd",406,0.525226,1403,812,256,685,0.57876,0.182466,0.488239,32,0.039409
3013,103,"girchi_more_freedom",367,0.474774,1403,812,256,685,0.57876,0.182466,0.488239,32,0.039409
3014,103,"gd",451,0.591864,1358,800,205,620,0.589102,0.150957,0.456554,34,0.0425
3014,103,"girchi_more_freedom",311,0.408136,1358,800,205,620,0.589102,0.150957,0.456554,34,0.0425
3015,103,"gd",403,0.558946,1409,773,248,640,0.548616,0.176011,0.454223,47,0.060802
3015,103,"girchi_more_freedom",318,0.441054,1409,773,248,640,0.548616,0.176011,0.454223,47,0.060802
3016,103,"gd",391,0.575,1417,716,238,606,0.505293,0.16796,0.427664,30,0.041899
3016,103,"girchi_more_freedom",289,0.425,1417,716,238,606,0.505293,0.16796,0.427664,30,0.041899
3017,103,"gd",382,0.499346,1434,800,260,605,0.55788,0.181311,0.421897,35,0.04375
3017,103,"girchi_more_freedom",383,0.500654,1434,800,260,605,0.55788,0.181311,0.421897,35,0.04375
3018,103,"gd",433,0.568988,1369,788,261,639,0.575603,0.19065,0.466764,21,0.02665
3018,103,"girchi_more_freedom",328,0.431012,1369,788,261,639,0.575603,0.19065,0.466764,21,0.02665
3019,103,"gd",466,0.579602,1443,838,240,633,0.580735,0.16632,0.438669,30,0.0358
3019,103,"girchi_more_freedom",338,0.420398,1443,838,240,633,0.580735,0.16632,0.438669,30,0.0358
3020,103,"gd",316,0.534687,1057,613,187,490,0.579943,0.176916,0.463576,19,0.030995
3020,103,"girchi_more_freedom",275,0.465313,1057,613,187,490,0.579943,0.176916,0.463576,19,0.030995
3021,103,"gd",311,0.528912,1275,627,193,495,0.491765,0.151373,0.388235,32,0.051037
3021,103,"girchi_more_freedom",277,0.471088,1275,627,193,495,0.491765,0.151373,0.388235,32,0.051037
3022,103,"gd",405,0.545087,1405,783,240,601,0.557295,0.170819,0.427758,37,0.047254
3022,103,"girchi_more_freedom",338,0.454913,1405,783,240,601,0.557295,0.170819,0.427758,37,0.047254
3023,103,"gd",360,0.497238,1520,766,251,642,0.503947,0.165132,0.422368,37,0.048303
3023,103,"girchi_more_freedom",364,0.502762,1520,766,251,642,0.503947,0.165132,0.422368,37,0.048303
3024,103,"gd",386,0.528767,1386,771,212,633,0.556277,0.152958,0.45671,37,0.04799
3024,103,"girchi_more_freedom",344,0.471233,1386,771,212,633,0.556277,0.152958,0.45671,37,0.04799
3025,103,"gd",355,0.518248,1560,747,232,576,0.478846,0.148718,0.369231,60,0.080321
3025,103,"girchi_more_freedom",330,0.481752,1560,747,232,576,0.478846,0.148718,0.369231,60,0.080321
3026,103,"gd",454,0.56821,1480,850,261,680,0.574324,0.176351,0.459459,45,0.052941
3026,103,"girchi_more_freedom",345,0.43179,1480,850,261,680,0.574324,0.176351,0.459459,45,0.052941
3027,103,"gd",410,0.561644,1496,782,205,670,0.522727,0.137032,0.447861,48,0.061381
3027,103,"girchi_more_freedom",320,0.438356,1496,782,205,670,0.522727,0.137032,0.447861,48,0.061381
3028,103,"gd",410,0.585714,1314,743,237,605,0.565449,0.180365,0.460426,39,0.05249
3028,103,"girchi_more_freedom",290,0.414286,1314,743,237,605,0.565449,0.180365,0.460426,39,0.05249
3029,103,"gd",469,0.576167,1486,866,275,698,0.582773,0.185061,0.469717,44,0.050808
3029,103,"girchi_more_freedom",345,0.423833,1486,866,275,698,0.582773,0.185061,0.469717,44,0.050808
3030,103,"gd",348,0.509517,1282,731,225,568,0.570203,0.175507,0.443058,42,0.057456
3030,103,"girchi_more_freedom",335,0.490483,1282,731,225,568,0.570203,0.175507,0.443058,42,0.057456
3031,103,"gd",400,0.532623,1500,791,260,657,0.527333,0.173333,0.438,34,0.042984
3031,103,"girchi_more_freedom",351,0.467377,1500,791,260,657,0.527333,0.173333,0.438,34,0.042984
3032,103,"gd",392,0.533333,1458,781,258,615,0.535665,0.176955,0.421811,40,0.051216
3032,103,"girchi_more_freedom",343,0.466667,1458,781,258,615,0.535665,0.176955,0.421811,40,0.051216
3033,103,"gd",374,0.582555,1381,685,252,541,0.496017,0.182476,0.391745,40,0.058394
3033,103,"girchi_more_freedom",268,0.417445,1381,685,252,541,0.496017,0.182476,0.391745,40,0.058394
3034,103,"gd",420,0.576923,1506,762,269,588,0.505976,0.178619,0.390438,34,0.044619
3034,103,"girchi_more_freedom",308,0.423077,1506,762,269,588,0.505976,0.178619,0.390438,34,0.044619
3035,103,"gd",409,0.642072,1487,674,220,536,0.453262,0.147949,0.360457,36,0.053412
3035,103,"girchi_more_freedom",228,0.357928,1487,674,220,536,0.453262,0.147949,0.360457,36,0.053412
3036,103,"gd",409,0.551957,1502,790,301,597,0.525965,0.200399,0.39747,45,0.056962
3036,103,"girchi_more_freedom",332,0.448043,1502,790,301,597,0.525965,0.200399,0.39747,45,0.056962
3037,103,"gd",400,0.513479,1494,832,284,683,0.556894,0.190094,0.457162,50,0.060096
3037,103,"girchi_more_freedom",379,0.486521,1494,832,284,683,0.556894,0.190094,0.457162,50,0.060096
3038,103,"gd",381,0.550578,1487,720,209,554,0.484196,0.140551,0.372562,27,0.0375
3038,103,"girchi_more_freedom",311,0.449422,1487,720,209,554,0.484196,0.140551,0.372562,27,0.0375
3039,103,"gd",407,0.568436,1433,750,270,635,0.523378,0.188416,0.443126,28,0.037333
3039,103,"girchi_more_freedom",309,0.431564,1433,750,270,635,0.523378,0.188416,0.443126,28,0.037333
3040,103,"gd",418,0.588732,1431,775,296,631,0.541579,0.206848,0.44095,65,0.083871
3040,103,"girchi_more_freedom",292,0.411268,1431,775,296,631,0.541579,0.206848,0.44095,65,0.083871
3041,103,"gd",361,0.578526,1454,667,232,528,0.458735,0.15956,0.363136,43,0.064468
3041,103,"girchi_more_freedom",263,0.421474,1454,667,232,528,0.458735,0.15956,0.363136,43,0.064468
3042,103,"gd",395,0.563481,1514,746,247,464,0.492734,0.163144,0.306473,40,0.053619
3042,103,"girchi_more_freedom",306,0.436519,1514,746,247,464,0.492734,0.163144,0.306473,40,0.053619
3043,103,"gd",400,0.609756,1404,706,195,563,0.502849,0.138889,0.400997,45,0.063739
3043,103,"girchi_more_freedom",256,0.390244,1404,706,195,563,0.502849,0.138889,0.400997,45,0.063739
3044,103,"gd",437,0.581117,1401,783,188,620,0.558887,0.13419,0.442541,24,0.030651
3044,103,"girchi_more_freedom",315,0.418883,1401,783,188,620,0.558887,0.13419,0.442541,24,0.030651
3045,103,"gd",397,0.518954,1346,808,274,632,0.600297,0.203566,0.469539,35,0.043317
3045,103,"girchi_more_freedom",368,0.481046,1346,808,274,632,0.600297,0.203566,0.469539,35,0.043317
3046,103,"gd",404,0.525358,1474,804,268,646,0.545455,0.181818,0.438263,33,0.041045
3046,103,"girchi_more_freedom",365,0.474642,1474,804,268,646,0.545455,0.181818,0.438263,33,0.041045
3047,103,"gd",381,0.531381,1478,768,240,620,0.519621,0.162382,0.419486,45,0.058594
3047,103,"girchi_more_freedom",336,0.468619,1478,768,240,620,0.519621,0.162382,0.419486,45,0.058594
3048,103,"gd",417,0.530534,1572,825,257,661,0.524809,0.163486,0.420483,34,0.041212
3048,103,"girchi_more_freedom",369,0.469466,1572,825,257,661,0.524809,0.163486,0.420483,34,0.041212
3049,103,"gd",349,0.52719,1479,708,252,580,0.478702,0.170385,0.392157,44,0.062147
3049,103,"girchi_more_freedom",313,0.47281,1479,708,252,580,0.478702,0.170385,0.392157,44,0.062147
3050,103,"gd",329,0.566265,1188,606,230,490,0.510101,0.193603,0.412458,23,0.037954
3050,103,"girchi_more_freedom",252,0.433735,1188,606,230,490,0.510101,0.193603,0.412458,23,0.037954
3051,103,"gd",371,0.548817,1398,708,242,554,0.506438,0.173104,0.39628,31,0.043785
3051,103,"girchi_more_freedom",305,0.451183,1398,708,242,554,0.506438,0.173104,0.39628,31,0.043785
3052,103,"gd",371,0.576087,1384,690,245,555,0.498555,0.177023,0.401012,46,0.066667
3052,103,"girchi_more_freedom",273,0.423913,1384,690,245,555,0.498555,0.177023,0.401012,46,0.066667
3053,103,"gd",328,0.535948,1386,643,227,504,0.463925,0.163781,0.363636,29,0.045101
3053,103,"girchi_more_freedom",284,0.464052,1386,643,227,504,0.463925,0.163781,0.363636,29,0.045101
3054,103,"gd",512,0.604486,1512,879,255,721,0.581349,0.168651,0.476852,26,0.029579
3054,103,"girchi_more_freedom",335,0.395514,1512,879,255,721,0.581349,0.168651,0.476852,26,0.029579
3055,103,"gd",430,0.706076,1381,650,220,473,0.470673,0.159305,0.342505,38,0.058462
3055,103,"girchi_more_freedom",179,0.293924,1381,650,220,473,0.470673,0.159305,0.342505,38,0.058462
3056,103,"gd",387,0.640728,1226,638,201,497,0.520392,0.163948,0.405383,34,0.053292
3056,103,"girchi_more_freedom",217,0.359272,1226,638,201,497,0.520392,0.163948,0.405383,34,0.053292
3057,103,"gd",362,0.741803,1157,522,165,407,0.451167,0.14261,0.351772,31,0.059387
3057,103,"girchi_more_freedom",126,0.258197,1157,522,165,407,0.451167,0.14261,0.351772,31,0.059387
3058,103,"gd",377,0.638983,1529,635,210,475,0.415304,0.137345,0.310661,45,0.070866
3058,103,"girchi_more_freedom",213,0.361017,1529,635,210,475,0.415304,0.137345,0.310661,45,0.070866
3059,103,"gd",386,0.66323,1378,625,226,482,0.453556,0.164006,0.349782,43,0.0688
3059,103,"girchi_more_freedom",196,0.33677,1378,625,226,482,0.453556,0.164006,0.349782,43,0.0688
3060,103,"gd",374,0.537356,1288,731,215,590,0.567547,0.166925,0.458075,25,0.0342
3060,103,"girchi_more_freedom",322,0.462644,1288,731,215,590,0.567547,0.166925,0.458075,25,0.0342
3061,103,"gd",393,0.551192,1348,745,225,625,0.552671,0.166914,0.46365,32,0.042953
3061,103,"girchi_more_freedom",320,0.448808,1348,745,225,625,0.552671,0.166914,0.46365,32,0.042953
3062,103,"gd",405,0.559392,1349,759,223,630,0.562639,0.165308,0.467013,33,0.043478
3062,103,"girchi_more_freedom",319,0.440608,1349,759,223,630,0.562639,0.165308,0.467013,33,0.043478
3063,103,"gd",451,0.565163,1570,844,274,694,0.53758,0.174522,0.442038,41,0.048578
3063,103,"girchi_more_freedom",347,0.434837,1570,844,274,694,0.53758,0.174522,0.442038,41,0.048578
3064,103,"gd",384,0.550143,1414,749,229,609,0.529703,0.161952,0.430693,45,0.06008
3064,103,"girchi_more_freedom",314,0.449857,1414,749,229,609,0.529703,0.161952,0.430693,45,0.06008
3065,103,"gd",354,0.482289,1428,781,260,640,0.546919,0.182073,0.448179,42,0.053777
3065,103,"girchi_more_freedom",380,0.517711,1428,781,260,640,0.546919,0.182073,0.448179,42,0.053777
3066,103,"gd",346,0.513353,1474,710,189,561,0.481682,0.128223,0.380597,33,0.046479
3066,103,"girchi_more_freedom",328,0.486647,1474,710,189,561,0.481682,0.128223,0.380597,33,0.046479
3067,103,"gd",306,0.545455,1094,592,177,485,0.541133,0.161792,0.443327,26,0.043919
3067,103,"girchi_more_freedom",255,0.454545,1094,592,177,485,0.541133,0.161792,0.443327,26,0.043919
3068,103,"gd",273,0.504621,1318,592,169,478,0.449165,0.128225,0.362671,44,0.074324
3068,103,"girchi_more_freedom",268,0.495379,1318,592,169,478,0.449165,0.128225,0.362671,44,0.074324
3069,103,"gd",479,0.562867,1484,901,318,642,0.607143,0.214286,0.432615,41,0.045505
3069,103,"girchi_more_freedom",372,0.437133,1484,901,318,642,0.607143,0.214286,0.432615,41,0.045505
3070,103,"gd",323,0.487915,1429,700,207,539,0.489853,0.144857,0.377187,31,0.044286
3070,103,"girchi_more_freedom",339,0.512085,1429,700,207,539,0.489853,0.144857,0.377187,31,0.044286
3071,103,"gd",432,0.606742,1244,754,236,638,0.606109,0.189711,0.512862,39,0.051724
3071,103,"girchi_more_freedom",280,0.393258,1244,754,236,638,0.606109,0.189711,0.512862,39,0.051724
3072,103,"gd",486,0.597786,1441,870,258,691,0.603747,0.179042,0.479528,45,0.051724
3072,103,"girchi_more_freedom",327,0.402214,1441,870,258,691,0.603747,0.179042,0.479528,45,0.051724
