"district_id","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"1","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"1","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"10","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"10","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"17","gd","ლევან ანდრიაშვილი",16720,0.569017,56848,30228,9925,23370,55816,1032,0.531734,0.174588,0.411096,831,0.027491
"17","unm","გიორგი ბოტკოველი",12664,0.430983,56848,30228,9925,23370,55816,1032,0.531734,0.174588,0.411096,831,0.027491
"19","gd","ლევან წიკლაური",3255,0.548072,10951,6060,1848,4776,10855,96,0.553374,0.168752,0.436125,126,0.020792
"19","mechiauri_united","თამაზ მეჭიაური",2684,0.451928,10951,6060,1848,4776,10855,96,0.553374,0.168752,0.436125,126,0.020792
"2","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"2","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"20","gd","ნინო ლაცაბიძე",27298,0.53714,108270,53037,20687,44036,106869,1401,0.489859,0.191069,0.406724,2208,0.041631
"20","unm","დავით კირკიტაძე",23523,0.46286,108270,53037,20687,44036,106869,1401,0.489859,0.191069,0.406724,2208,0.041631
"3","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"3","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"33","gd","ზაზა გულიაშვილი",9616,0.567282,37944,17416,6009,13806,37639,305,0.458992,0.158365,0.363852,455,0.026125
"33","unm","ნიკოლოზ ახალკაცი",7335,0.432718,37944,17416,6009,13806,37639,305,0.458992,0.158365,0.363852,455,0.026125
"35","gd","თენგიზ ჩიტიაშვილი",13087,0.590995,49286,22766,7538,17704,48747,539,0.461916,0.152944,0.35921,620,0.027234
"35","unm","იოსებ ბუაძე",9057,0.409005,49286,22766,7538,17704,48747,539,0.461916,0.152944,0.35921,620,0.027234
"4","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"4","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"45","gakharia","ბესარიონ ბენდელიანი",2342,0.365196,10950,6585,2696,5722,10804,146,0.60137,0.24621,0.522557,170,0.025816
"45","gd","გიორგი ნემსაძე",4071,0.634804,10950,6585,2696,5722,10804,146,0.60137,0.24621,0.522557,170,0.025816
"5","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"5","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"52","gd","კახა ენუქიძე",6550,0.606931,21675,11018,4359,9018,21476,199,0.508328,0.201107,0.416055,225,0.020421
"52","unm","გიორგი რობაქიძე",4242,0.393069,21675,11018,4359,9018,21476,199,0.508328,0.201107,0.416055,225,0.020421
"58","gd","გენადი ბალანჩივაძე",13341,0.571374,50965,23972,8698,18827,50419,546,0.470362,0.170666,0.36941,622,0.025947
"58","unm","ზაზა მეტრეველი",10008,0.428626,50965,23972,8698,18827,50419,546,0.470362,0.170666,0.36941,622,0.025947
"59","gd","იოსები ხახალეიშვილი",34944,0.516549,155519,70067,25699,56165,153726,1793,0.450537,0.165247,0.361146,2393,0.034153
"59","unm","ხატია დეკანოიძე",32705,0.483451,155519,70067,25699,56165,153726,1793,0.450537,0.165247,0.361146,2393,0.034153
"6","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"6","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"60","gd","ავთანდილ თალაკვაძე",19043,1,60950,35349,12095,28056,60471,479,0.579967,0.198441,0.460312,969,0.027412
"64","gd","ვახტანგ გადელია",11225,0.530783,39423,21689,8030,17854,39075,348,0.550161,0.203688,0.452883,538,0.024805
"64","unm","კობა ნაყოფია",9923,0.469217,39423,21689,8030,17854,39075,348,0.550161,0.203688,0.452883,538,0.024805
"65","gd","თორნიკე ჯანაშია",9233,0.518475,31974,18252,5152,13727,31747,227,0.570839,0.161131,0.429318,441,0.024162
"65","unm","თეიმურაზ ჯანაშია",8575,0.481525,31974,18252,5152,13727,31747,227,0.570839,0.161131,0.429318,441,0.024162
"66","gd","დავით ბუკია",8001,0.567769,27434,14411,4802,11020,27239,195,0.525297,0.175038,0.401691,314,0.021789
"66","unm","ბესიკი შენგელია",6091,0.432231,27434,14411,4802,11020,27239,195,0.525297,0.175038,0.401691,314,0.021789
"67","gd","მამუკა წოწერია",27607,0.516308,121240,54828,19982,42991,119798,1442,0.452227,0.164814,0.354594,1345,0.024531
"67","unm","ანზორ მელია",25863,0.483692,121240,54828,19982,42991,119798,1442,0.452227,0.164814,0.354594,1345,0.024531
"68","gd","გოგა გულორდავა",6937,0.489038,28933,14576,4777,11490,28709,224,0.503785,0.165106,0.397124,391,0.026825
"68","unm","გიორგი ხარჩილავა",7248,0.510962,28933,14576,4777,11490,28709,224,0.503785,0.165106,0.397124,391,0.026825
"69","gd","დათო გოგუა",6296,0.50885,21654,12783,4281,10156,21527,127,0.59033,0.1977,0.469013,411,0.032152
"69","unm","ბადრი ქარჩავა",6077,0.49115,21654,12783,4281,10156,21527,127,0.59033,0.1977,0.469013,411,0.032152
"7","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"7","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"70","gd","ბექა ვაჭარაძე",11345,0.573501,41460,20424,7349,17053,41028,432,0.492619,0.177255,0.411312,634,0.031042
"70","unm","გიორგი უგულავა",8437,0.426499,41460,20424,7349,17053,41028,432,0.492619,0.177255,0.411312,634,0.031042
"79","gd","არჩილ ჩიქოვანი",38237,0.51018,149380,77035,27153,62421,147964,1416,0.515698,0.181771,0.417867,2070,0.026871
"79","unm","გიორგი კირთაძე",36711,0.48982,149380,77035,27153,62421,147964,1416,0.515698,0.181771,0.417867,2070,0.026871
"8","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"8","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"83","gd","ზაზა დიასამიძე",13397,0.55023,44734,24817,9285,19423,44423,311,0.554768,0.20756,0.434189,466,0.018777
"83","unm","მიშა ბოლქვაძე",10951,0.44977,44734,24817,9285,19423,44423,311,0.554768,0.20756,0.434189,466,0.018777
"9","gd","",258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"9","unm","",206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"national","gakharia","",2342,0.002414,2086198,1015615,356377,815909,2060857,25341,0.486826,0.170826,0.391099,30096,0.029633
"national","gd","",538979,0.555644,2086198,1015615,356377,815909,2060857,25341,0.486826,0.170826,0.391099,30096,0.029633
"national","mechiauri_united","",2684,0.002767,2086198,1015615,356377,815909,2060857,25341,0.486826,0.170826,0.391099,30096,0.029633
"national","unm","",426003,0.439175,2086198,1015615,356377,815909,2060857,25341,0.486826,0.170826,0.391099,30096,0.029633
