district_id,party_id,candidate_name,votes,vote_share,seats_pr,seats_smd,threshold_status
tbilisi,gd,კახა კალაძე,267300,0.557,0,11,notrun
tbilisi,unm,ნიკა მელია,130100,0.271,0,0,notrun
tbilisi,european_georgia,ირმა ნადირაშვილი,39400,0.082,0,0,notrun
tbilisi,other,ომარ ლობჟანიძე,43200,0.090,0,0,notrun
imereti,gd,ზაზა ჩახვაშვილი,122400,0.583,0,11,notrun
imereti,unm,ნინო ბუბუთეიშვილი,49100,0.234,0,0,notrun
imereti,european_georgia,ლუკა ოდიშარია,16600,0.079,0,0,notrun
imereti,other,გელა ოქრუაშვილი,21900,0.104,0,0,notrun
kakheti,gd,ნოდარ ლომიძე,107100,0.612,0,11,notrun
kakheti,unm,მარიამ ჩიკოვანი,36400,0.208,0,0,notrun
kakheti,european_georgia,გია ვარდოშვილი,12800,0.073,0,0,notrun
kakheti,other,ბესო კვარაცხელია,18700,0.107,0,0,notrun
samtskhe,gd,ვახო ბარათელი,51400,0.571,0,11,notrun
samtskhe,unm,ნინო ჯინჭარაძე,20300,0.226,0,0,notrun
samtskhe,european_georgia,ეკა ოდიშარია,7300,0.081,0,0,notrun
samtskhe,other,ირაკლი ბეიძე,11000,0.122,0,0,notrun
kvemo_kartli,gd,ია ხარატიშვილი,96900,0.524,0,11,notrun
kvemo_kartli,unm,გელა ჯავახიშვილი,49600,0.268,0,0,notrun
kvemo_kartli,european_georgia,ზვიად ქარელი,14600,0.079,0,0,notrun
kvemo_kartli,other,ნინო ბახია,23900,0.129,0,0,notrun
shida_kartli,gd,ლევან სვანიძე,70600,0.598,0,11,notrun
shida_kartli,unm,ომარ ქარქაშაძე,26100,0.221,0,0,notrun
shida_kartli,european_georgia,ნატა ჯინჭარაძე,9000,0.076,0,0,notrun
shida_kartli,other,გოჩა ჩიკოვანი,12300,0.104,0,0,notrun
mtskheta,gd,გია ბეიძე,40400,0.621,0,11,notrun
mtskheta,unm,ლაშა ქობალია,13300,0.205,0,0,notrun
mtskheta,european_georgia,ანი ოჩიაური,4700,0.072,0,0,notrun
mtskheta,other,ვასო გაბელია,6600,0.102,0,0,notrun
racha,gd,ნინო ხელიძე,11750,0.653,0,11,notrun
racha,unm,ბექა ბოლქვაძე,3400,0.189,0,0,notrun
racha,european_georgia,ომარ ვარდოშვილი,1150,0.064,0,0,notrun
racha,other,ლელა ჩხარტიშვილი,1700,0.094,0,0,notrun
samegrelo,gd,ირაკლი ლობჟანიძე,118100,0.576,0,11,notrun
samegrelo,unm,სანდრო ბარამიძე,48800,0.238,0,0,notrun
samegrelo,european_georgia,ნინო ელიავა,16000,0.078,0,0,notrun
samegrelo,other,გიგი ოდიშარია,22100,0.108,0,0,notrun
guria,gd,ვახო ჩოხელი,48700,0.594,0,11,notrun
guria,unm,ნანა ლომიძე,18600,0.227,0,0,notrun
guria,european_georgia,ბექა შონია,6200,0.076,0,0,notrun
guria,other,ზვიად კვარაცხელია,8500,0.104,0,0,notrun
adjara,gd,ოთარ ბახტაძე,95800,0.532,0,11,notrun
adjara,unm,ლელა ბარათელი,47000,0.261,0,0,notrun
adjara,european_georgia,ნოდარ ბოლქვაძე,14900,0.083,0,0,notrun
adjara,other,ქეთი ჭელიძე,22300,0.124,0,0,notrun
