"district_id","party_id","name_ka","round","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"1","gd","",2,258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"1","unm","",2,206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"10","gd","",2,258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"10","unm","",2,206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"11","gd","ავთანდილი გულიკაშვილი",1,13314,0.623782,47000,22422,7434,17943,46491,509,0.477064,0.15817,0.381766,1049,0.046784
"11","lelo","ეკატერინე ქვლივიძე",1,1393,0.065264,47000,22422,7434,17943,46491,509,0.477064,0.15817,0.381766,1049,0.046784
"11","unm","დავითი ჯავახიშვილი",1,6637,0.310954,47000,22422,7434,17943,46491,509,0.477064,0.15817,0.381766,1049,0.046784
"12","gd","ზურაბ უტიაშვილი",1,16482,0.605666,51842,28757,9133,22991,51461,381,0.554705,0.17617,0.443482,1510,0.052509
"12","unm","სერგი კაკალაშვილი",1,10731,0.394334,51842,28757,9133,22991,51461,381,0.554705,0.17617,0.443482,1510,0.052509
"13","free_georgia","გია ხუხიაშვილი",1,457,0.028771,29634,16586,5259,13647,29247,387,0.559695,0.177465,0.460518,670,0.040396
"13","gd","მალხაზი ბეგიაშვილი",1,9401,0.591853,29634,16586,5259,13647,29247,387,0.559695,0.177465,0.460518,670,0.040396
"13","unm","ზაზა პაპუაშვილი",1,6026,0.379375,29634,16586,5259,13647,29247,387,0.559695,0.177465,0.460518,670,0.040396
"14","gd","ნიკოლოზ ჯანიაშვილი",1,7777,0.694189,21633,11910,3676,9662,21302,331,0.550548,0.169926,0.446632,697,0.058522
"14","unm","თამაზ კოჭლამაზაშვილი",1,3426,0.305811,21633,11910,3676,9662,21302,331,0.550548,0.169926,0.446632,697,0.058522
"15","gd","ჯონდო მდივნიშვილი",1,12109,0.702541,39164,19707,6546,15833,38843,321,0.503192,0.167143,0.404274,2379,0.120719
"15","third_force","მალხაზ ნოზაძე",1,5127,0.297459,39164,19707,6546,15833,38843,321,0.503192,0.167143,0.404274,2379,0.120719
"16","gakharia","გიორგი გიგილოშვილი",1,956,0.058578,28361,17035,5445,13102,28124,237,0.600649,0.191989,0.461972,699,0.041033
"16","gd","გივი ზაუტაშვილი",1,9247,0.566605,28361,17035,5445,13102,28124,237,0.600649,0.191989,0.461972,699,0.041033
"16","patriots","რევაზი ჩოხადარი",1,347,0.021262,28361,17035,5445,13102,28124,237,0.600649,0.191989,0.461972,699,0.041033
"16","unm","ალექსანდრე მჭედლიშვილი",1,5770,0.353554,28361,17035,5445,13102,28124,237,0.600649,0.191989,0.461972,699,0.041033
"17","gd","ლევან ანდრიაშვილი",2,16720,0.569017,56848,30228,9925,23370,55816,1032,0.531734,0.174588,0.411096,831,0.027491
"17","unm","გიორგი ბოტკოველი",2,12664,0.430983,56848,30228,9925,23370,55816,1032,0.531734,0.174588,0.411096,831,0.027491
"18","gd","ალექსი ფიცხელაური",1,7681,0.537735,30201,15090,4764,11470,30032,169,0.499652,0.157743,0.379789,793,0.052551
"18","unm","ზურაბ ოტიაშვილი",1,6603,0.462265,30201,15090,4764,11470,30032,169,0.499652,0.157743,0.379789,793,0.052551
"19","gd","ლევან წიკლაური",2,3255,0.548072,10951,6060,1848,4776,10855,96,0.553374,0.168752,0.436125,126,0.020792
"19","mechiauri_united","თამაზ მეჭიაური",2,2684,0.451928,10951,6060,1848,4776,10855,96,0.553374,0.168752,0.436125,126,0.020792
"2","gd","",2,258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"2","unm","",2,206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"20","gd","ნინო ლაცაბიძე",2,27298,0.53714,108270,53037,20687,44036,106869,1401,0.489859,0.191069,0.406724,2208,0.041631
"20","unm","დავით კირკიტაძე",2,23523,0.46286,108270,53037,20687,44036,106869,1401,0.489859,0.191069,0.406724,2208,0.041631
"21","gd","დავითი კარგარეთელი",1,17896,0.604962,72443,30978,10034,23291,71866,577,0.427619,0.138509,0.321508,1322,0.042675
"21","patriots","ალექსანდრე ვამლეტი",1,711,0.024035,72443,30978,10034,23291,71866,577,0.427619,0.138509,0.321508,1322,0.042675
"21","unm","ბესიკი კახაბრიშვილი",1,10975,0.371003,72443,30978,10034,23291,71866,577,0.427619,0.138509,0.321508,1322,0.042675
"22","european_georgia","აკმამედ იმამკულიევი",1,1800,0.038783,100802,48399,15492,36529,100086,716,0.480139,0.153687,0.362384,1660,0.034298
"22","gd","კენან ომაროვი",1,31617,0.681225,100802,48399,15492,36529,100086,716,0.480139,0.153687,0.362384,1660,0.034298
"22","unm","ელდარ მუსტაფაევი",1,12995,0.279992,100802,48399,15492,36529,100086,716,0.480139,0.153687,0.362384,1660,0.034298
"23","gd","დავითი შერაზადიშვილი",1,17143,0.73064,56546,24705,8970,20914,55910,636,0.436901,0.158632,0.369858,1169,0.047318
"23","unm","ვახტანგ ჩაგელიშვილი",1,6320,0.26936,56546,24705,8970,20914,55910,636,0.436901,0.158632,0.369858,1169,0.047318
"24","gd","კობა მურადაშვილი",1,6556,0.520813,23374,13203,4491,11250,23008,366,0.564858,0.192137,0.481304,579,0.043854
"24","unm","გიორგი ტატუაშვილი",1,6032,0.479187,23374,13203,4491,11250,23008,366,0.564858,0.192137,0.481304,579,0.043854
"25","gd","ილია საბაძე",1,4875,0.579529,20561,9236,2921,7614,20365,196,0.4492,0.142065,0.370313,492,0.05327
"25","law_justice","ემზარი დიმიტრაძე",1,1477,0.175583,20561,9236,2921,7614,20365,196,0.4492,0.142065,0.370313,492,0.05327
"25","unm","რუსლან ხუციშვილი",1,2060,0.244888,20561,9236,2921,7614,20365,196,0.4492,0.142065,0.370313,492,0.05327
"26","european_georgia","ნინო დავითაშვილი",1,412,0.042222,20479,10351,3713,8800,20263,216,0.505445,0.181308,0.429708,575,0.05555
"26","gd","გიორგი წიკლაური",1,6362,0.651978,20479,10351,3713,8800,20263,216,0.505445,0.181308,0.429708,575,0.05555
"26","unm","ვანო მაღალაშვილი",1,2984,0.3058,20479,10351,3713,8800,20263,216,0.505445,0.181308,0.429708,575,0.05555
