"selfgov_id","party_id","seats_pr","seats_smd"
"national","conservatives_geo",7,0
"national","free_georgia",2,0
"national","gakharia",27,0
"national","gd",882,1084
"national","girchi",7,0
"national","independent",0,2
"national","patriots",1,0
"national","strong_georgia",59,1
"1","conservatives_geo",1,0
"1","gd",20,25
"1","girchi",2,0
"1","strong_georgia",2,0
"11","gd",14,22
"11","strong_georgia",1,0
"12","gd",14,24
"12","strong_georgia",1,0
"13","gd",14,14
"13","strong_georgia",1,0
"14","gd",14,13
"14","strong_georgia",1,0
"15","gd",14,16
"15","strong_georgia",1,0
"16","conservatives_geo",1,0
"16","gd",13,12
"16","strong_georgia",1,0
"17","gd",14,20
"17","strong_georgia",1,0
"18","gd",14,16
"18","strong_georgia",1,0
"19","conservatives_geo",1,0
"19","gakharia",1,0
"19","gd",12,12
"19","strong_georgia",1,0
"20","conservatives_geo",1,0
"20","gakharia",1,0
"20","gd",11,10
"20","girchi",1,0
"20","strong_georgia",1,0
"21","gd",15,21
"22","gd",14,20
"22","strong_georgia",1,0
"23","gd",15,15
"24","gd",14,16
"24","strong_georgia",1,0
"25","gd",14,29
"25","strong_georgia",1,0
"26","gd",14,20
"26","strong_georgia",1,0
"27","gd",14,14
"27","strong_georgia",1,0
"28","conservatives_geo",1,0
"28","gd",13,19
"28","strong_georgia",1,0
"29","conservatives_geo",1,0
"29","free_georgia",1,0
"29","gakharia",1,0
"29","gd",11,6
"29","patriots",1,0
"30","gd",14,19
"30","strong_georgia",1,0
"32","conservatives_geo",1,0
"32","gd",13,25
"32","strong_georgia",1,0
"33","gakharia",1,0
"33","gd",13,18
"33","strong_georgia",1,0
"35","gakharia",1,0
"35","gd",12,16
"35","girchi",1,0
"35","strong_georgia",1,0
"36","gd",14,13
"36","strong_georgia",1,0
"37","gd",14,18
"37","strong_georgia",1,0
"38","gd",14,15
"38","strong_georgia",1,0
"39","gd",14,12
"39","strong_georgia",1,0
"40","gd",15,23
"41","gakharia",1,0
"41","gd",28,11
"41","strong_georgia",1,0
"43","gd",14,18
"43","strong_georgia",1,0
"44","gakharia",1,0
"44","gd",13,19
"44","strong_georgia",1,0
"45","gakharia",1,0
"45","gd",13,15
"45","strong_georgia",1,1
"46","gakharia",1,0
"46","gd",13,8
"46","strong_georgia",1,0
"47","gd",14,15
"47","strong_georgia",1,0
"48","gakharia",1,0
"48","gd",13,20
"48","strong_georgia",1,0
"49","gd",14,20
"49","strong_georgia",1,0
"50","gd",15,14
"51","gakharia",1,0
"51","gd",13,21
"51","strong_georgia",1,0
"52","gd",14,14
"52","strong_georgia",1,0
"53","gd",14,20
"53","strong_georgia",1,0
"54","gd",14,18
"54","strong_georgia",1,0
"55","gd",14,13
"55","strong_georgia",1,0
"56","gd",14,18
"56","strong_georgia",1,0
"57","gd",14,12
"57","strong_georgia",1,0
"58","gd",14,19
"58","strong_georgia",1,0
"59","gakharia",1,0
"59","gd",12,10
"59","girchi",1,0
"59","strong_georgia",1,0
"60","gakharia",1,0
"60","gd",13,31
"60","strong_georgia",1,0
"61","gakharia",1,0
"61","gd",12,17
"61","girchi",1,0
"61","strong_georgia",1,0
"62","gd",14,23
"62","strong_georgia",1,0
"63","free_georgia",1,0
"63","gakharia",1,0
"63","gd",12,17
"63","strong_georgia",1,0
"64","gakharia",1,0
"64","gd",14,18
"65","gakharia",1,0
"65","gd",13,21
"65","strong_georgia",1,0
"66","gakharia",1,0
"66","gd",13,22
"66","strong_georgia",1,0
"67","gakharia",1,0
"67","gd",13,35
"67","strong_georgia",1,0
"68","gakharia",2,0
"68","gd",12,15
"68","strong_georgia",1,0
"69","gakharia",1,0
"69","gd",13,13
"69","strong_georgia",1,0
"70","gakharia",1,0
"70","gd",13,10
"70","strong_georgia",1,0
"79","gakharia",1,0
"79","gd",12,10
"79","girchi",1,0
"79","strong_georgia",1,0
"80","gd",14,7
"80","strong_georgia",1,0
"81","gd",14,24
"81","strong_georgia",1,0
"82","gakharia",2,0
"82","gd",26,9
"82","strong_georgia",2,0
"84","gakharia",1,0
"84","gd",13,13
"84","strong_georgia",1,0
"25","independent",0,1
"65","independent",0,1
"83","gd",0,11
