district_id,district_name_ka,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,ეროვნული,christian_democratic_alliance_2008,,30284,0.0172,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,christian_democrats_2008,,70676,0.0403,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,georgian_politics_2008,,9133,0.0052,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,labour,,84421,0.0481,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,our_country_2008,,1735,0.001,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,radical_democrats_2008,,2554,0.0015,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,republicans_2008,,93096,0.053,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,right_alliance_2008,,19645,0.0112,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,traditionalists,,9292,0.0053,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,united_opposition_2008,,344169,0.196,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
national,ეროვნული,unm,,1090697,0.6212,3522962,1830581,759279,1433090,3471163,51799,0.5196,0.2155,0.4068,59370,0.0324
1,მთაწმინდა,christian_democratic_alliance_2008,ავთანდილ კახნიაშვილი,239,0.0092,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
1,მთაწმინდა,christian_democrats_2008,ლევან ღვინჯილია,1212,0.0467,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
1,მთაწმინდა,labour,ელიზბარ ჯაველიძე,1128,0.0435,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
1,მთაწმინდა,republicans_2008,ივლიანე ხაინდრავა,1554,0.0599,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
1,მთაწმინდა,right_alliance_2008,ზაურ მესხიშვილი,155,0.006,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
1,მთაწმინდა,traditionalists,ნინო იაშვილი,210,0.0081,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
1,მთაწმინდა,united_opposition_2008,გია თორთლაძე,8262,0.3187,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
1,მთაწმინდა,unm,არჩილ გეგენავა,13168,0.5079,48726,27242,9082,19314,48356,370,0.5591,0.1864,0.3964,487,0.0179
2,ვაკე,christian_democratic_alliance_2008,გიორგი გაჩეჩილაძე,1773,0.0352,97123,52244,20854,43818,96564,559,0.5379,0.2147,0.4512,1768,0.0338
2,ვაკე,labour,ლეილა გაფრინდაშვილი,1953,0.0387,97123,52244,20854,43818,96564,559,0.5379,0.2147,0.4512,1768,0.0338
2,ვაკე,republicans_2008,ლევან ბერძენიშვილი,5634,0.1118,97123,52244,20854,43818,96564,559,0.5379,0.2147,0.4512,1768,0.0338
2,ვაკე,traditionalists,ირმა ჯანგირაშვილი,0,0,97123,52244,20854,43818,96564,559,0.5379,0.2147,0.4512,1768,0.0338
2,ვაკე,united_opposition_2008,დავით გამყრელიძე,24363,0.4833,97123,52244,20854,43818,96564,559,0.5379,0.2147,0.4512,1768,0.0338
2,ვაკე,unm,ზაალ გამცემლიძე,16682,0.331,97123,52244,20854,43818,96564,559,0.5379,0.2147,0.4512,1768,0.0338
3,საბურთალო,christian_democratic_alliance_2008,გიორგი მაისაშვილი,3348,0.0565,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,christian_democrats_2008,მაგდალინა ანიკაშვილი,2828,0.0478,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,labour,თამაზ შიოშვილი,2710,0.0458,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,our_country_2008,უშანგი დონჯაშვილი,74,0.0012,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,republicans_2008,თინათინ ხიდაშელი,6193,0.1046,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,right_alliance_2008,გიორგი ანდრიაძე,3184,0.0538,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,traditionalists,ლია მუხაშავრია,0,0,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,united_opposition_2008,რევაზ შავიშვილი,18426,0.3112,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
3,საბურთალო,unm,გიორგი მელაძე,22456,0.3792,118329,60556,23531,49179,116949,1380,0.5118,0.1989,0.4156,1235,0.0204
4,კრწანისი,christian_democratic_alliance_2008,დავით ჭეიშვილი,775,0.0363,49656,23909,7343,16266,47259,2397,0.4815,0.1479,0.3276,1116,0.0467
4,კრწანისი,labour,ავთანდილ აბაშიძე,1537,0.0721,49656,23909,7343,16266,47259,2397,0.4815,0.1479,0.3276,1116,0.0467
4,კრწანისი,traditionalists,ციური გარუჩავა,232,0.0109,49656,23909,7343,16266,47259,2397,0.4815,0.1479,0.3276,1116,0.0467
4,კრწანისი,united_opposition_2008,გიორგი ხაინდრავა,6239,0.2926,49656,23909,7343,16266,47259,2397,0.4815,0.1479,0.3276,1116,0.0467
4,კრწანისი,unm,დილარ ხაბულიანი,12541,0.5881,49656,23909,7343,16266,47259,2397,0.4815,0.1479,0.3276,1116,0.0467
5,ისანი,christian_democratic_alliance_2008,გიორგი კობახიძე,792,0.0176,110719,46235,19006,38202,109652,1067,0.4176,0.1717,0.345,1201,0.026
5,ისანი,labour,დავით გოგუა,2816,0.0626,110719,46235,19006,38202,109652,1067,0.4176,0.1717,0.345,1201,0.026
5,ისანი,republicans_2008,ვახტანგ ხმალაძე,1712,0.038,110719,46235,19006,38202,109652,1067,0.4176,0.1717,0.345,1201,0.026
5,ისანი,traditionalists,დავით ჭიჭინაძე,2105,0.0468,110719,46235,19006,38202,109652,1067,0.4176,0.1717,0.345,1201,0.026
5,ისანი,united_opposition_2008,ზვიად ძიძიგური,14167,0.3148,110719,46235,19006,38202,109652,1067,0.4176,0.1717,0.345,1201,0.026
5,ისანი,unm,გიორგი გოგუაძე,23409,0.5202,110719,46235,19006,38202,109652,1067,0.4176,0.1717,0.345,1201,0.026
6,სამგორი,labour,კახაბერ ძაგანია,5090,0.0877,147031,59885,24561,49056,145223,1808,0.4073,0.167,0.3336,1797,0.03
6,სამგორი,our_country_2008,დოდო თხელიძე,162,0.0028,147031,59885,24561,49056,145223,1808,0.4073,0.167,0.3336,1797,0.03
6,სამგორი,republicans_2008,გულო ზუმბაძე,1010,0.0174,147031,59885,24561,49056,145223,1808,0.4073,0.167,0.3336,1797,0.03
6,სამგორი,right_alliance_2008,ლევან მამალაძე,621,0.0107,147031,59885,24561,49056,145223,1808,0.4073,0.167,0.3336,1797,0.03
6,სამგორი,united_opposition_2008,ლევან გაჩეჩილაძე,19765,0.3405,147031,59885,24561,49056,145223,1808,0.4073,0.167,0.3336,1797,0.03
6,სამგორი,unm,რუსუდან კერვალიშვილი,31400,0.5409,147031,59885,24561,49056,145223,1808,0.4073,0.167,0.3336,1797,0.03
7,ჩუღურეთი,christian_democratic_alliance_2008,დავით ჩხეიძე,406,0.016,55508,26484,10511,21727,54644,864,0.4771,0.1894,0.3914,1005,0.0379
7,ჩუღურეთი,georgian_politics_2008,ზურაბ კოკაია,143,0.0056,55508,26484,10511,21727,54644,864,0.4771,0.1894,0.3914,1005,0.0379
7,ჩუღურეთი,labour,რევაზ მიშველაძე,2064,0.0811,55508,26484,10511,21727,54644,864,0.4771,0.1894,0.3914,1005,0.0379
7,ჩუღურეთი,our_country_2008,თამაზ ბიბილური,78,0.0031,55508,26484,10511,21727,54644,864,0.4771,0.1894,0.3914,1005,0.0379
7,ჩუღურეთი,traditionalists,გუგული მაღრაძე,0,0,55508,26484,10511,21727,54644,864,0.4771,0.1894,0.3914,1005,0.0379
7,ჩუღურეთი,united_opposition_2008,კონსტანტინე გუნცაძე,10101,0.3968,55508,26484,10511,21727,54644,864,0.4771,0.1894,0.3914,1005,0.0379
7,ჩუღურეთი,unm,ლაშა ჟვანია,12661,0.4974,55508,26484,10511,21727,54644,864,0.4771,0.1894,0.3914,1005,0.0379
8,დიდუბე,christian_democratic_alliance_2008,კონსტანტინე კინწურაშვილი,783,0.0213,72804,37876,15368,32688,70836,1968,0.5202,0.2111,0.449,1125,0.0297
8,დიდუბე,labour,ჯემალ ნათელაშვილი,2563,0.0698,72804,37876,15368,32688,70836,1968,0.5202,0.2111,0.449,1125,0.0297
