precinct_id,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
1001,1001,1,მთაწმინდა,1,republicans_2008,ივლიანე ხაინდრავა,50,0.0713,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1001,1001,1,მთაწმინდა,1,right_alliance_2008,ზაურ მესხიშვილი,7,0.01,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1001,1001,1,მთაწმინდა,1,labour,ელიზბარ ჯაველიძე,21,0.03,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1001,1001,1,მთაწმინდა,1,unm,არჩილ გეგენავა,316,0.4508,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1001,1001,1,მთაწმინდა,1,united_opposition_2008,გია თორთლაძე,249,0.3552,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1001,1001,1,მთაწმინდა,1,christian_democratic_alliance_2008,ავთანდილ კახნიაშვილი,3,0.0043,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1001,1001,1,მთაწმინდა,1,christian_democrats_2008,ლევან ღვინჯილია,40,0.0571,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1001,1001,1,მთაწმინდა,1,traditionalists,ნინო იაშვილი,15,0.0214,1448,720,314,602,0.4972,0.2169,0.4157,18,0.025
1002,1002,1,მთაწმინდა,2,republicans_2008,ივლიანე ხაინდრავა,43,0.0696,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1002,1002,1,მთაწმინდა,2,right_alliance_2008,ზაურ მესხიშვილი,1,0.0016,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1002,1002,1,მთაწმინდა,2,labour,ელიზბარ ჯაველიძე,33,0.0534,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1002,1002,1,მთაწმინდა,2,unm,არჩილ გეგენავა,273,0.4417,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1002,1002,1,მთაწმინდა,2,united_opposition_2008,გია თორთლაძე,223,0.3608,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1002,1002,1,მთაწმინდა,2,christian_democratic_alliance_2008,ავთანდილ კახნიაშვილი,4,0.0065,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1002,1002,1,მთაწმინდა,2,christian_democrats_2008,ლევან ღვინჯილია,33,0.0534,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1002,1002,1,მთაწმინდა,2,traditionalists,ნინო იაშვილი,8,0.0129,1232,627,277,545,0.5089,0.2248,0.4424,9,0.0144
1003,1003,1,მთაწმინდა,3,republicans_2008,ივლიანე ხაინდრავა,37,0.0552,1313,684,258,582,0.5209,0.1965,0.4433,14,0.0205
1003,1003,1,მთაწმინდა,3,right_alliance_2008,ზაურ მესხიშვილი,3,0.0045,1313,684,258,582,0.5209,0.1965,0.4433,14,0.0205
1003,1003,1,მთაწმინდა,3,labour,ელიზბარ ჯაველიძე,38,0.0567,1313,684,258,582,0.5209,0.1965,0.4433,14,0.0205
1003,1003,1,მთაწმინდა,3,unm,არჩილ გეგენავა,337,0.503,1313,684,258,582,0.5209,0.1965,0.4433,14,0.0205
1003,1003,1,მთაწმინდა,3,united_opposition_2008,გია თორთლაძე,212,0.3164,1313,684,258,582,0.5209,0.1965,0.4433,14,0.0205
