district_id,district_name_ka,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,ეროვნული,parl2012_2015_gd,,ქართული ოცნება,17160,0.6023,80557,29683,10277,24075,79592,965,0.3685,0.1276,0.2989,1161,0.0391
national,ეროვნული,parl2012_2015_patriots,,საქართველოს პატრიოტთა ალიანსი,10622,0.3728,80557,29683,10277,24075,79592,965,0.3685,0.1276,0.2989,1161,0.0391
national,ეროვნული,parl2012_2015_initiative_group,,საინიციატივო ჯგუფი,709,0.0249,80557,29683,10277,24075,79592,965,0.3685,0.1276,0.2989,1161,0.0391
11,საგარეჯო,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,6981,0.4584,46943,15939,5875,12995,46082,861,0.3395,0.1252,0.2768,687,0.0431
11,საგარეჯო,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,7540,0.4951,46943,15939,5875,12995,46082,861,0.3395,0.1252,0.2768,687,0.0431
11,საგარეჯო,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,75,0.0049,46943,15939,5875,12995,46082,861,0.3395,0.1252,0.2768,687,0.0431
11,საგარეჯო,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,276,0.0181,46943,15939,5875,12995,46082,861,0.3395,0.1252,0.2768,687,0.0431
11,საგარეჯო,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,358,0.0235,46943,15939,5875,12995,46082,861,0.3395,0.1252,0.2768,687,0.0431
65,მარტვილი,parl2012_2015_65_8,ეთერ მეძველია,საქართველოს პატრიოტთა ალიანსი,3641,0.2746,33614,13744,4402,11080,33510,104,0.4089,0.131,0.3296,474,0.0345
65,მარტვილი,parl2012_2015_65_41,სოსო დანელია,ქართული ოცნება,9620,0.7254,33614,13744,4402,11080,33510,104,0.4089,0.131,0.3296,474,0.0345
