precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
11001,11001,11001,11,საგარეჯო,1,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,148,0.5781,718,274,82,193,0.3816,0.1142,0.2688,18,0.0657
11001,11001,11001,11,საგარეჯო,1,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,96,0.375,718,274,82,193,0.3816,0.1142,0.2688,18,0.0657
11001,11001,11001,11,საგარეჯო,1,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,718,274,82,193,0.3816,0.1142,0.2688,18,0.0657
11001,11001,11001,11,საგარეჯო,1,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,4,0.0156,718,274,82,193,0.3816,0.1142,0.2688,18,0.0657
11001,11001,11001,11,საგარეჯო,1,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,8,0.0313,718,274,82,193,0.3816,0.1142,0.2688,18,0.0657
11002,11002,11002,11,საგარეჯო,2,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,221,0.5152,1212,450,135,350,0.3713,0.1114,0.2888,21,0.0467
11002,11002,11002,11,საგარეჯო,2,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,175,0.4079,1212,450,135,350,0.3713,0.1114,0.2888,21,0.0467
11002,11002,11002,11,საგარეჯო,2,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,3,0.007,1212,450,135,350,0.3713,0.1114,0.2888,21,0.0467
11002,11002,11002,11,საგარეჯო,2,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,15,0.035,1212,450,135,350,0.3713,0.1114,0.2888,21,0.0467
11002,11002,11002,11,საგარეჯო,2,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,15,0.035,1212,450,135,350,0.3713,0.1114,0.2888,21,0.0467
11003,11003,11003,11,საგარეჯო,3,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,198,0.5224,1113,404,130,312,0.363,0.1168,0.2803,25,0.0619
11003,11003,11003,11,საგარეჯო,3,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,166,0.438,1113,404,130,312,0.363,0.1168,0.2803,25,0.0619
11003,11003,11003,11,საგარეჯო,3,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,1113,404,130,312,0.363,0.1168,0.2803,25,0.0619
11003,11003,11003,11,საგარეჯო,3,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,4,0.0106,1113,404,130,312,0.363,0.1168,0.2803,25,0.0619
11003,11003,11003,11,საგარეჯო,3,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,11,0.029,1113,404,130,312,0.363,0.1168,0.2803,25,0.0619
11004,11004,11004,11,საგარეჯო,4,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,203,0.6548,835,319,104,246,0.382,0.1246,0.2946,9,0.0282
11004,11004,11004,11,საგარეჯო,4,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,99,0.3194,835,319,104,246,0.382,0.1246,0.2946,9,0.0282
11004,11004,11004,11,საგარეჯო,4,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,835,319,104,246,0.382,0.1246,0.2946,9,0.0282
