district_id,district_name_ka,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,ეროვნული,christian_democrats_2012,43805,0.0204,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,fair_georgia_2012,4073,0.0019,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,free_georgia,5865,0.0027,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,freedom_gamsakhurdia,1013,0.0005,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,future_georgia,701,0.0003,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,gd,1181862,0.5497,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,georgian_group,2324,0.0011,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,kostava_society,997,0.0005,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,labour,26621,0.0124,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,ndp_2012,3023,0.0014,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,new_rights_2012,9255,0.0043,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,peoples_movement_2012,546,0.0003,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,peoples_party,527,0.0002,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,sports_union_2012,1572,0.0007,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,unm,867432,0.4034,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
national,ეროვნული,workers_socialist,581,0.0003,3738500,2248787,925202,1884705,3658613,79887,0.6015,0.2475,0.5041,62874,0.028
1,მთაწმინდის,christian_democrats_2012,413,0.0104,56398,40727,14700,34174,52370,4028,0.7221,0.2606,0.6059,1141,0.028
1,მთაწმინდის,fair_georgia_2012,16,0.0004,56398,40727,14700,34174,52370,4028,0.7221,0.2606,0.6059,1141,0.028
1,მთაწმინდის,free_georgia,222,0.0056,56398,40727,14700,34174,52370,4028,0.7221,0.2606,0.6059,1141,0.028
1,მთაწმინდის,freedom_gamsakhurdia,22,0.0006,56398,40727,14700,34174,52370,4028,0.7221,0.2606,0.6059,1141,0.028
1,მთაწმინდის,future_georgia,14,0.0004,56398,40727,14700,34174,52370,4028,0.7221,0.2606,0.6059,1141,0.028
