district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,mtatsminda_2019_4,ნიტა სიხარულიძე,17,0.0012,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_9,გიორგი ანდრიაძე,117,0.0079,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_13,შალვა შავგულიძე,5422,0.3684,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_17,გიორგი ლილუაშვილი,18,0.0012,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_21,გიორგი შალიკაშვილი,11,0.0007,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_23,თებეა თენგიანი,5,0.0003,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_24,მამუკა ტუსკაძე,13,0.0009,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_27,ვალისა ღვინჯილია,6,0.0004,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_28,მიხეილ სალუაშვილი,15,0.001,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_31,ირმა რაზმაძე,19,0.0013,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_33,ჯემალ ნადარეიშვილი,17,0.0012,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_35,გერმანე საბო,701,0.0476,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_38,ნოდარ ინანეიშვილი,9,0.0006,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_41,ვლადიმერ კახაძე,6036,0.4101,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_42,ლევან იოსელიანი,964,0.0655,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_43,კობა დავითაშვილი,428,0.0291,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_44,სოფიო ხორგუანი,388,0.0264,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_45,გრიგოლ გეგელია,462,0.0314,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_46,იოსებ კობერიძე,26,0.0018,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
national,mtatsminda_2019_47,თამარ ალფაიძე,45,0.0031,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_4,ნიტა სიხარულიძე,17,0.0012,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_9,გიორგი ანდრიაძე,117,0.0079,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_13,შალვა შავგულიძე,5422,0.3684,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_17,გიორგი ლილუაშვილი,18,0.0012,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_21,გიორგი შალიკაშვილი,11,0.0007,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_23,თებეა თენგიანი,5,0.0003,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_24,მამუკა ტუსკაძე,13,0.0009,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_27,ვალისა ღვინჯილია,6,0.0004,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_28,მიხეილ სალუაშვილი,15,0.001,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_31,ირმა რაზმაძე,19,0.0013,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_33,ჯემალ ნადარეიშვილი,17,0.0012,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_35,გერმანე საბო,701,0.0476,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_38,ნოდარ ინანეიშვილი,9,0.0006,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_41,ვლადიმერ კახაძე,6036,0.4101,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_42,ლევან იოსელიანი,964,0.0655,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_43,კობა დავითაშვილი,428,0.0291,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_44,სოფიო ხორგუანი,388,0.0264,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_45,გრიგოლ გეგელია,462,0.0314,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_46,იოსებ კობერიძე,26,0.0018,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
1,mtatsminda_2019_47,თამარ ალფაიძე,45,0.0031,44044,15022,4558,11677,43908,136,0.3411,0.1035,0.2651,297,0.0198
