precinct_id,precinct_key,smd,dd,pp,district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
101001,1.1.1,1,1,1,101001,mtatsminda_2019_13,შალვა შავგულიძე,208,0.4177,1440,514,153,410,0.3569,0.1063,0.2847,16,0.0311
101001,1.1.1,1,1,1,101001,mtatsminda_2019_41,ვლადიმერ კახაძე,290,0.5823,1440,514,153,410,0.3569,0.1063,0.2847,16,0.0311
101002,1.1.2,1,1,2,101002,mtatsminda_2019_13,შალვა შავგულიძე,189,0.381,1286,513,199,435,0.3989,0.1547,0.3383,17,0.0331
101002,1.1.2,1,1,2,101002,mtatsminda_2019_41,ვლადიმერ კახაძე,307,0.619,1286,513,199,435,0.3989,0.1547,0.3383,17,0.0331
101003,1.1.3,1,1,3,101003,mtatsminda_2019_13,შალვა შავგულიძე,265,0.4569,1500,604,158,447,0.4027,0.1053,0.298,24,0.0397
101003,1.1.3,1,1,3,101003,mtatsminda_2019_41,ვლადიმერ კახაძე,315,0.5431,1500,604,158,447,0.4027,0.1053,0.298,24,0.0397
101004,1.1.4,1,1,4,101004,mtatsminda_2019_13,შალვა შავგულიძე,152,0.3455,1223,460,191,380,0.3761,0.1562,0.3107,20,0.0435
101004,1.1.4,1,1,4,101004,mtatsminda_2019_41,ვლადიმერ კახაძე,288,0.6545,1223,460,191,380,0.3761,0.1562,0.3107,20,0.0435
101005,1.1.5,1,1,5,101005,mtatsminda_2019_13,შალვა შავგულიძე,198,0.3736,1556,544,132,410,0.3496,0.0848,0.2635,14,0.0257
101005,1.1.5,1,1,5,101005,mtatsminda_2019_41,ვლადიმერ კახაძე,332,0.6264,1556,544,132,410,0.3496,0.0848,0.2635,14,0.0257
101006,1.1.6,1,1,6,101006,mtatsminda_2019_13,შალვა შავგულიძე,235,0.4003,1486,618,179,484,0.4159,0.1205,0.3257,31,0.0502
101006,1.1.6,1,1,6,101006,mtatsminda_2019_41,ვლადიმერ კახაძე,352,0.5997,1486,618,179,484,0.4159,0.1205,0.3257,31,0.0502
101007,1.1.7,1,1,7,101007,mtatsminda_2019_13,შალვა შავგულიძე,188,0.34,1433,573,218,465,0.3999,0.1521,0.3245,20,0.0349
101007,1.1.7,1,1,7,101007,mtatsminda_2019_41,ვლადიმერ კახაძე,365,0.66,1433,573,218,465,0.3999,0.1521,0.3245,20,0.0349
101008,1.1.8,1,1,8,101008,mtatsminda_2019_13,შალვა შავგულიძე,151,0.3832,1160,413,109,309,0.356,0.094,0.2664,19,0.046
101008,1.1.8,1,1,8,101008,mtatsminda_2019_41,ვლადიმერ კახაძე,243,0.6168,1160,413,109,309,0.356,0.094,0.2664,19,0.046
101009,1.1.9,1,1,9,101009,mtatsminda_2019_13,შალვა შავგულიძე,242,0.4172,1466,605,192,474,0.4127,0.131,0.3233,25,0.0413
101009,1.1.9,1,1,9,101009,mtatsminda_2019_41,ვლადიმერ კახაძე,338,0.5828,1466,605,192,474,0.4127,0.131,0.3233,25,0.0413
101010,1.1.10,1,1,10,101010,mtatsminda_2019_13,შალვა შავგულიძე,241,0.3951,1518,644,202,512,0.4242,0.1331,0.3373,34,0.0528
101010,1.1.10,1,1,10,101010,mtatsminda_2019_41,ვლადიმერ კახაძე,369,0.6049,1518,644,202,512,0.4242,0.1331,0.3373,34,0.0528
101011,1.1.11,1,1,11,101011,mtatsminda_2019_13,შალვა შავგულიძე,249,0.4213,1536,613,220,488,0.3991,0.1432,0.3177,22,0.0359
101011,1.1.11,1,1,11,101011,mtatsminda_2019_41,ვლადიმერ კახაძე,342,0.5787,1536,613,220,488,0.3991,0.1432,0.3177,22,0.0359
101012,1.1.12,1,1,12,101012,mtatsminda_2019_13,შალვა შავგულიძე,273,0.3911,1631,740,182,583,0.4537,0.1116,0.3574,42,0.0568
101012,1.1.12,1,1,12,101012,mtatsminda_2019_41,ვლადიმერ კახაძე,425,0.6089,1631,740,182,583,0.4537,0.1116,0.3574,42,0.0568
101013,1.1.13,1,1,13,101013,mtatsminda_2019_13,შალვა შავგულიძე,158,0.2942,1287,551,200,441,0.4281,0.1554,0.3427,14,0.0254
101013,1.1.13,1,1,13,101013,mtatsminda_2019_41,ვლადიმერ კახაძე,379,0.7058,1287,551,200,441,0.4281,0.1554,0.3427,14,0.0254
101014,1.1.14,1,1,14,101014,mtatsminda_2019_13,შალვა შავგულიძე,196,0.3719,1218,543,155,426,0.4458,0.1273,0.3498,16,0.0295
101014,1.1.14,1,1,14,101014,mtatsminda_2019_41,ვლადიმერ კახაძე,331,0.6281,1218,543,155,426,0.4458,0.1273,0.3498,16,0.0295
101015,1.1.15,1,1,15,101015,mtatsminda_2019_13,შალვა შავგულიძე,215,0.3513,1403,629,217,493,0.4483,0.1547,0.3514,17,0.027
101015,1.1.15,1,1,15,101015,mtatsminda_2019_41,ვლადიმერ კახაძე,397,0.6487,1403,629,217,493,0.4483,0.1547,0.3514,17,0.027
101016,1.1.16,1,1,16,101016,mtatsminda_2019_13,შალვა შავგულიძე,246,0.4598,1505,562,180,448,0.3734,0.1196,0.2977,27,0.048
101016,1.1.16,1,1,16,101016,mtatsminda_2019_41,ვლადიმერ კახაძე,289,0.5402,1505,562,180,448,0.3734,0.1196,0.2977,27,0.048
101017,1.1.17,1,1,17,101017,mtatsminda_2019_13,შალვა შავგულიძე,140,0.3955,988,374,115,296,0.3785,0.1164,0.2996,20,0.0535
101017,1.1.17,1,1,17,101017,mtatsminda_2019_41,ვლადიმერ კახაძე,214,0.6045,988,374,115,296,0.3785,0.1164,0.2996,20,0.0535
101018,1.1.18,1,1,18,101018,mtatsminda_2019_13,შალვა შავგულიძე,170,0.3899,1105,449,136,335,0.4063,0.1231,0.3032,13,0.029
101018,1.1.18,1,1,18,101018,mtatsminda_2019_41,ვლადიმერ კახაძე,266,0.6101,1105,449,136,335,0.4063,0.1231,0.3032,13,0.029
101019,1.1.19,1,1,19,101019,mtatsminda_2019_13,შალვა შავგულიძე,179,0.3552,1490,530,193,425,0.3557,0.1295,0.2852,26,0.0491
101019,1.1.19,1,1,19,101019,mtatsminda_2019_41,ვლადიმერ კახაძე,325,0.6448,1490,530,193,425,0.3557,0.1295,0.2852,26,0.0491
101020,1.1.20,1,1,20,101020,mtatsminda_2019_13,შალვა შავგულიძე,224,0.3862,1378,603,204,478,0.4376,0.148,0.3469,23,0.0381
101020,1.1.20,1,1,20,101020,mtatsminda_2019_41,ვლადიმერ კახაძე,356,0.6138,1378,603,204,478,0.4376,0.148,0.3469,23,0.0381
101021,1.1.21,1,1,21,101021,mtatsminda_2019_13,შალვა შავგულიძე,267,0.4399,1535,630,195,502,0.4104,0.127,0.327,23,0.0365
101021,1.1.21,1,1,21,101021,mtatsminda_2019_41,ვლადიმერ კახაძე,340,0.5601,1535,630,195,502,0.4104,0.127,0.327,23,0.0365
101022,1.1.22,1,1,22,101022,mtatsminda_2019_13,შალვა შავგულიძე,227,0.3948,1540,606,248,476,0.3935,0.161,0.3091,31,0.0512
101022,1.1.22,1,1,22,101022,mtatsminda_2019_41,ვლადიმერ კახაძე,348,0.6052,1540,606,248,476,0.3935,0.161,0.3091,31,0.0512
101023,1.1.23,1,1,23,101023,mtatsminda_2019_13,შალვა შავგულიძე,271,0.4176,1484,681,183,516,0.4589,0.1233,0.3477,32,0.047
101023,1.1.23,1,1,23,101023,mtatsminda_2019_41,ვლადიმერ კახაძე,378,0.5824,1484,681,183,516,0.4589,0.1233,0.3477,32,0.047
101024,1.1.24,1,1,24,101024,mtatsminda_2019_13,შალვა შავგულიძე,216,0.3386,1449,658,190,510,0.4541,0.1311,0.352,20,0.0304
101024,1.1.24,1,1,24,101024,mtatsminda_2019_41,ვლადიმერ კახაძე,422,0.6614,1449,658,190,510,0.4541,0.1311,0.352,20,0.0304
101025,1.1.25,1,1,25,101025,mtatsminda_2019_13,შალვა შავგულიძე,199,0.3964,1194,521,172,406,0.4363,0.1441,0.34,19,0.0365
101025,1.1.25,1,1,25,101025,mtatsminda_2019_41,ვლადიმერ კახაძე,303,0.6036,1194,521,172,406,0.4363,0.1441,0.34,19,0.0365
101026,1.1.26,1,1,26,101026,mtatsminda_2019_13,შალვა შავგულიძე,224,0.3672,1585,638,205,513,0.4025,0.1293,0.3237,28,0.0439
101026,1.1.26,1,1,26,101026,mtatsminda_2019_41,ვლადიმერ კახაძე,386,0.6328,1585,638,205,513,0.4025,0.1293,0.3237,28,0.0439
101027,1.1.27,1,1,27,101027,mtatsminda_2019_13,შალვა შავგულიძე,206,0.3546,1593,599,153,470,0.376,0.096,0.295,18,0.0301
101027,1.1.27,1,1,27,101027,mtatsminda_2019_41,ვლადიმერ კახაძე,375,0.6454,1593,599,153,470,0.376,0.096,0.295,18,0.0301
101028,1.1.28,1,1,28,101028,mtatsminda_2019_13,შალვა შავგულიძე,242,0.413,1393,619,213,490,0.4444,0.1529,0.3518,33,0.0533
101028,1.1.28,1,1,28,101028,mtatsminda_2019_41,ვლადიმერ კახაძე,344,0.587,1393,619,213,490,0.4444,0.1529,0.3518,33,0.0533
101032,1.1.32,1,1,32,101032,mtatsminda_2019_13,შალვა შავგულიძე,302,0.3393,1680,931,325,752,0.5542,0.1935,0.4476,41,0.044
101032,1.1.32,1,1,32,101032,mtatsminda_2019_41,ვლადიმერ კახაძე,588,0.6607,1680,931,325,752,0.5542,0.1935,0.4476,41,0.044
101033,1.1.33,1,1,33,101033,mtatsminda_2019_13,შალვა შავგულიძე,182,0.3562,1408,536,174,422,0.3807,0.1236,0.2997,25,0.0466
101033,1.1.33,1,1,33,101033,mtatsminda_2019_41,ვლადიმერ კახაძე,329,0.6438,1408,536,174,422,0.3807,0.1236,0.2997,25,0.0466
104001,1.4.1,1,4,1,104001,mtatsminda_2019_13,შალვა შავგულიძე,180,0.3035,1567,620,221,483,0.3957,0.141,0.3082,27,0.0435
104001,1.4.1,1,4,1,104001,mtatsminda_2019_41,ვლადიმერ კახაძე,413,0.6965,1567,620,221,483,0.3957,0.141,0.3082,27,0.0435
