district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,burchuladze,,62261,0.0359,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,progressive_democratic_2016,,1479,0.0009,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,burjanadze_democratic,,38158,0.022,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,georgian_group,,1682,0.001,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,unm,,450670,0.2601,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,republicans_2016,,22428,0.0129,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,mechiauri_united,,5278,0.003,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,patriots,,94202,0.0544,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,labour,,26706,0.0154,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,communist_stalinist,,2231,0.0013,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,peace_georgia_2016,,2712,0.0016,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,workers_socialist,,336,0.0002,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,united_communist_2016,,852,0.0005,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,georgia_2016,,1591,0.0009,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,georgian_idea,,2318,0.0013,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,industry_sakartvelo,,19032,0.011,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,kostava_society,,140,0.0001,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,chvenni_peoples,,2947,0.0017,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,left_alliance_2016,,1001,0.0006,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,national_forum,,22047,0.0127,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,free_democrats,,81361,0.047,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,zviads_way,,1102,0.0006,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,gd,,813533,0.4695,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,smd_only_42,,50798,0.0293,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,smd_only_43,,24924,0.0144,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
national,smd_only_44,,2812,0.0016,3544224,1819603,695809,1471680,3513884,30340,0.5134,0.1963,0.4152,74864,0.0411
1,burchuladze,ვლადიმერ კახაძე,618,0.0265,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,burjanadze_democratic,გრიგოლ ბარამიძე,1002,0.043,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,unm,ნიკოლოზი რურუა,6273,0.2692,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,republicans_2016,თამარ კორძაია,931,0.04,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,mechiauri_united,თენგიზ რუხაძე,96,0.0041,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,patriots,ვლადიმერ სადღობელაშვილი,1224,0.0525,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,peace_georgia_2016,დავით თევზაძე,721,0.0309,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,georgia_2016,ვაჟა მთავრიშვილი,70,0.003,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,georgian_idea,გეგა ხვედელიძე,147,0.0063,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,chvenni_peoples,ნანა ლევიძე,34,0.0015,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
1,national_forum,ქეთევან ახობაძე,125,0.0054,44219,24731,8043,19681,43833,386,0.5593,0.1819,0.4451,1239,0.0501
